contig la lo p.values contigs.null isogroup adj.p
c000568 -9152.586225 -9154.186227 0.0736380900162219 c000568 isogroup=326 0.685851384386916
c000570p -11450.731514 -11450.732465 0.965213745987944 c000570p isogroup=516 1
c000578m -4230.954449 -4231.220468 0.465751300030493 c000578m isogroup=2420 1
c000578p -5944.611418 -5944.707544 0.661048869730735 c000578p isogroup=17954 1
c000580p -5685.550516 -5685.550516 1 c000580p isogroup=10181 1
c000583 -12385.780731 -12386.703011 0.1744174264552 c000583 isogroup=332 0.942948635214774
c000584m -842.333238 -842.333238 1 c000584m isogroup=24634 1
c000585 -14053.758679 -14053.75868 0.998871621018033 c000585 isogroup=335 1
c000587m -7176.038577 -7176.647536 0.269769632655784 c000587m isogroup=1750 1
c000590 -16242.037635 -16242.037635 1 c000590 isogroup=343 1
c000596 -12413.83485 -12416.414427 0.0231241585501196 c000596 isogroup=348 0.428453066958082
c000597 -10116.992903 -10117.534082 0.298170653609136 c000597 isogroup=339 1
c000598 -6606.743222 -6606.743222 1 c000598 isogroup=338 1
c000602 -9195.618929 -9195.618929 1 c000602 isogroup=342 1
c000607 -7977.152009 -7977.152009 1 c000607 isogroup=346 1
c000608m -17176.883261 -17177.34454 0.336804220190594 c000608m isogroup=738 1
c000608p -5463.16301 -5463.16301 1 c000608p isogroup=14461 1
c000613m -8418.280346 -8419.485505 0.120537877985304 c000613m isogroup=1358 0.819120144677328
c000614 -10943.302504 -10946.9313 0.00706018945082315 c000614 isogroup=350 0.261787746748753
c000615m -4533.731617 -4534.283788 0.293315187650206 c000615m isogroup=12084 1
c000615p -8890.121841 -8890.455082 0.414280837320198 c000615p isogroup=5255 1
c000617m -1712.443338 -1716.273229 0.00564653270713266 c000617m isogroup=8890.2 0.23627015826134
c000618 -9056.583388 -9056.863248 0.454373080812699 c000618 isogroup=352 1
c000619 -11371.38004 -11371.38004 1 c000619 isogroup=353 1
c000626p -7221.691009 -7226.635778 0.0016622109699536 c000626p isogroup=1612 0.13686676161576
c000627 -7326.890639 -7327.942105 0.147016985145803 c000627 isogroup=356 0.880986846226687
c000631 -14595.141933 -14595.779932 0.258644467675586 c000631 isogroup=341 1
c000640 -5797.207728 -5797.207728 1 c000640 isogroup=364 1
c000641 -13682.963874 -13695.011122 9.17220873679464e-07 c000641 isogroup=365 0.000785064632796814
c000645 -25469.638044 -25469.638044 1 c000645 isogroup=368 1
c000646 -14486.959735 -14486.959735 1 c000646 isogroup=366 1
c000648 -9890.863615 -9891.233093 0.389995513893156 c000648 isogroup=369 1
c000651 -7994.262353 -7994.262353 1 c000651 isogroup=372 1
c000652m -11873.799795 -11873.799795 1 c000652m isogroup=3848 1
c000653p -5277.27548 -5277.27548 1 c000653p isogroup=4906 1
c000655 -13100.581202 -13100.581202 1 c000655 isogroup=297 1
c000657m -8104.233407 -8104.233407 1 c000657m isogroup=3509 1
c000658 -13298.270744 -13298.270744 1 c000658 isogroup=373 1
c000659m -2456.034057 -2457.433606 0.0943173535242418 c000659m isogroup=15174 0.746903267577091
c000659p -9229.894763 -9229.894762 1 c000659p isogroup=2642 1
c000664 -18098.837626 -18100.180152 0.101293919027621 c000664 isogroup=376 0.763798655836674
c000665p -11543.053358 -11545.734765 0.0205705551557784 c000665p isogroup=3401 0.403206435124047
c000666 -13063.415749 -13063.415749 1 c000666 isogroup=377 1
c000674 -9042.884282 -9046.823814 0.00500103573961067 c000674 isogroup=383 0.230339184222158
c000675p -3063.266654 -3064.027799 0.217273276646911 c000675p isogroup=4843 1
c000676 -13039.529684 -13039.529684 1 c000676 isogroup=357.1 1
c000678 -18319.700164 -18319.997412 0.440685790807928 c000678 isogroup=386 1
c000679m -6665.712212 -6665.712212 1 c000679m isogroup=2755 1
c000679p -2187.652431 -2190.521182 0.0166063940402471 c000679p isogroup=18739 0.361364985566479
c000680p -5265.787288 -5265.787288 1 c000680p isogroup=11201 1
c000684p -6716.688561 -6716.78443 0.661474014804592 c000684p isogroup=2839 1
c000689p -8274.881877 -8278.276551 0.00917033953126678 c000689p isogroup=2670 0.288670640626514
c000690 -4539.919717 -4539.919717 1 c000690 isogroup=390 1
c000693m -2120.852259 -2120.852259 1 c000693m isogroup=26863 1
c000693p -8645.588573 -8645.796897 0.518614383662674 c000693p isogroup=655 1
c000698 -14804.947604 -14805.070349 0.620268764434795 c000698 isogroup=394 1
c000704p -7361.490808 -7361.490808 1 c000704p isogroup=2692 1
c000706 -19096.950303 -19102.686069 0.000706703995340039 c000706 isogroup=400 0.0834316866222706
c000708 -13049.668963 -13049.668963 1 c000708 isogroup=402 1
c000709 -6735.32095 -6735.320951 0.99887162153116 c000709 isogroup=403 1
c000710 -25618.19513 -25629.145578 2.8709984154817e-06 c000710 isogroup=412 0.0022683095942625
c000713 -4177.204612 -4177.753147 0.294910017164993 c000713 isogroup=404 1
c000718 -16474.319464 -16474.319464 1 c000718 isogroup=409 1
c000721 -1013.510706 -1013.510706 1 c000721 isogroup=415 1
c000722 -12445.17159 -12445.530219 0.397044810358136 c000722 isogroup=411 1
c000725 -4487.136351 -4531.002931 7.49079787784485e-21 c000725 isogroup=414 3.84689925016722e-17
c000732 -5683.033967 -5683.033967 1 c000732 isogroup=420 1
c000734p -1645.644577 -1646.464525 0.200339737940611 c000734p isogroup=25517 1
c000736 -9999.022833 -10000.819763 0.0579933916151684 c000736 isogroup=419 0.620534587446361
c000742 -4938.715071 -4941.907032 0.0115158680843379 c000742 isogroup=392 0.315411949584627
c000743 -5631.032286 -5631.032311 0.994358151148607 c000743 isogroup=424 1
c000748 -13038.081538 -13038.922491 0.194671382362967 c000748 isogroup=427 0.987392478148164
c000751m -4317.899702 -4317.899702 1 c000751m isogroup=4457 1
c000753 -11476.186044 -11476.186044 1 c000753 isogroup=430 1
c000754 -9028.67109 -9028.67109 1 c000754 isogroup=433 1
c000756m -10569.052482 -10569.11747 0.718456924225115 c000756m isogroup=2778 1
c000757m -5831.275927 -5831.279796 0.929903776926441 c000757m isogroup=11847 1
c000760m -2325.167042 -2325.167042 1 c000760m isogroup=14005 1
c000760p -3907.72242 -3907.725423 0.938227074342228 c000760p isogroup=16207 1
c000761 -14975.407052 -14976.085597 0.244042447312955 c000761 isogroup=431 1
c000763 -13980.263775 -13980.263775 1 c000763 isogroup=434 1
c000764m -5215.865009 -5215.865009 1 c000764m isogroup=3151 1
c000764p -4881.642043 -4881.748665 0.644236585172936 c000764p isogroup=9166 1
c000767p -2023.445736 -2023.445736 1 c000767p isogroup=13827 1
c000771 -12631.609863 -12633.675985 0.0420735247033289 c000771 isogroup=438 0.544939687550934
c000775 -11700.163767 -11700.163767 1 c000775 isogroup=442 1
c000781p -1368.124723 -1368.138229 0.869453042067045 c000781p isogroup=22892 1
c000783 -14491.413319 -14492.30395 0.181994436441359 c000783 isogroup=449 0.957615192976023
c000789p -4183.727147 -4183.727147 1 c000789p isogroup=16347 1
c000790 -19895.797734 -19895.797734 1 c000790 isogroup=450 1
c000791 -6253.16442 -6254.16867 0.156419908038985 c000791 isogroup=451 0.902578019926077
c000796 -10066.342707 -10069.616092 0.0105074740935704 c000796 isogroup=455 0.30486515936458
c000797 -6151.68699 -6152.438472 0.220215864761567 c000797 isogroup=456 1
c000798p -2172.931896 -2172.931896 1 c000798p isogroup=22892 1
c000803 -14275.57548 -14273.680123 1 c000803 isogroup=461 1
c000804 -19064.767201 -19066.289442 0.0810119567802927 c000804 isogroup=462 0.717462314640837
c000806m -1182.387212 -1182.387212 1 c000806m isogroup=35027 1
c000806p -4890.221277 -4890.221277 1 c000806p isogroup=1081 1
c000816m -7362.727076 -7362.727073 1 c000816m isogroup=9482 1
c000817 -18113.355814 -18113.379024 0.829414143407684 c000817 isogroup=470 1
c000821 -14651.85771 -14651.85771 1 c000821 isogroup=472 1
c000822m -3428.241765 -3428.339411 0.658548150710974 c000822m isogroup=14738 1
c000822p -8006.169496 -8007.458104 0.10841218580139 c000822p isogroup=1599 0.783053136685001
c000823 -12385.103799 -12385.103799 1 c000823 isogroup=473 1
c000824 -16085.674717 -16085.860749 0.541881355311051 c000824 isogroup=468.1 1
c000825 -15750.994751 -15752.057307 0.14490218838401 c000825 isogroup=381 0.876080837647575
c000826 -15468.56249 -15468.56249 1 c000826 isogroup=474 1
c000827 -3976.446595 -3976.446595 1 c000827 isogroup=475 1
c000829 -4511.004008 -4511.147899 0.591645395194771 c000829 isogroup=477 1
c000831 -12470.087913 -12470.3037 0.511217619463128 c000831 isogroup=478 1
c000835 -9129.0288 -9129.0288 1 c000835 isogroup=481 1
c000836p -1661.145793 -1661.145793 1 c000836p isogroup=22892 1
c000838 -8786.852051 -8787.332539 0.326941097744456 c000838 isogroup=482 1
c000839m -6974.9072 -6974.911719 0.924260500344553 c000839m isogroup=453 1
c000839p -4183.913569 -4183.913569 1 c000839p isogroup=7541 1
c000840 -10520.446606 -10520.446606 1 c000840 isogroup=484 1
c000842 -965.925188 -965.944653 0.843587405422287 c000842 isogroup=415 1
c000847 -7845.640781 -7846.509626 0.187431785368602 c000847 isogroup=488 0.973261813711281
c000850 -9414.626124 -9418.087494 0.00851064767262594 c000850 isogroup=490 0.28132054042421
c000851m -2059.752707 -2059.752707 1 c000851m isogroup=22913 1
c000851p -7328.910858 -7329.656673 0.221963728286656 c000851p isogroup=4510 1
c000855m -5942.705411 -5944.445599 0.0621006278930123 c000855m isogroup=6486 0.639113776642414
c000856m -6141.929239 -6141.929239 1 c000856m isogroup=2012 1
c000856p -1671.500921 -1671.500921 1 c000856p isogroup=19279 1
c000857m -9537.510877 -9537.510877 1 c000857m isogroup=3710 1
c000857p -3840.979344 -3846.165779 0.0012788059776441 c000857p isogroup=6682 0.121154592331707
c000860m -4028.191549 -4028.197263 0.914866866048698 c000860m isogroup=23455 1
c000861 -6378.560038 -6378.560038 1 c000861 isogroup=494 1
c000862 -8170.784506 -8171.192048 0.366621420680622 c000862 isogroup=499 1
c000863 -13169.229789 -13169.229789 1 c000863 isogroup=495 1
c000865 -15350.73918 -15350.73918 1 c000865 isogroup=469.1 1
c000866 -15838.53827 -15838.918482 0.383195865507873 c000866 isogroup=384 1
c000868 -4965.271962 -4965.320787 0.754668161805625 c000868 isogroup=498 1
c000869 -16473.511633 -16477.040205 0.0078949762831878 c000869 isogroup=489 0.276755294896321
c000870 -12811.213721 -12812.664354 0.0885100128591072 c000870 isogroup=74 0.728519912551615
c000871p -1538.146236 -1538.146236 1 c000871p isogroup=32551 1
c000873 -18104.566587 -18104.566587 1 c000873 isogroup=501 1
c000875 -13299.802162 -13304.108897 0.00333685976190556 c000875 isogroup=487 0.206463172376699
c000882 -9964.238359 -9964.22829 1 c000882 isogroup=507 1
c000884 -12932.954343 -12931.640199 1 c000884 isogroup=509 1
c000886 -9954.027844 -9954.435679 0.366449205433175 c000886 isogroup=511 1
c000891p -2152.235191 -2152.235191 1 c000891p isogroup=7860 1
c000894 -7982.888151 -7983.426253 0.299548301813995 c000894 isogroup=517 1
c000896 -6367.560406 -6367.560406 1 c000896 isogroup=518 1
c000897m -14607.486029 -14607.729115 0.485639874966516 c000897m isogroup=2284 1
c000902 -8949.574917 -8949.574917 1 c000902 isogroup=521 1
c000904 -16180.242396 -16180.242396 1 c000904 isogroup=524 1
c000905 -13897.659631 -13902.666669 0.00155348333648666 c000905 isogroup=523 0.132433134870723
c000908m -865.511401 -865.511401 1 c000908m isogroup=33934 1
c000910 -14759.783103 -14759.783103 1 c000910 isogroup=528 1
c000912m -9603.169071 -9603.955427 0.20981360229839 c000912m isogroup=2958 1
c000912p -2707.587567 -2710.506014 0.0156935062813567 c000912p isogroup=20334 0.357419119713473
c000914 -15921.412606 -15922.042721 0.261607559220123 c000914 isogroup=531 1
c000915 -10553.664019 -10553.664019 1 c000915 isogroup=532 1
c000916p -3324.269342 -3324.269342 1 c000916p isogroup=25607 1
c000917 -13712.224561 -13712.224561 1 c000917 isogroup=534 1
c000918 -8454.239801 -8457.062279 0.0175056554629417 c000918 isogroup=535 0.373612802594058
c000920 -10866.791237 -10866.771903 1 c000920 isogroup=537 1
c000925m -6895.965144 -6895.965721 0.972900614504829 c000925m isogroup=1942 1
c000929p -9000.477062 -9001.07924 0.272452789251177 c000929p isogroup=2318 1
c000930p -3344.959999 -3344.959999 1 c000930p isogroup=15050 1
c000931 -17889.422606 -17891.911352 0.0256791843507797 c000931 isogroup=551 0.445856699992931
c000932p -4651.482281 -4651.59453 0.635633834588934 c000932p isogroup=11725 1
c000936m -3303.30418 -3303.30418 1 c000936m isogroup=5170 1
c000939 -6677.276187 -6677.632757 0.398403374696874 c000939 isogroup=512 1
c000940 -7835.912013 -7835.912013 1 c000940 isogroup=547 1
c000943 -16727.398605 -16727.398605 1 c000943 isogroup=549 1
