contig	numParameters	likelihood
c001049p	9	-8717.517678
c001051p	13	-5900.624299
c001053	15	-11852.421874
c001056m	33	-4681.458364
c001058	9	-16992.416280
c001061	15	-17995.243482
c001062	9	-10501.963968
c001063	11	-14135.225245
c001064m	21	-7992.866682
c001064p	15	-3045.484146
c001065	11	-11180.669668
c001066m	23	-3839.578539
c001066p	13	-6557.057775
c001072	9	-4377.917197
c001073m	17	-5053.478980
c001073p	13	-4674.260040
c001074	15	-15217.097938
c001075m	9	-1403.767270
c001076p	11	-4849.666242
c001077	15	-5708.574812
c001078	9	-5044.537517
c001083	9	-8415.096931
c001084	9	-6312.139507
c001085	11	-14946.031771
c001087p	17	-5895.312535
c001088p	13	-4226.252959
c001089	11	-2366.784699
c001092	11	-7135.152277
c001094m	23	-4244.644246
c001094p	17	-8061.575383
c001095	13	-10389.176307
c001096	15	-6770.948080
c001097	15	-2390.429899
c001099	9	-7190.443199
c001101p	31	-1809.848580
c001102	11	-10710.751092
c001103p	9	-2686.662447
c001108p	9	-11524.892255
c001109	11	-12917.397153
c001110	13	-6878.793536
c001112	15	-11245.079611
c001113	9	-14884.628391
c001117m	25	-3493.095143
c001119	11	-12970.258345
c001120	11	-4171.320519
c001122m	27	-3472.329780
c001122p	23	-2691.878154
c001124	9	-6625.567367
c001125p	11	-6135.062419
c001127p	13	-3348.082977
c001129	17	-16822.547559
c001131	15	-5952.470110
c001132m	11	-2527.897946
c001132p	15	-9299.842780
c001133	23	-6131.455561
c001134p	13	-7049.912296
c001136	15	-9099.174650
c001140	11	-9116.806434
c001142m	33	-3614.457691
c001142p	21	-5184.847449
c001143m	15	-11630.650276
c001143p	23	-5194.183141
c001144	15	-8016.430235
c001145	9	-7952.879173
c001146	9	-10326.384730
c001148m	15	-4624.978290
c001148p	25	-8021.087408
c001149	11	-12119.052865
c001153	9	-12226.677168
c001161m	13	-1840.265057
c001162	15	-9605.435564
c001163p	13	-5516.965075
c001166	11	-8446.413584
c001168	15	-4768.023440
c001178m	17	-5848.277801
c001179m	31	-987.198848
c001179p	9	-9905.399590
c001180m	13	-2589.039572
c001182	15	-8170.768261
c001183	9	-10817.483083
c001185m	11	-6227.147350
c001185p	13	-9126.323686
c001186	9	-9785.254042
c001187m	11	-3911.759081
c001187p	33	-2155.290524
c001190	23	-1628.139058
c001191	13	-1704.119086
c001193	17	-4989.046606
c001196	27	-4007.527263
c001199	9	-6258.873416
c001200p	19	-10772.000630
c001201	9	-5993.614642
c001202	17	-10411.701223
c001203m	9	-7017.304573
c001203p	21	-5471.126698
c001204p	11	-3474.086008
c001205m	13	-6774.218519
c001205p	15	-4356.419550
c001206m	19	-4503.066836
c001207p	17	-5263.259066
c001208	9	-6738.870336
c001209m	21	-1369.815410
c001211	13	-10702.666694
c001214m	25	-4178.250469
c001219m	9	-3572.057235
c001220p	15	-3854.020813
c001221	13	-3600.532133
c001222	9	-2931.777349
c001223m	17	-1787.761782
c001225	15	-13323.588979
c001226p	27	-10103.105614
c001230	13	-10301.259944
c001231m	9	-3678.929270
c001232m	17	-6939.214882
c001232p	23	-2722.662069
c001233	11	-14328.360898
c001235m	21	-5347.047642
c001235p	11	-4696.412495
c001236m	15	-4360.698538
c001236p	11	-6947.418285
c001238m	21	-2466.083560
c001239	11	-10204.506346
c001240	9	-5852.478185
c001243m	19	-4468.919127
c001243p	13	-6290.712721
c001245	11	-6510.164064
c001247	11	-6656.743845
c001249	11	-3667.595458
c001250p	13	-3632.408462
c001251	11	-2611.293596
c001253	25	-14129.970162
c001255	11	-20205.195577
c001257	15	-11533.673756
c001262	9	-13499.833325
c001264	15	-13643.435581
c001271	9	-10457.804596
c001274	11	-983.007863
c001275m	17	-3891.706450
c001276	13	-9895.873369
c001277	11	-6744.644193
c001278m	15	-4229.491817
c001279	11	-2217.080300
c001284	11	-8620.069989
c001285	9	-9698.852702
c001286	11	-7249.250060
c001289p	9	-4044.939455
c001292	9	-5176.326251
c001294	9	-7197.240018
c001297	17	-13146.413747
c001299	13	-9661.406927
c001301	9	-8527.806874
c001302m	25	-6446.239625
c001306m	13	-4268.605361
c001306p	9	-3581.145994
c001307m	19	-5448.786523
c001307p	21	-4746.473665
c001308	13	-19625.960376
c001309m	11	-9300.121076
c001309p	11	-3759.716529
c001311p	17	-4871.655513
c001313	11	-6342.713182
c001316	9	-7881.350648
c001318	11	-3113.741969
c001320	17	-8043.822751
c001322	11	-10498.647303
c001323	15	-12692.934334
c001324	15	-12649.509607
c001325p	27	-3949.653054
c001329p	15	-2914.644394
c001330m	11	-7078.605745
c001335	17	-12081.193263
c001336	13	-8242.603102
c001337	13	-13672.164229
c001340	17	-12343.986385
c001341	11	-6742.117905
c001343	9	-8955.830667
c001344	11	-5074.331534
c001347m	11	-6951.831939
c001350m	13	-1909.425920
c001352	31	-2149.119196
c001355p	17	-4402.255114
c001356	9	-12889.081770
c001357m	11	-4432.110885
c001357p	17	-6029.251489
c001358m	15	-5069.725450
c001358p	29	-2000.712080
c001359m	15	-2873.637822
c001360	15	-11131.899445
c001365	9	-7724.783884
c001366m	11	-4379.568588
c001366p	31	-1347.769014
c001373m	9	-5223.218361
c001379	11	-15251.205855
c001381	11	-9219.973153
c001382	9	-5358.499942
c001384	15	-6195.655221
c001390	17	-14243.290840
c001392	13	-11401.795011
c001393m	21	-3136.875669
c001393p	19	-6274.230262
c001394	11	-4447.482908
c001395	17	-3168.449315
c001396p	15	-3032.165073
c001397	11	-2533.429265
c001398	13	-11690.202887
c001399	9	-5766.692086
c001400	15	-4850.593452
c001404	9	-2350.656720
c001408	13	-8753.845755
c001409	9	-9423.574907
c001410	9	-11733.588017
c001411	15	-15793.248515
c001413	11	-6409.548958
c001421m	23	-6246.673516
c001421p	17	-4949.419410
c001422m	9	-4229.429946
c001422p	13	-1771.422541
c001423	11	-3906.491195
c001424m	23	-5948.379709
c001426	9	-8415.127978
c001427	15	-8633.464181
c001428	21	-7119.175104
c001429	9	-11602.105966
c001430	13	-11472.764358
c001435	9	-8321.079762
c001440	17	-7552.574764
c001441p	9	-9874.220616
c001446p	11	-2705.651233
c001448	9	-9932.972082
c001449m	21	-3377.003368
c001450	13	-3532.279295
c001452	11	-4170.359536
c001460	11	-15284.174387
c001461	11	-7627.662771
c001463	13	-9074.327738
c001464p	27	-3823.387895
c001465	11	-13458.541563
c001466	11	-12731.864780
c001467	11	-14548.977139
c001481m	11	-2272.580107
c001483	13	-12131.757828
c001484p	9	-6145.132380
c001486m	15	-8081.458656
c001488	11	-10307.791015
c001489	11	-5750.268174
c001490p	15	-3680.026150
c001491	9	-9587.804249
c001492	11	-7709.154675
c001494	11	-4476.673181
c001495	9	-7915.814595
c001496	9	-8324.730164
c001499	9	-3715.850469
c001500	13	-9225.665403
c001502	11	-6860.764796
c001503	9	-6251.299911
c001504m	15	-3732.068701
c001504p	15	-4581.837397
c001506	13	-7628.170776
c001507	23	-3672.315197
c001508	11	-12274.272372
c001512m	11	-6051.407556
c001512p	25	-3985.017869
c001514p	35	-3626.707772
c001515m	29	-380.710558
c001516	9	-4850.981614
c001519	9	-9402.640539
c001521	9	-4639.912653
c001523	9	-6222.008609
c001524p	17	-4830.525485
c001525p	15	-4111.138437
c001526	17	-13268.449053
c001527	11	-6641.367257
c001529	13	-10274.838359
c001535	9	-4912.068893
c001536	11	-8011.378987
c001537m	11	-3795.382907
c001538	23	-7023.593957
c001539	13	-13048.223085
c001543	13	-10977.791173
c001544p	19	-3575.411426
c001546	17	-7326.023017
c001547	11	-4344.335708
c001548p	23	-4833.688299
c001553	13	-13267.008772
c001554	15	-10365.019757
c001555p	19	-4505.107143
c001556m	15	-2576.981544
c001557	15	-7623.263999
c001558	9	-8114.930438
c001562	11	-12607.662949
c001563p	15	-2238.339832
c001565	23	-7933.165008
c001566	17	-12084.380155
c001567m	21	-1273.927324
c001569p	17	-3260.525600
c001571p	11	-2599.045736
c001572	13	-9527.349014
c001575	13	-11721.967154
c001580	9	-4101.977835
c001587	13	-7302.408662
c001589	13	-11358.910598
c001590	13	-14154.899166
c001595	11	-6681.088418
c001596	11	-10994.526968
c001597	9	-9287.531118
c001600	11	-9715.858724
c001602	9	-3158.173874
c001603p	13	-9314.854832
c001605	9	-10652.527648
c001607p	17	-4438.073624
c001611	13	-14564.726927
c001614	17	-7726.443768
c001620	9	-9547.568829
c001621	11	-1889.224326
c001622	11	-6876.297803
c001626p	13	-8914.984786
c001628	9	-12454.386716
c001629	15	-9548.002129
c001631	15	-15588.958697
c001632	11	-10936.088493
c001633m	19	-2982.531688
c001635	21	-4937.504235
c001639	9	-4566.832463
c001641	13	-6493.904632
c001643	9	-7255.397048
c001645	15	-7788.174507
c001648p	13	-4184.602106
c001649	11	-4822.683133
c001652p	21	-6368.707115
c001654	9	-2789.330472
c001655m	9	-3422.520224
c001661	11	-6240.072315
c001665	11	-13431.346266
c001668	15	-4830.921935
c001670	15	-10048.134406
c001673	13	-10855.357909
c001674	13	-13074.659911
c001677	9	-5307.246087
c001678m	17	-6028.539837
c001678p	15	-4082.235273
c001679	13	-11717.910780
c001680	15	-17064.422240
c001682	13	-11993.823884
c001686	11	-7578.521207
c001687p	11	-4104.942041
c001688m	15	-6363.177709
c001688p	13	-6759.991265
c001691p	25	-1153.930963
c001692m	17	-8373.631969
c001695	13	-13647.075310
c001697p	15	-6329.968602
c001698m	15	-3734.113270
c001698p	17	-6104.910322
c001699	13	-6872.980961
c001701	15	-3019.230980
c001702m	9	-3088.573152
c001702p	27	-6251.242649
c001704	13	-6655.256270
c001708	13	-9697.301905
c001709	11	-11507.379151
c001712m	13	-3427.502318
c001713	9	-11936.003609
c001714m	11	-8551.300157
c001714p	17	-5698.456879
c001716	9	-3404.510355
c001717	13	-3904.706433
c001718	9	-10964.907276
c001721	11	-11475.313705
c001723	13	-12672.220109
c001724	15	-9983.802475
c001726m	11	-5146.325979
c001726p	9	-3862.669474
c001727	11	-12449.254805
c001729p	13	-5284.315835
c001732	15	-13659.310940
c001733p	15	-4254.638952
c001736	9	-6709.558425
c001737m	17	-7922.056240
c001737p	17	-4854.681092
c001738	11	-10263.103893
c001740	9	-9252.150827
c001744m	19	-5863.947306
c001745	21	-4340.595731
c001747p	13	-3691.618950
c001749	17	-12511.713916
c001752	13	-10250.308472
c001755	13	-14444.525062
c001757	11	-6037.936687
c001759	13	-11782.924304
c001761	9	-11878.484452
c001762m	13	-5129.329338
c001762p	11	-4702.304575
c001763m	15	-6246.729221
c001763p	13	-2777.167221
c001764m	9	-3347.535341
c001764p	27	-3576.925279
c001767	11	-6282.733537
c001768	11	-9411.452860
c001772	17	-13332.749186
c001775	9	-3260.448065
c001776	17	-4130.400718
c001777	17	-7970.931491
c001778	17	-9581.852092
c001779	15	-6725.615410
c001780	17	-7831.063449
c001787	17	-10658.541215
c001788m	21	-6090.699937
c001788p	15	-2670.218185
c001795m	13	-7752.164621
c001796	19	-12981.962267
c001800p	9	-3732.049573
c001805m	13	-5786.367166
c001805p	17	-2618.951433
c001809	11	-13538.354932
c001813	13	-8620.595349
c001814	9	-6467.447849
c001815m	31	-8166.033216
c001817	11	-3951.834397
c001821	19	-16110.429696
c001822p	13	-6477.401407
c001824m	25	-2806.696065
c001826	17	-12295.080196
c001828	17	-9361.131284
c001830p	23	-8856.100746
c001831	11	-10529.247161
c001832	15	-8456.244180
c001836	21	-902.781983
c001840	17	-8471.783019
c001843	13	-3381.052746
c001845	11	-8877.640565
c001846	9	-5197.690086
c001848	11	-8959.859040
c001850	13	-8839.209462
c001851	13	-6128.840405
c001852m	27	-2732.834973
c001853	11	-5927.191214
c001855m	9	-3701.048678
c001855p	11	-8047.250896
c001856	9	-11975.237567
c001860p	29	-2819.168718
c001861p	15	-4611.303024
c001863m	11	-1362.580302
c001864m	21	-2631.817985
c001864p	11	-8123.496981
c001865	15	-10425.829555
c001867	11	-6474.379728
c001872	17	-6012.070853
c001873m	15	-4289.435067
c001873p	11	-1328.008034
c001876	9	-6573.093131
c001880m	13	-5831.847169
c001886	19	-11132.853944
c001887	13	-7997.500294
c001891	15	-7682.319017
c001892	11	-9160.401075
c001894m	9	-1796.606523
c001895	13	-7330.583714
c001896	9	-8410.259985
c001898	9	-9634.455865
c001905	11	-7005.235826
c001906	9	-8451.384056
c001907	17	-10699.399005
c001908m	21	-3082.245693
c001912	13	-4308.143308
c001919	9	-6389.235797
c001920m	11	-6711.771513
c001920p	19	-3494.911251
c001921p	13	-6737.896400
c001923p	17	-4719.161482
c001927m	11	-3449.989128
c001929	29	-9060.141342
c001931	13	-5079.988990
c001935	13	-5503.657601
c001938m	33	-2474.236554
c001938p	11	-1999.771443
c001941	11	-9580.512796
c001942	15	-14849.156955
c001943	13	-11348.947940
c001946m	17	-6668.718145
c001950	11	-12289.220159
c001951p	23	-5878.773378
c001952	11	-9044.074641
c001959	9	-8135.906805
c001963	17	-8443.873150
c001965	15	-10481.214305
c001967	19	-7261.974545
c001969	13	-5700.582299
c001971p	21	-2485.257599
c001973	11	-11234.514586
c001977	11	-3141.351607
c001991	19	-2954.234576
c001993	17	-14972.147431
c001996m	11	-6175.864771
c001999	11	-9682.332036
c002000	15	-8668.121203
c002002m	13	-3956.549129
c002002p	13	-6619.981099
c002006	13	-7282.631797
c002008m	25	-3910.574245
c002011	13	-12298.612593
c002014	31	-3132.234333
c002016	13	-10479.850859
c002018	21	-6966.398488
c002019p	15	-12740.781539
c002020m	15	-2802.177616
c002023	11	-6332.551444
c002024	17	-10829.363811
c002026	9	-4630.683078
c002035	19	-4100.453089
c002036	13	-7333.447830
c002037	9	-12154.330570
c002038p	15	-6210.309193
c002039	11	-10090.010025
c002045	9	-11166.625573
c002046	29	-3228.969140
c002047	13	-6503.397368
c002049	13	-5944.359728
c002052	11	-7347.409908
c002054	13	-12409.572459
c002058	13	-13781.525433
c002061p	13	-1186.043170
c002062	21	-8803.057408
c002063	13	-2230.769819
c002064	19	-10612.934610
c002065m	11	-3681.973756
c002065p	11	-10949.017772
c002066m	9	-3208.269785
c002066p	15	-6440.856588
c002067	15	-8738.915659
c002072p	13	-7845.485428
c002075	23	-13057.852081
c002076	13	-12628.469761
c002077	23	-8626.589633
c002083	9	-8769.044383
c002084p	13	-5590.750219
c002086	11	-7330.216142
c002090	27	-6939.153878
c002091	21	-7963.675979
c002092	15	-13626.583343
c002095	9	-4562.422593
c002096	9	-9973.693444
c002097m	11	-4368.508716
c002102	9	-3771.441767
c002103p	29	-4462.015612
c002106	11	-7983.531056
c002107m	25	-3203.045250
c002107p	11	-6229.046264
c002109p	21	-1973.311719
c002110	19	-7078.491677
c002112	13	-12786.154000
c002114	11	-13248.289479
c002118	13	-4218.762861
c002123m	15	-3268.489389
c002124p	19	-3866.873546
c002129	15	-9698.519573
c002130	11	-6810.751042
c002135	15	-8452.599943
c002136	17	-14660.311422
c002137	13	-13465.695317
c002140	15	-9628.592612
c002145	11	-8123.230635
c002146	11	-6843.943490
c002148	9	-4107.631628
c002149	15	-7620.781467
c002150	17	-10251.442023
c002155	11	-8305.434694
c002157	17	-10581.056575
c002158	17	-6828.921763
c002159	17	-8800.669290
c002161	15	-8002.169528
c002165	9	-16003.293388
c002168	15	-7371.731014
c002170m	13	-3953.809808
c002170p	19	-6816.204829
c002171m	11	-6887.041747
c002171p	25	-2382.238347
c002178	13	-7494.952219
c002181	13	-7381.056266
c002182	13	-5838.014988
c002183	13	-6104.783989
c002185p	21	-2584.086066
c002189	11	-7860.659873
c002190	11	-8602.561134
c002191	11	-9870.792341
c002193	9	-8671.886214
c002194	11	-3839.455808
c002195p	13	-3500.933064
c002198	19	-6654.655021
c002199	11	-9912.523159
c002200	17	-8362.796316
c002204	11	-10827.907273
c002205	9	-5097.229183
c002207m	11	-4131.920356
c002216	11	-7465.149746
c002218	13	-4992.708945
c002219m	27	-3042.093517
c002220	21	-8131.967574
c002223	15	-9079.644057
c002225m	19	-831.720424
c002225p	17	-8975.906645
c002226	13	-7673.428628
c002228m	9	-7831.649727
c002228p	25	-2990.391220
c002230	11	-9096.091183
c002231	17	-5223.949668
c002232	9	-4020.298632
c002235	13	-6469.422997
c002237	17	-15703.705864
c002239	11	-5733.976247
c002240	9	-9067.603627
c002242	15	-13499.468005
c002246	9	-6428.991465
c002249	9	-5254.462737
c002250	29	-4365.766299
c002251m	13	-3508.823594
c002251p	23	-4225.570738
c002252	11	-12548.984248
c002254m	13	-6575.715242
c002255	9	-7381.593290
c002258m	19	-7033.965500
c002258p	15	-6276.882874
c002260	21	-4196.670765
c002269	17	-13378.674768
c002270	9	-1963.231079
c002271	33	-3165.415417
c002272p	23	-4011.190683
c002274p	35	-4355.478735
c002283	11	-3924.881781
c002284	11	-6420.457810
c002288p	25	-3123.405969
c002290	13	-12458.106775
c002291	13	-14153.484834
c002293m	17	-3626.551821
c002300	11	-7774.928411
c002303m	9	-6256.466256
c002303p	17	-4694.424686
c002312	13	-8696.904795
c002315	9	-6368.203399
c002317	11	-5084.229499
c002318m	19	-4183.540041
c002319	11	-4943.027147
c002320m	9	-2826.992637
c002322	9	-8743.489719
c002324	15	-12773.786657
c002326	13	-9992.711543
