contig	total	optimal	suboptimal	ambiguous	fop
c021229	116	14	102	0	0.120689655172
c013632	393	45	348	0	0.114503816794
c046854	121	11	110	0	0.0909090909091
c046850	123	18	105	0	0.146341463415
c046859	53	4	49	0	0.0754716981132
c015268	232	37	195	0	0.159482758621
c011149	360	57	241	62	0.158333333333
c007725p	99	16	83	0	0.161616161616
c011141	689	84	585	20	0.121915820029
c011146	498	66	401	31	0.132530120482
c011144	630	92	538	0	0.146031746032
c009646	602	86	516	0	0.142857142857
c011605	461	58	403	0	0.125813449024
c050295	67	6	49	12	0.089552238806
c050297	80	8	72	0	0.1
c027334	205	26	153	26	0.126829268293
c027336	234	25	209	0	0.106837606838
c027332	95	21	74	0	0.221052631579
c015202p	46	1	45	0	0.0217391304348
c013332	508	40	313	155	0.0787401574803
c003571	578	90	488	0	0.155709342561
c050734	53	8	45	0	0.150943396226
c015202m	104	10	94	0	0.0961538461538
c050732	45	8	37	0	0.177777777778
c006319	755	91	664	0	0.120529801325
c011143	350	29	311	10	0.0828571428571
c002812p	429	59	370	0	0.137529137529
c014468	79	5	74	0	0.0632911392405
c002812m	316	45	271	0	0.142405063291
c014462	157	20	137	0	0.127388535032
c014460	380	47	333	0	0.123684210526
c014466	123	21	102	0	0.170731707317
c014464	217	20	197	0	0.0921658986175
c053283	103	14	89	0	0.135922330097
c011413	503	71	432	0	0.141153081511
c016318m	109	20	89	0	0.183486238532
c053288	42	6	36	0	0.142857142857
c000066	4333	537	3796	0	0.123932610201
c020172	65	8	47	10	0.123076923077
c020176	323	50	268	5	0.15479876161
c001747m	592	67	525	0	0.113175675676
c011968	534	76	458	0	0.142322097378
c017472	204	34	170	0	0.166666666667
c011960	258	67	190	1	0.259689922481
c011962	420	60	360	0	0.142857142857
c011964	289	62	227	0	0.214532871972
c011966	458	76	370	12	0.165938864629
c012307	42	3	39	0	0.0714285714286
c012303	368	66	302	0	0.179347826087
c029625	246	23	223	0	0.0934959349593
c021594	305	23	159	123	0.0754098360656
c021592	390	52	338	0	0.133333333333
c047101	59	10	49	0	0.169491525424
c047107	26	2	24	0	0.0769230769231
c021225	190	25	165	0	0.131578947368
c021227	236	36	200	0	0.152542372881
c021220	64	6	58	0	0.09375
c019379	46	9	32	5	0.195652173913
c015269	66	3	61	2	0.0454545454545
c041463	132	19	113	0	0.143939393939
c036382	168	18	150	0	0.107142857143
c036380	63	11	52	0	0.174603174603
c036384	76	9	57	10	0.118421052632
c021468	370	69	301	0	0.186486486486
c016357	227	19	208	0	0.0837004405286
c016355	335	47	236	52	0.140298507463
c009073m	141	15	126	0	0.106382978723
c001659p	556	65	491	0	0.11690647482
c039277	155	24	129	2	0.154838709677
c039274	152	26	126	0	0.171052631579
c039272	80	5	75	0	0.0625
c004794m	287	58	229	0	0.202090592334
c054504	82	6	76	0	0.0731707317073
c019993	348	51	294	3	0.146551724138
c019997	244	37	207	0	0.151639344262
c036566	95	8	87	0	0.0842105263158
c036562	154	12	142	0	0.0779220779221
c036560	120	9	111	0	0.075
c026360	49	5	42	2	0.102040816327
c026365	251	44	203	4	0.175298804781
c030263	231	14	217	0	0.0606060606061
c033267	219	34	185	0	0.155251141553
c008513m	135	13	122	0	0.0962962962963
c040455	77	2	74	1	0.025974025974
c038050	172	21	148	3	0.122093023256
c040458	128	10	118	0	0.078125
c002183	950	137	813	0	0.144210526316
c002181	644	61	576	7	0.0947204968944
c029595	190	14	176	0	0.0736842105263
c025405p	75	8	60	7	0.106666666667
c038637	148	19	129	0	0.128378378378
c038633	168	26	142	0	0.154761904762
c024313	84	8	76	0	0.0952380952381
c024311	77	7	70	0	0.0909090909091
c024317	138	13	125	0	0.0942028985507
c005914	266	32	234	0	0.12030075188
c005910	545	69	401	75	0.126605504587
c005912	306	42	264	0	0.137254901961
c006873	746	105	641	0	0.140750670241
c002585	1317	157	1030	130	0.1192103265
c002583	398	62	336	0	0.155778894472
c000088	2698	395	2303	0	0.146404744255
c006697	393	55	303	35	0.139949109415
c000089	3732	395	3337	0	0.105841371919
c025049	234	37	196	1	0.15811965812
c006691	494	69	425	0	0.13967611336
c025047	102	10	92	0	0.0980392156863
c025041	194	24	170	0	0.123711340206
c025043	353	54	299	0	0.152974504249
c008017	683	106	577	0	0.155197657394
c008016	491	59	392	40	0.12016293279
c036175	59	7	52	0	0.118644067797
c048847	90	10	80	0	0.111111111111
c000339p	946	111	835	0	0.11733615222
c028341	264	31	233	0	0.117424242424
c028343	91	13	78	0	0.142857142857
c028347	218	33	185	0	0.151376146789
c034630	50	5	45	0	0.1
c034636	66	6	60	0	0.0909090909091
c000063	3704	490	3214	0	0.132289416847
c032676	164	15	149	0	0.0914634146341
c032674	231	26	205	0	0.112554112554
c032672	141	21	120	0	0.148936170213
c003637	537	55	482	0	0.102420856611
c003635	1022	147	875	0	0.143835616438
c003633	735	90	645	0	0.122448979592
c003631	720	96	624	0	0.133333333333
c003639	121	19	102	0	0.157024793388
c007524	369	46	323	0	0.124661246612
c007522	545	93	452	0	0.170642201835
c007520	83	13	65	5	0.156626506024
c012667	318	38	280	0	0.119496855346
c012665	523	75	442	6	0.143403441683
c012663	286	29	257	0	0.101398601399
c007528	498	60	438	0	0.120481927711
c019038	325	30	290	5	0.0923076923077
c024889	180	19	161	0	0.105555555556
c024880	323	45	278	0	0.139318885449
c024884	154	13	141	0	0.0844155844156
c002453	1210	158	857	195	0.130578512397
c023053	150	20	130	0	0.133333333333
c014959	315	45	270	0	0.142857142857
c029037	195	26	169	0	0.133333333333
c004185	87	4	83	0	0.0459770114943
c004187	209	31	178	0	0.148325358852
c004189	959	122	830	7	0.127215849844
c018717m	99	13	86	0	0.131313131313
c000100p	1530	199	1331	0	0.130065359477
c006527	599	88	511	0	0.146911519199
c005589	270	28	242	0	0.103703703704
c009002	204	30	174	0	0.147058823529
c005581	609	22	214	373	0.0361247947455
c009006	332	38	294	0	0.114457831325
c009004	273	24	249	0	0.0879120879121
c053505	73	9	64	0	0.123287671233
c053509	96	9	87	0	0.09375
c000856m	607	74	533	0	0.121911037891
c041319	52	6	46	0	0.115384615385
c000423p	1219	141	1076	2	0.115668580804
c004553p	77	10	67	0	0.12987012987
c054913	92	10	82	0	0.108695652174
c020374	419	12	159	248	0.0286396181384
c020376	211	23	159	29	0.109004739336
c020372	167	13	154	0	0.0778443113772
c030904	168	19	149	0	0.113095238095
c009341	735	94	471	170	0.127891156463
c047973	53	5	48	0	0.0943396226415
c002346p	537	60	477	0	0.111731843575
c008637	448	54	394	0	0.120535714286
c020998	237	25	212	0	0.105485232068
c020991	168	19	148	1	0.113095238095
c020995	247	35	211	1	0.141700404858
c020997	311	52	258	1	0.167202572347
c047975	111	16	95	0	0.144144144144
c024051	251	35	216	0	0.139442231076
c024053	58	7	51	0	0.120689655172
c024059	378	47	331	0	0.124338624339
c003293p	91	13	78	0	0.142857142857
c002909p	394	34	360	0	0.0862944162437
c025624	321	48	273	0	0.14953271028
c013243p	432	58	374	0	0.134259259259
c013243m	432	58	374	0	0.134259259259
c016519	430	50	380	0	0.116279069767
c016515	107	14	93	0	0.130841121495
c016517	426	33	225	168	0.0774647887324
c016510	151	14	137	0	0.0927152317881
c016512	349	48	296	5	0.137535816619
c031074	259	19	240	0	0.0733590733591
c010913	527	72	455	0	0.136622390892
c010917	541	59	482	0	0.109057301294
c022049	258	38	220	0	0.147286821705
c022047	370	50	320	0	0.135135135135
c022041	308	37	271	0	0.12012987013
c022043	247	30	207	10	0.121457489879
c023714	270	32	238	0	0.118518518519
c023712	278	33	245	0	0.118705035971
c002387p	61	11	50	0	0.180327868852
c019244	156	16	140	0	0.102564102564
c006334p	423	55	368	0	0.130023640662
c035402	191	19	172	0	0.0994764397906
c011359	392	55	333	4	0.140306122449
c030434	200	17	183	0	0.085
c011350	108	11	97	0	0.101851851852
c011357	460	56	404	0	0.121739130435
c011355	495	58	437	0	0.117171717172
c010004	506	65	441	0	0.128458498024
c010006	378	50	328	0	0.132275132275
c010000	267	23	215	29	0.0861423220974
c010009	470	51	419	0	0.108510638298
c045380	62	8	54	0	0.129032258065
c045384	24	3	21	0	0.125
c015677	246	25	221	0	0.10162601626
c015671	170	14	156	0	0.0823529411765
c015673	416	53	363	0	0.127403846154
c000200m	2072	268	1804	0	0.129343629344
c000451m	214	17	197	0	0.0794392523364
c015989	152	19	133	0	0.125
c044055	108	13	95	0	0.12037037037
c015981	275	46	229	0	0.167272727273
c015985	110	13	82	15	0.118181818182
c027565	107	12	95	0	0.11214953271
c027561	133	16	117	0	0.12030075188
c034159	194	21	173	0	0.10824742268
c036963	123	12	110	1	0.0975609756098
c036961	64	11	53	0	0.171875
c036967	26	3	23	0	0.115384615385
c017475	311	43	268	0	0.138263665595
c003726	1051	140	872	39	0.133206470029
c042652	33	2	31	0	0.0606060606061
c042650	87	12	75	0	0.137931034483
c014581	235	37	198	0	0.157446808511
c039825	80	10	70	0	0.125
c053661	102	11	91	0	0.107843137255
c053663	72	9	63	0	0.125
c020178	160	26	134	0	0.1625
c020179	30	3	27	0	0.1
c007652	296	39	257	0	0.131756756757
c044955	100	10	90	0	0.1
c020039	275	35	240	0	0.127272727273
c008604	231	23	208	0	0.0995670995671
c020033	91	12	79	0	0.131868131868
c045126	84	11	73	0	0.130952380952
c000756p	237	50	187	0	0.210970464135
c007322	346	42	304	0	0.121387283237
c007324	810	100	710	0	0.123456790123
c008514	409	48	361	0	0.117359413203
c007328	391	49	342	0	0.125319693095
c008518	568	70	498	0	0.12323943662
c001875	1062	116	945	1	0.10922787194
c001871	718	87	628	3	0.121169916435
c018725	194	26	168	0	0.134020618557
c018720	348	40	308	0	0.114942528736
c007098	281	35	177	69	0.124555160142
c007097	569	55	514	0	0.0966608084359
c007095	732	84	648	0	0.114754098361
c007093	611	73	538	0	0.119476268412
c045606	39	9	30	0	0.230769230769
c045609	38	4	34	0	0.105263157895
c048713	107	17	90	0	0.158878504673
c048717	109	13	96	0	0.119266055046
c003539	1227	144	1050	33	0.117359413203
c018493	289	37	252	0	0.128027681661
c018491	140	14	124	2	0.1
c028413	315	43	272	0	0.136507936508
c018499	240	22	218	0	0.0916666666667
c033872	161	13	148	0	0.0807453416149
c000693p	784	110	674	0	0.140306122449
c037595	125	18	107	0	0.144
c004967	464	57	407	0	0.122844827586
c004964	636	72	524	40	0.11320754717
c004962	836	93	739	4	0.111244019139
c004960	448	57	391	0	0.127232142857
c004968	574	62	512	0	0.108013937282
c041639	53	8	45	0	0.150943396226
c041635	139	17	122	0	0.122302158273
c041631	73	14	59	0	0.191780821918
c000044	4461	548	3725	188	0.122842412015
c015414	284	29	255	0	0.102112676056
c010547p	89	9	80	0	0.101123595506
c023108	64	12	52	0	0.1875
c023109	137	14	123	0	0.102189781022
c031699	209	26	183	0	0.124401913876
c051113	21	4	17	0	0.190476190476
c023105	97	10	87	0	0.103092783505
c054372	59	5	54	0	0.0847457627119
c054370	96	5	91	0	0.0520833333333
c035999	135	20	115	0	0.148148148148
c013795m	238	39	199	0	0.163865546218
c035449	86	12	74	0	0.139534883721
c035445	195	23	172	0	0.117948717949
c035443	123	17	106	0	0.138211382114
c015727	235	37	198	0	0.157446808511
c021598	128	20	108	0	0.15625
c034110	96	12	84	0	0.125
c034118	204	40	164	0	0.196078431373
c029659	198	35	163	0	0.176767676768
c015583	118	19	99	0	0.161016949153
c040333	79	13	66	0	0.164556962025
c015728	254	30	224	0	0.11811023622
c027388	123	24	99	0	0.19512195122
c038009	113	10	103	0	0.0884955752212
c038007	172	12	154	6	0.0697674418605
c025690	165	31	133	1	0.187878787879
c004797	883	113	770	0	0.127972819932
c015035	273	39	234	0	0.142857142857
c027380	208	31	177	0	0.149038461538
c026962	139	22	117	0	0.158273381295
c026960	80	15	52	13	0.1875
c026966	41	9	32	0	0.219512195122
c026964	204	30	174	0	0.147058823529
c033465	183	32	151	0	0.174863387978
c002424	1259	188	995	76	0.149324861001
c002426	1094	144	858	92	0.131627056673
c006558	358	40	318	0	0.111731843575
c006552	280	37	243	0	0.132142857143
c006555	599	79	520	0	0.131886477462
c006557	925	108	817	0	0.116756756757
c034802	83	11	72	0	0.132530120482
c036043	122	17	105	0	0.139344262295
c022609	182	29	153	0	0.159340659341
c022605	365	53	311	1	0.145205479452
c026388	252	36	216	0	0.142857142857
c026386	291	42	249	0	0.144329896907
c026382	348	34	215	99	0.0977011494253
c026380	101	10	91	0	0.0990099009901
c051293	73	7	66	0	0.0958904109589
c029853	208	31	162	15	0.149038461538
c038539	34	4	30	0	0.117647058824
c032408	126	15	111	0	0.119047619048
c003537	840	130	710	0	0.154761904762
c015173	365	47	315	3	0.128767123288
c037014	181	27	152	2	0.149171270718
c049905	102	14	88	0	0.137254901961
c049903	86	6	80	0	0.0697674418605
c049901	73	16	57	0	0.219178082192
c003943p	263	21	242	0	0.0798479087452
c027765	142	22	120	0	0.154929577465
c031975	126	20	106	0	0.15873015873
c031977	190	36	154	0	0.189473684211
c021725	331	35	296	0	0.105740181269
c021727	188	29	159	0	0.154255319149
c021729	32	6	26	0	0.1875
c027897	180	24	156	0	0.133333333333
c038281	89	15	74	0	0.168539325843
c009212	556	65	491	0	0.11690647482
c009217	768	100	578	90	0.130208333333
c009215	402	58	294	50	0.144278606965
c021493	71	12	59	0	0.169014084507
c021491	155	20	135	0	0.129032258065
c021499	54	9	45	0	0.166666666667
c014834	357	40	289	28	0.112044817927
c014836	383	41	342	0	0.107049608355
c014830	291	36	255	0	0.123711340206
c014832	213	18	188	7	0.0845070422535
c025056	311	52	259	0	0.167202572347
c014839	310	35	244	31	0.112903225806
c005048	451	46	405	0	0.10199556541
c046622	59	4	42	13	0.0677966101695
c048746	116	15	101	0	0.129310344828
c000034m	390	62	328	0	0.158974358974
c042718	114	7	107	0	0.0614035087719
c046852	81	8	73	0	0.0987654320988
c015231	556	75	481	0	0.134892086331
c041316	109	13	96	0	0.119266055046
c019374	259	29	230	0	0.111969111969
c048103	87	14	63	10	0.16091954023
c019370	246	14	117	115	0.0569105691057
c047578	121	20	101	0	0.165289256198
c047576	52	14	38	0	0.269230769231
c043448	134	15	118	1	0.111940298507
c043444	94	8	86	0	0.0851063829787
c001927m	356	42	314	0	0.11797752809
c001927p	232	38	194	0	0.163793103448
c018024	367	43	321	3	0.117166212534
c043195	139	10	129	0	0.0719424460432
c041468	103	23	80	0	0.223300970874
c044087	136	17	119	0	0.125
c044081	51	9	42	0	0.176470588235
c046697	124	26	98	0	0.209677419355
c040843	120	22	98	0	0.183333333333
c001985p	214	41	173	0	0.191588785047
c011256	90	8	82	0	0.0888888888889
c002658m	296	40	256	0	0.135135135135
c017912	260	35	224	1	0.134615384615
c011250	312	38	274	0	0.121794871795
c007992m	113	11	102	0	0.0973451327434
c014012	440	78	356	6	0.177272727273
c014010	128	7	121	0	0.0546875
c014017	316	45	271	0	0.142405063291
c010709	537	73	460	4	0.135940409683
c001370m	412	65	326	21	0.157766990291
c001370p	190	38	152	0	0.2
c035208	200	24	176	0	0.12
c051270	36	3	33	0	0.0833333333333
c037914	139	19	120	0	0.136690647482
c037912	92	12	80	0	0.130434782609
c045064	112	15	97	0	0.133928571429
c045066	125	9	116	0	0.072
c045060	84	12	72	0	0.142857142857
c001221	499	47	452	0	0.0941883767535
c016350	234	35	196	3	0.149572649573
c042956	73	9	64	0	0.123287671233
c003313	609	64	545	0	0.105090311987
c042957	111	23	88	0	0.207207207207
c003318	978	108	870	0	0.110429447853
c005234p	119	16	103	0	0.134453781513
c054821	100	15	85	0	0.15
c015824	158	26	132	0	0.164556962025
c015820	133	10	105	18	0.0751879699248
c015822	185	31	154	0	0.167567567568
c037384	152	13	139	0	0.0855263157895
c026939	165	17	147	1	0.10303030303
c012414	130	12	118	0	0.0923076923077
c012416	181	27	147	7	0.149171270718
c012413	304	35	269	0	0.115131578947
c012418	191	32	159	0	0.167539267016
c037881	58	2	56	0	0.0344827586207
c006799	103	6	97	0	0.0582524271845
c006793	501	68	433	0	0.135728542914
c006791	514	77	433	4	0.149805447471
c006797	338	38	300	0	0.112426035503
c006795	497	39	458	0	0.0784708249497
c053361	48	8	40	0	0.166666666667
c029263	190	24	166	0	0.126315789474
c029269	124	9	103	12	0.0725806451613
c012225m	221	28	182	11	0.126696832579
c038360	96	7	89	0	0.0729166666667
c003560	1217	159	1046	12	0.130649137223
c005097	478	84	394	0	0.175732217573
c007113	792	100	692	0	0.126262626263
c007111	501	72	429	0	0.14371257485
c007117	769	70	527	172	0.0910273081925
c007115	632	64	562	6	0.101265822785
c007119	508	52	454	2	0.102362204724
c046345	110	18	92	0	0.163636363636
c046341	83	12	71	0	0.144578313253
c046349	105	17	88	0	0.161904761905
c019644	176	19	157	0	0.107954545455
c019641	448	63	385	0	0.140625
c019643	91	15	75	1	0.164835164835
c019649	208	28	165	15	0.134615384615
c013896	592	76	510	6	0.128378378378
c013892	403	54	349	0	0.133995037221
c013890	128	13	115	0	0.1015625
c013899	565	71	494	0	0.125663716814
c030980	98	15	83	0	0.15306122449
c019999	264	34	230	0	0.128787878788
c002892	946	111	835	0	0.11733615222
c002896	885	59	555	271	0.0666666666667
c002898	626	110	516	0	0.17571884984
c000889	1769	91	690	988	0.0514414923686
c008329	179	20	159	0	0.111731843575
c008327	581	78	503	0	0.134251290878
c008323	85	12	73	0	0.141176470588
c019992	297	18	278	1	0.0606060606061
c048697	111	18	93	0	0.162162162162
c048699	83	10	73	0	0.120481927711
c010678p	110	9	101	0	0.0818181818182
c018516	147	15	132	0	0.102040816327
c018514	263	25	238	0	0.0950570342205
c018512	221	22	199	0	0.0995475113122
c018510	346	55	291	0	0.158959537572
c003646p	269	31	238	0	0.115241635688
c003646m	103	15	88	0	0.145631067961
c048568	75	12	63	0	0.16
c040751	63	6	57	0	0.0952380952381
c004550	312	42	270	0	0.134615384615
c004555	722	78	644	0	0.108033240997
c028067	251	30	221	0	0.119521912351
c028060	189	22	167	0	0.116402116402
c000197	2649	250	2394	5	0.0943752359381
c031710	115	12	103	0	0.104347826087
c028062	60	13	47	0	0.216666666667
c032975	81	10	71	0	0.123456790123
c022772	256	24	232	0	0.09375
c000459	1305	186	1119	0	0.142528735632
c032978	187	31	156	0	0.16577540107
c031715	198	16	182	0	0.0808080808081
c031716	67	10	57	0	0.149253731343
c036275	54	10	44	0	0.185185185185
c000760p	364	44	320	0	0.120879120879
c030531	220	27	193	0	0.122727272727
c030537	205	30	175	0	0.146341463415
c030538	130	22	108	0	0.169230769231
c000192	1592	174	1418	0	0.109296482412
c005208	375	52	323	0	0.138666666667
c041001	23	2	21	0	0.0869565217391
c009982	559	72	484	3	0.128801431127
c009980	616	56	369	191	0.0909090909091
c009986	215	33	182	0	0.153488372093
c009984	336	34	302	0	0.10119047619
c009988	138	13	100	25	0.0942028985507
c029105	205	28	177	0	0.136585365854
c024486	90	12	77	1	0.133333333333
c024480	70	11	59	0	0.157142857143
c024488	327	47	272	8	0.14373088685
c006658	162	10	148	4	0.0617283950617
c001049m	181	24	157	0	0.132596685083
c020789	296	42	254	0	0.141891891892
c025288	207	26	181	0	0.125603864734
c025283	263	33	227	3	0.125475285171
c025281	136	23	113	0	0.169117647059
c025285	229	21	184	24	0.0917030567686
c034300	189	18	171	0	0.0952380952381
c034305	137	16	121	0	0.116788321168
c034309	154	15	139	0	0.0974025974026
c013316	294	48	236	10	0.163265306122
c026889	65	7	58	0	0.107692307692
c026887	295	19	244	32	0.064406779661
c026881	232	21	169	42	0.0905172413793
c026883	112	19	93	0	0.169642857143
c024779	240	23	217	0	0.0958333333333
c024772	265	20	173	72	0.0754716981132
c025426	120	7	110	3	0.0583333333333
c025424	179	26	153	0	0.145251396648
c004563p	741	81	660	0	0.109311740891
c003747m	170	25	145	0	0.147058823529
c043901	102	19	83	0	0.186274509804
c026737	104	14	90	0	0.134615384615
c026735	135	10	125	0	0.0740740740741
c006764p	118	21	97	0	0.177966101695
c001369p	85	6	79	0	0.0705882352941
c033169	143	13	113	17	0.0909090909091
c033161	193	20	173	0	0.103626943005
c010254m	176	26	150	0	0.147727272727
c033165	61	10	51	0	0.16393442623
c033167	152	20	132	0	0.131578947368
c020278	283	33	246	4	0.116607773852
c048970	116	13	99	4	0.112068965517
c048976	86	8	78	0	0.093023255814
c023343	215	26	189	0	0.120930232558
c023345	201	20	181	0	0.0995024875622
c023347	108	13	95	0	0.12037037037
c010273	290	26	264	0	0.0896551724138
c051478	59	10	49	0	0.169491525424
c010275	474	60	401	13	0.126582278481
c051472	86	7	79	0	0.0813953488372
c051474	57	8	49	0	0.140350877193
c001309p	293	44	249	0	0.150170648464
c053831	28	3	25	0	0.107142857143
c053833	68	9	50	9	0.132352941176
c032210	104	17	87	0	0.163461538462
c050624	111	18	93	0	0.162162162162
c032214	26	3	23	0	0.115384615385
c004757	627	53	571	3	0.0845295055821
c009397	561	89	472	0	0.158645276292
c015003	175	23	152	0	0.131428571429
c009392	335	43	289	3	0.128358208955
c009390	165	19	146	0	0.115151515152
c020641	331	44	286	1	0.132930513595
c020643	277	36	241	0	0.129963898917
c003357p	380	49	331	0	0.128947368421
c004615	361	42	319	0	0.116343490305
c047628	120	15	105	0	0.125
c003357m	366	30	248	88	0.0819672131148
c004613	796	102	694	0	0.128140703518
c004618	686	61	625	0	0.0889212827988
c053291	103	12	91	0	0.116504854369
c013816p	190	26	164	0	0.136842105263
c027911	227	21	206	0	0.0925110132159
c027915	273	41	232	0	0.150183150183
c027917	102	12	90	0	0.117647058824
c021517	107	6	101	0	0.0560747663551
c001564	1310	146	1102	62	0.111450381679
c021518	152	18	134	0	0.118421052632
c026500	111	11	100	0	0.0990990990991
c026505	34	5	29	0	0.147058823529
c003219m	307	37	270	0	0.120521172638
c001566	1070	143	927	0	0.133644859813
c051984	70	5	57	8	0.0714285714286
c051989	44	4	40	0	0.0909090909091
c026404	192	37	155	0	0.192708333333
c026405	264	34	230	0	0.128787878788
c003219p	627	66	551	10	0.105263157895
c012920	426	58	368	0	0.136150234742
c012922	353	40	313	0	0.113314447592
c012924	93	6	74	13	0.0645161290323
c012928	155	22	133	0	0.141935483871
c042127	108	8	100	0	0.0740740740741
c005131m	509	62	447	0	0.121807465619
c024310	129	7	95	27	0.0542635658915
c052982	76	8	68	0	0.105263157895
c052980	101	8	93	0	0.0792079207921
c037309	177	26	151	0	0.146892655367
c024239	113	9	104	0	0.0796460176991
c019912	215	26	189	0	0.120930232558
c019914	314	55	259	0	0.175159235669
c031627	106	14	92	0	0.132075471698
c044452	129	10	119	0	0.077519379845
c044454	110	15	95	0	0.136363636364
c015578	444	54	390	0	0.121621621622
c022378	75	10	57	8	0.133333333333
c015576	416	70	346	0	0.168269230769
c015575	179	19	160	0	0.106145251397
c011669	205	24	181	0	0.117073170732
c011662	218	28	190	0	0.128440366972
c011661	292	27	262	3	0.0924657534247
c011667	494	47	447	0	0.0951417004049
c011665	442	67	375	0	0.151583710407
c023800	231	28	176	27	0.121212121212
c029840	64	4	60	0	0.0625
c029842	166	21	145	0	0.126506024096
c038545	59	6	53	0	0.101694915254
c038541	125	16	109	0	0.128
c014196	314	23	291	0	0.0732484076433
c014194	374	36	338	0	0.096256684492
c014192	237	32	203	2	0.135021097046
c014190	489	39	206	244	0.079754601227
c002236m	776	94	604	78	0.121134020619
c005114p	340	35	305	0	0.102941176471
c014627	418	57	361	0	0.136363636364
c009852m	117	15	102	0	0.128205128205
c014623	343	50	287	6	0.145772594752
c014884p	112	9	103	0	0.0803571428571
c014884m	220	25	152	43	0.113636363636
c010536	481	70	411	0	0.14553014553
c010530	210	33	177	0	0.157142857143
c010532	286	27	259	0	0.0944055944056
c009852p	173	23	150	0	0.132947976879
c010538	617	112	505	0	0.18152350081
c002270	225	33	192	0	0.146666666667
c002277	648	90	555	3	0.138888888889
c042941	55	6	49	0	0.109090909091
c041366	47	3	44	0	0.063829787234
c041364	149	11	132	6	0.0738255033557
c041362	50	3	47	0	0.06
c041360	101	7	94	0	0.0693069306931
c030049	177	21	155	1	0.118644067797
c035032	95	3	52	40	0.0315789473684
c045522	54	11	43	0	0.203703703704
c028078	305	47	258	0	0.154098360656
c001204m	311	44	267	0	0.141479099678
c018332	100	17	83	0	0.17
c003104	719	98	618	3	0.136300417246
c003107	966	128	838	0	0.132505175983
c003109	595	60	535	0	0.100840336134
c007830	506	58	448	0	0.114624505929
c014358	272	37	235	0	0.136029411765
c007834	443	38	405	0	0.0857787810384
c007837	401	32	369	0	0.0798004987531
c007839	634	74	434	126	0.116719242902
c012594	258	31	178	49	0.12015503876
c012596	61	7	54	0	0.114754098361
c005009	692	97	587	8	0.140173410405
c014351	274	24	250	0	0.0875912408759
c022642	121	12	109	0	0.099173553719
c041102	144	13	131	0	0.0902777777778
c036856	111	20	91	0	0.18018018018
c036852	84	9	75	0	0.107142857143
c041100	60	3	57	0	0.05
c036859	72	13	59	0	0.180555555556
c022643	351	36	315	0	0.102564102564
c003710p	108	12	96	0	0.111111111111
c024808	188	31	157	0	0.164893617021
c008287	547	82	465	0	0.149908592322
c008280	678	80	598	0	0.117994100295
c003710m	322	31	291	0	0.0962732919255
c008289	655	86	569	0	0.131297709924
c033368	151	22	129	0	0.145695364238
c033362	215	19	196	0	0.0883720930233
c033366	63	13	50	0	0.206349206349
c038367	61	7	54	0	0.114754098361
c008179	721	78	529	114	0.108183079057
c008174	524	54	392	78	0.103053435115
c008176	569	56	505	8	0.0984182776801
c008170	717	100	617	0	0.139470013947
