contig	Nc
c000100p	56.36
c006527	50.56
c005589	56.62
c009002	45.54
c005581	53.52
c009006	52.23
c009004	55.19
c053505	38.74
c053509	55.71
c000856m	56.58
c000423p	55.69
c004553p	48.05
c054913	57.16
c020374	54.65
c020376	53.28
c020372	61.00
c030904	61.00
c009341	56.90
c047973	54.11
c002346p	52.64
c008637	56.74
c020998	45.94
c020991	46.47
c020995	50.53
c020997	49.67
c047975	61.00
c024051	48.04
c024053	49.38
c024059	56.34
c003293p	50.06
c002909p	54.86
c025624	53.09
c013243p	47.70
c013243m	47.70
c016519	54.33
c016515	61.00
c016517	57.05
c016510	49.30
c016512	54.49
c031074	49.01
c010913	56.58
c010917	55.61
c022049	54.39
c022047	50.05
c022041	55.07
c022043	58.41
c023714	56.66
c023712	56.73
c002387p	40.96
c019244	47.99
c006334p	58.60
c035402	45.74
c011359	45.09
c030434	50.99
c011350	61.00
c011357	56.58
c011355	58.68
c010004	54.88
c010006	55.11
c010000	47.25
c010009	51.35
c045380	61.00
c045384	56.00
c015677	54.59
c015671	56.11
c015673	50.75
c000200m	51.02
c000451m	61.00
c015989	54.19
c044055	54.38
c015981	53.55
c015985	47.57
c027565	61.00
c027561	50.97
c034159	61.00
c036963	59.79
c036961	55.77
c036967	57.00
c017475	58.89
c003726	56.69
c042652	61.00
c042650	52.00
c014581	61.00
c039825	61.00
c053661	61.00
c053663	60.95
c020178	46.50
c020179	41.00
c007652	58.43
c044955	61.00
c020039	59.38
c008604	49.88
c020033	54.87
c045126	48.03
c000756p	60.25
c007322	58.36
c007324	55.49
c008514	55.83
c007328	56.34
c008518	55.65
c001875	57.85
c001871	51.57
c018725	50.81
c018720	54.85
c007098	55.13
c007097	56.52
c007095	60.35
c007093	57.48
c045606	34.12
c045609	44.10
c048713	54.45
c048717	55.03
c003539	56.02
c018493	57.06
c018491	53.65
c028413	53.97
c018499	54.70
c033872	55.34
c000693p	51.55
c037595	39.50
c004967	56.24
c004964	50.14
c004962	58.58
c004960	56.88
c004968	57.06
c041639	56.28
c041635	57.54
c041631	46.38
c000044	55.30
c015414	61.00
c010547p	38.71
c023108	52.64
c023109	58.66
c031699	55.21
c023105	45.58
c054372	44.49
c054370	43.68
c035999	54.56
c013795m	49.53
c035449	50.20
c035445	51.22
c035443	55.27
c015727	48.84
c021598	61.00
c034110	61.00
c034118	33.47
c029659	47.67
c015583	49.17
c040333	43.88
c015728	57.76
c027388	47.12
c038009	61.00
c038007	61.00
c025690	52.40
c004797	56.48
c015035	58.57
c027380	55.17
c026962	55.99
c026960	45.79
c026966	27.92
c026964	55.01
c033465	54.62
c002424	56.90
c002426	54.80
c006558	51.90
c006552	49.33
c006555	55.13
c006557	57.89
c034802	45.40
c036043	46.72
c022609	56.27
c022605	53.15
c026388	58.39
c026386	57.24
c026382	55.24
c026380	51.45
c051293	61.00
c029853	53.93
c032408	39.06
c003537	51.20
c015173	56.16
c037014	42.57
c049905	34.84
c049903	58.66
c049901	51.00
c003943p	57.17
c027765	52.53
c031975	53.19
c031977	47.86
c021725	55.77
c021727	53.15
c021729	37.10
c027897	50.30
c038281	53.29
c009212	60.85
c009217	51.32
c009215	50.22
c021493	44.04
c021491	50.04
c021499	54.74
c014834	50.13
c014836	50.62
c014830	57.04
c014832	47.01
c025056	51.92
c014839	48.60
c005048	61.00
c046622	61.00
c048746	46.51
c000034m	48.30
c042718	49.65
c046852	61.00
c015231	57.85
c041316	55.88
c019374	50.93
c048103	49.55
c019370	55.76
c047578	38.56
c043448	58.13
c043444	61.00
c001927m	61.00
c001927p	43.35
c018024	59.08
c043195	41.60
c041468	46.40
c044087	53.95
c044081	47.84
c046697	43.78
c040843	51.47
c001985p	49.45
c011256	61.00
c002658m	53.20
c017912	54.97
c011250	55.11
c007992m	52.35
c014012	52.37
c014010	47.85
c014017	51.47
c010709	50.29
c001370m	55.66
c001370p	61.00
c035208	61.00
c051270	46.50
c037914	53.78
c037912	49.71
c045064	61.00
c045066	61.00
c045060	55.26
c001221	56.53
c016350	61.00
c042956	46.90
c003313	57.54
c042957	55.52
c003318	55.59
c005234p	55.75
c054821	59.74
c015824	49.80
c015820	56.56
c015822	47.22
c037384	60.41
c026939	47.95
c012414	52.71
c012416	54.52
c012413	50.63
c012418	46.70
c037881	44.83
c006799	47.73
c006793	54.90
c006791	53.88
c006797	50.76
c006795	59.60
c053361	54.27
c029263	56.38
c029269	46.70
c012225m	48.45
c038360	40.78
c003560	49.87
c005097	50.87
c007113	49.33
c007111	57.56
c007117	54.01
c007115	56.43
c007119	55.72
c046345	60.85
c046341	49.83
c046349	58.46
c019644	54.61
c019641	56.09
c019643	49.68
c019649	51.04
c013896	55.83
c013892	53.50
c013890	61.00
c013899	52.89
c030980	55.25
c019999	48.87
c002892	58.92
c002896	52.06
c002898	52.37
c000889	57.06
c008329	59.11
c008327	50.01
c008323	60.55
c019992	54.23
c048697	60.95
c048699	55.70
c010678p	52.27
c018516	55.38
c018514	55.90
c018512	61.00
c018510	50.49
c003646p	56.45
c003646m	61.00
c048568	55.75
c040751	56.68
c004550	52.06
c004555	58.77
c028067	61.00
c028060	61.00
c000197	57.76
c031710	52.31
c028062	39.21
c032975	57.51
c022772	53.84
c000459	56.22
c032978	49.83
c031715	48.59
c031716	54.34
c036275	58.47
c000760p	53.19
c030531	55.53
c030537	55.27
c030538	47.46
c000192	58.79
c005208	60.28
c009982	61.00
c009980	48.99
c009986	57.49
c009984	55.97
c009988	58.73
c029105	43.71
c024486	59.88
c024480	44.25
c024488	53.94
c006658	56.46
c001049m	52.53
c020789	45.15
c025288	52.57
c025283	49.79
c025281	52.52
c025285	49.04
c034300	52.17
c034305	53.30
c034309	57.49
c013316	49.88
c026889	61.00
c026887	56.98
c026881	59.64
c026883	53.01
c024779	53.65
c024772	54.58
c025426	40.45
c025424	53.93
c004563p	53.24
c003747m	47.85
c043901	48.54
c026737	57.41
c026735	50.76
c006764p	51.14
c001369p	56.42
c033169	56.27
c033161	51.03
c010254m	51.35
c033165	61.00
c033167	55.14
c020278	57.97
c048970	59.17
c048976	48.36
c023343	47.32
c023345	49.59
c023347	61.00
c010273	55.93
c051478	49.09
c010275	50.19
c051472	42.35
c051474	35.50
c001309p	55.04
c053833	43.31
c032210	44.35
c050624	46.36
c032214	27.49
c004757	54.04
c009397	57.95
c015003	56.41
c009392	54.69
c009390	53.20
c020641	57.71
c020643	49.24
c003357p	52.70
c004615	59.15
c047628	53.77
c003357m	61.00
c004613	54.30
c004618	55.72
c053291	47.68
c013816p	54.74
c027911	61.00
c027915	50.64
c027917	61.00
c021517	43.29
c001564	51.61
c021518	60.10
c026500	48.48
c026505	61.00
c003219m	53.77
c001566	54.42
c051984	54.95
c051989	61.00
c026404	55.10
c026405	51.62
c003219p	53.03
c012920	54.33
c012922	59.13
c012924	46.84
c012928	54.04
c042127	55.79
c005131m	54.27
c024310	50.02
c052982	61.00
c052980	61.00
c037309	54.31
c024239	61.00
c019912	61.00
c019914	57.87
c031627	36.66
c044452	61.00
c044454	61.00
c015578	52.19
c022378	61.00
c015576	52.56
c015575	54.97
c011669	60.73
c011662	47.06
c011661	60.04
c011667	57.65
c011665	51.13
c023800	58.36
c029840	44.10
c029842	54.19
c038545	50.11
c038541	54.16
c014196	61.00
c014194	54.74
c014192	54.99
c014190	49.59
c002236m	52.34
c005114p	60.61
c014627	48.26
c009852m	45.00
c014623	57.71
c014884p	52.49
c014884m	61.00
c010536	58.53
c010530	53.73
c010532	61.00
c009852p	55.54
c010538	49.48
c002270	49.09
c002277	53.17
c042941	47.02
c041366	48.57
c041364	56.89
c041362	54.40
c041360	61.00
c030049	55.33
c035032	50.20
c045522	37.23
c028078	47.51
c001204m	50.56
c018332	47.52
c003104	50.45
c003107	55.26
c003109	57.22
c007830	61.00
c014358	48.09
c007834	57.50
c007837	61.00
c007839	55.20
c012594	54.65
c012596	39.07
c005009	53.97
c014351	53.52
c022642	61.00
c041102	58.50
c036856	55.20
c036852	53.68
c041100	48.38
c036859	46.45
c022643	57.05
c003710p	51.46
c024808	56.97
c008287	56.31
c008280	55.69
c003710m	57.25
c008289	56.18
c033368	54.75
c033362	55.78
c033366	44.58
c038367	44.35
c008179	57.62
c008174	58.48
c008176	56.92
c008170	56.06
c008172	37.27
c000360	58.22
c000367	57.36
c052397	48.92
c052395	59.29
c049533	57.27
c049531	50.72
c018302	59.85
c036866	58.52
c002581	58.23
c005502	56.86
c005500	53.81
c005506	57.88
c033986	55.31
c033984	42.99
c003968m	44.77
c003968p	53.50
c037062	61.00
c028850	51.30
c028855	55.33
c028856	56.92
c005017m	56.23
c006693	52.22
c003485	54.90
c004455	51.03
c004453	52.63
c004450	52.49
c003844	57.63
c003488	52.62
c031050	61.00
c009629	56.96
c022761	56.32
c018370	51.94
c030986	52.59
c030981	57.36
c003952	50.96
c003956	49.28
c003954	60.05
c003958	58.37
c035367	44.11
c020911	49.98
c020913	55.46
c020918	47.68
c017675	47.40
c038731	54.92
c003711m	48.46
c038730	61.00
c007530	57.23
c025660	60.33
c025324	61.00
c037054	46.57
c025322	61.00
c003188	54.31
c003189	51.15
c034571	48.40
c034576	61.00
c034574	45.39
c034579	61.00
c000530m	44.70
c000781m	57.75
c025594	57.90
c011065	53.33
c022487	60.39
c011062	60.84
c011068	50.99
c008027	58.44
c035082	61.00
c026676	43.06
c026674	53.85
c017734	50.21
c017739	51.33
c035893	29.05
c043990	55.90
c041940	42.38
c023797	55.44
c023795	51.02
c023793	54.80
c023799	57.89
c050394	61.00
c027073	52.69
c010336	53.00
c017556	59.29
c007845p	54.25
c012535	50.95
c010339	61.00
c016869	51.81
c016864	51.21
c016866	47.48
c016860	57.73
c010089	49.13
c010084	57.84
c010086	50.33
c010080	55.22
c010082	54.38
c054986	48.26
c014506	50.78
c014502	52.64
c014508	48.37
c003496	56.36
c003494	56.32
c011205	57.98
c045411	61.00
c013998	61.00
c013993	58.65
c013991	53.94
c009632	60.16
c043562	51.30
c009143p	53.15
c043564	45.65
c045537	52.91
c005396	53.20
c017839	48.81
c010159	57.16
c005394	57.92
c046139	61.00
c004235	55.23
c028280	55.20
c010153	52.37
c017835	58.47
c021307	61.00
c021305	60.77
c021303	54.14
c012845	55.43
c021309	61.00
c045294	55.10
c038865	53.82
c024388	56.08
c046798	56.45
c047262	55.61
c018141	59.81
c041548	57.65
c044797	45.37
c044793	59.30
c008891p	52.59
c045978	61.00
c042370	52.36
c052623	53.33
c044242	60.09
c044240	59.08
c044246	61.00
c019895	53.22
c019897	47.96
c032710	47.77
c019899	54.46
c000124m	52.25
c037515	52.11
c028289	34.57
c035916	59.52
c035912	55.37
c003372	52.28
c031615	48.71
c031617	57.82
c017948	54.12
c026023	42.34
c007941m	57.94
c001934m	56.74
c001934p	56.02
c030258	54.79
c030252	57.22
c038087	53.10
c022456m	37.46
c000959	54.68
c000953	56.86
c000957	57.87
c000955	54.79
c001604	54.34
c001601	52.58
c001602	58.33
c001608	59.13
c025654	58.55
c025653	52.74
c034774	61.00
c001938m	56.83
c032739	61.00
c032735	50.55
c039879	61.00
c034889	57.54
c003775	54.37
c039871	52.96
c007602	52.71
c007604	56.72
c012781	54.04
c007608	60.61
c012785	53.91
c012787	52.02
c019770	60.03
c019776	57.92
c032483	51.32
c032485	53.50
c032487	59.27
c026307	61.00
c029171	51.76
c033287	44.21
c033281	31.78
c026308	61.00
c048050	56.94
c045668	48.55
c004063	55.07
c004061	59.80
c004067	57.49
c049985	35.96
c049981	52.03
c012824m	49.63
c040172	46.08
c009124	53.56
c009126	51.88
c009120	53.63
c009122	51.84
c009128	51.13
c002960	54.71
c002962	57.86
c005739	56.83
c005734	53.09
c005736	50.29
c005730	43.23
c010260p	60.57
c009293	53.25
c009291	56.16
c009297	55.49
c009298	56.29
c023167	46.43
c006725	45.19
c035756	47.20
c020230	56.66
c020234	52.16
c020236	48.18
c035757	46.30
c009876	53.57
c009874	53.67
c009872	47.22
c029405	56.23
c009878	52.13
c042615	61.00
c008658m	53.13
c029406	55.03
c021142	56.35
c021146	55.65
c021148	54.30
c050971	54.88
c003268	55.57
c024247	49.72
c024241	53.06
c024243	60.80
c037953	44.63
c001178p	51.32
c001178m	56.60
c016259	52.58
c016257	59.73
c016255	57.96
c001651m	52.80
c042210	29.17
c044003	48.74
c001143m	51.57
c037956	60.36
c016785	56.61
c016781	48.57
c016783	55.66
c016788	53.52
c003419p	47.97
c025116	55.54
c025112	54.76
c025110	48.89
c023459	43.64
c014091	61.00
c014097	54.12
c023451	61.00
c023453	57.68
c013513	53.80
c037958	54.37
c010785	51.83
c010788	50.74
c011788	55.88
c011781	53.35
c044500	50.53
c011784	55.61
c011786	48.59
c025823	47.38
c000423m	61.00
c017676	61.00
c017674	52.37
c017672	56.12
c017670	50.30
c017678	54.56
c020657	53.99
c012230	57.62
c037204	54.76
c010167	51.67
c010165	51.05
c010163	54.49
c051156	44.63
c030630	48.54
c054761	60.08
c050180	52.67
c027203	56.85
c027207	61.00
c026343	55.31
c042511	53.16
c009154	49.19
c006716	58.85
c006714	52.06
c006719	60.91
c053985	61.00
c053987	50.31
c026341	49.45
c002105p	51.12
c046073	45.48
c026340	52.56
c041860	44.94
c013542	53.53
c041868	46.68
c020779	50.92
c026347	61.00
c020776	59.43
c007449	56.03
c043643	42.31
c007498	55.91
c001939	52.50
c001932	54.94
c001930	57.66
c001935	51.38
c039362	47.28
c007199	57.69
c007191	49.16
c007197	59.59
c007195	58.20
c045762	56.68
c012238	60.01
c045768	51.71
c045567	47.64
c020098	58.00
c021027	46.00
c045560	51.29
c012233	54.64
c052874	59.75
c037499	54.75
c001260	51.30
c008797m	53.09
c008797p	61.00
c048615	51.43
c001964	59.88
c037767	50.70
c001968	58.17
c044560	42.12
c016418m	61.00
c049252	61.00
c049256	46.72
c049254	47.75
c041081	51.45
c028406	60.79
c041089	61.00
c039382	44.48
c054432	46.63
c028171	51.08
c031409	47.93
c031404	56.47
c031400	48.77
c039650	45.35
c039656	60.61
c009050	42.49
c035726	50.34
c020880	57.52
c024343	55.09
c000859	56.18
c008375	48.37
c029754	52.49
c029756	47.86
c029752	56.61
c001100	61.00
c001104	51.65
c000822m	48.65
c004279m	54.01
c030355	54.96
c030353	56.23
c040871	57.59
c040875	44.22
c026800	61.00
c004138	57.30
c002345	57.19
c004139	53.18
c002340	53.00
c037195	57.24
c002348	58.00
c006454	50.36
c006450	53.11
c006452	56.36
c050047	61.00
c008992	50.68
c004137	53.44
c008999	47.16
c033658	52.84
c004449p	50.56
c004079m	55.51
c000656p	58.47
c016701	56.10
c013629	59.07
c022128	43.21
c022121	58.70
c022127	61.00
c023698	45.52
c023692	46.08
c000690	54.42
c023696	59.93
c023695	53.42
c016703	53.99
c034929	57.27
c034925	52.91
c034921	61.00
c034923	61.00
c026115	56.55
c026110	55.99
c026118	56.31
c000804	54.87
c008333p	51.49
c008333m	56.26
c008445	56.98
c008447	61.00
c008441	56.55
c008443	54.25
c023671	58.77
c004391p	49.04
c005458	56.82
c032291	52.02
c004348	56.67
c000807	61.00
c000696	52.73
c002660m	52.14
c004694	53.44
c004696	59.32
c036605	47.41
c004692	56.10
c050741	50.34
c050745	60.10
c021024	52.88
c021023	50.05
c021022	54.25
c021020	44.69
c000802	54.29
c027993	52.12
c027995	55.77
c027997	58.30
c027999	52.35
c009317	57.59
c009314	52.36
c009312	60.15
c009318	57.11
c051900	60.23
c015438	51.49
c022828	55.50
c022826	54.92
c022820	51.73
c029226	53.60
c011472m	57.74
c035127	53.65
c035125	59.32
c033039	55.01
c033037	47.86
c015435	52.41
c003837p	61.00
c047176	41.77
c015245	59.56
c015247	54.03
c015241	61.00
c005004m	45.00
c015249	53.47
c047179	61.00
c038140	52.92
c003658	57.09
c021670	59.74
c037732	61.00
c009210	55.06
c023885	50.25
c023881	55.28
c023889	61.00
c011198	61.00
c011192	53.15
c006007m	53.90
c011197	59.79
c014114	55.18
c014112	58.14
c014110	53.99
c014119	51.18
c010826	51.46
c010824	52.48
c010822	54.20
c010828	56.96
c015504p	42.60
c005843	61.00
c015504m	54.60
c005841	58.89
c037813	61.00
c037814	47.44
c045147	48.21
c001762p	52.48
c045149	61.00
c001762m	56.90
c053527	45.54
c001470	58.58
c001476	53.59
c001474	45.82
c001479	52.95
c050264	56.91
c050260	38.75
c012510	55.45
c012517	60.28
c012519	54.40
c048126	45.48
c027418	55.99
c027410	51.99
c027414	43.82
c027416	58.37
c029340	61.00
c029346	56.18
c029344	46.40
c016870	34.14
c006124	53.77
c006126	58.32
c006120	61.00
c006122	60.36
c000452	56.99
c000457	52.75
c014209	57.56
c000613m	53.54
c019523	55.72
c019526	57.24
c019528	55.42
c014926	53.59
c041051	59.55
c014922	50.30
c014920	55.37
c014928	51.68
c014201	56.45
c046554	47.70
c046557	51.58
c046551	58.83
c005250	54.58
c002750	53.05
c002756	55.64
c005251	56.55
c014205	46.86
c002759	54.33
c052319	59.58
c008209	57.20
c008207	55.46
c008202	55.71
c008200	57.23
c033907	61.00
c033903	56.02
c033901	47.02
c000916m	51.97
c019385	50.37
c019387	61.00
c040383	59.99
c040381	58.41
c040387	59.33
c040385	52.88
c040389	44.95
c018652	58.09
c018656	53.61
c018658	55.90
c048406	52.83
c003408	57.70
c047604	53.14
c018388	54.22
c018382	55.38
c018380	48.82
c007041	54.65
c036330	57.82
c000247m	56.68
c003957m	56.49
c033471	59.91
c049356	48.30
c006940	55.47
c006946	53.01
c041121	61.00
c041125	54.53
c025773	44.10
c025770	46.35
c028632	51.87
c006794	55.33
c011929	56.82
c018778	49.78
c030767	36.93
c030765	52.08
c053322	38.62
c000994m	55.26
c034065	61.00
c001334	53.48
c001336	55.32
c001333	60.39
c044611	47.21
c024630	56.11
c024632	48.68
c024634	51.89
c025549	55.71
c025540	61.00
c025542	55.44
c041103	50.39
c033595	48.47
c033592	51.99
c041716	46.20
c025066	58.71
c009399	50.93
c005833p	42.69
c028994	61.00
c051336	53.28
c008933	57.08
c031326	48.81
c004508p	47.22
c004333m	51.46
c009395	54.51
c025061	52.87
c006497m	57.55
c016035	60.30
c004988m	47.05
c020524	57.25
c044714	48.48
c050064	60.91
c043875	51.75
c043871	55.04
c043873	58.59
c009508	57.19
c000158m	50.99
c013615	46.50
c020384	56.90
c020386	56.74
c020380	58.97
c020382	56.53
c004512	58.38
c012327	56.28
c021651	61.00
c045044	42.30
c047429	48.83
c015148	54.86
c001449p	50.34
c021386	61.00
c021385	59.28
c021383	55.25
c021381	49.12
c053009	40.83
c013915	55.12
c053001	45.50
c046719	37.32
c046715	60.07
c029299	58.18
c023637	55.32
c044734	54.89
c002013m	52.40
c016096	53.18
c016090	43.22
c016098	46.19
c045525	60.69
c002866m	55.05
c015679	54.71
c019815	52.42
c019813	50.41
c016614	47.60
c019121	55.26
c050846	49.33
c004427	52.68
c040824	46.82
c015495	60.64
c017941	42.56
c017943	56.63
c045843	59.91
c016632	51.80
c016634	57.07
c047993	56.88
c016618	56.78
c047998	41.27
c023929	32.75
c024439	55.45
c029924	52.16
c024956	48.14
c029929	35.04
c024957	49.75
c024958	51.97
c036643	59.62
c038770	50.47
c004675m	54.91
c018853	60.38
c018851	61.00
c018855	60.74
c014707	49.27
c014705	59.17
c014703	59.63
c034721	59.13
c010676	50.36
c010674	53.28
c010672	51.88
c002133	52.65
c002131	50.88
c002135	57.63
c042867	54.92
c005507p	41.31
c004542	54.30
c026876	56.94
c030164	52.51
c030166	52.90
c030160	60.61
c030162	47.82
c000565p	53.48
c028735	61.00
c013072	56.44
c028733	52.46
c013078	52.59
c007832p	58.06
c001534	57.01
c001531	47.32
c023908	58.30
c001539	57.26
c006087	57.94
c006085	57.09
c006083	52.16
c006081	56.71
c003266	50.77
c003260	51.09
c006089	46.88
c007978	55.25
c039563	55.89
c039567	61.00
c001685	61.00
c001686	55.30
c001680	53.93
c001682	52.00
c015959	52.22
c015950	54.38
c015952	61.00
c015956	60.33
c007688	54.14
c007680	53.21
c007686	49.98
c007684	49.63
c029464	61.00
c029462	57.44
c012709	53.18
c001741p	50.25
c000794	50.89
c000796	55.77
c000790	52.00
c000792	56.79
c033204	53.43
c033207	61.00
c000468p	53.48
c006379	53.14
c019480	47.27
c006370	52.23
c006372	54.83
c008039	60.74
c044196	52.56
c007028	54.20
c008033	58.88
c008034	56.98
c008036	57.88
c000248	58.55
c002657	57.04
c002652	52.02
c018422	59.96
c018426	49.91
c018429	53.24
c053285	61.00
c025946	45.71
c025940	50.21
c025942	61.00
c025948	57.49
c037252	55.37
c037250	61.00
c008185m	43.96
c009744	53.19
c009746	49.27
c028204	58.69
c006051	55.73
c028206	52.64
c047279	54.57
c006052	50.10
c006057	56.92
c031319	43.11
c031311	52.24
c031313	56.22
c028200	57.38
c030448	45.17
c005450	56.24
c014956m	49.85
c008439	53.76
c014956p	49.85
c005454	46.76
c009374	58.61
c020818	60.82
c020814	43.85
c020816	56.28
c020812	60.30
c004915p	56.15
c004915m	52.85
c021859	61.00
c023474m	56.16
c004241m	58.28
c025197	61.00
c025193	61.00
c025191	54.89
c034233	57.64
c017170	53.91
c042344	59.62
c011701	58.38
c011702	54.38
c011704	50.83
c011706	59.51
c011708	60.55
c022506	42.73
c022500	54.23
c022502	54.90
c026422	40.11
c028909	59.90
c027139	47.65
c027132	52.25
c027130	50.72
c027136	53.54
c027134	53.20
c010470	55.77
c005183	46.00
c041689	49.16
c010476	52.28
c028901	61.00
c026126	39.72
c028900	56.03
c016946	53.15
c016944	50.07
c023335	59.89
c016940	48.52
c027283	47.49
c027285	48.98
c027286	59.55
c027288	54.49
c026589	53.51
c051506	53.96
c022916	52.88
c042590	53.53
c042598	54.47
c020489	55.02
c020482	55.38
c030143	46.94
c000341m	58.23
c020485	44.26
c000341p	54.68
c021923	60.80
c027864	52.32
c027866	61.00
c027860	51.21
c027862	56.42
c035317	61.00
c053039	53.48
c037529	48.33
c010786	61.00
c002451m	56.82
c045274	41.35
c002451p	51.33
c007408p	51.49
c034700	61.00
c021422	50.86
c021420	47.54
c018172	52.46
c001117p	61.00
c038940	47.94
c008510	53.18
c047349	32.50
c008517	53.20
c002564m	48.89
c000497p	51.78
c042235	46.41
c052741	52.85
c052743	48.07
c041771	50.63
c008985p	47.55
c054747	45.11
c054745	56.29
c002320p	57.31
c002103m	50.09
c035813	46.51
c035811	52.45
c004398	48.75
c003858	52.59
c015372	57.09
c003852	55.03
c003850	51.58
c049164	43.84
c043140	51.20
c000198m	56.04
c031150	47.62
c030689	50.65
c053556	58.68
c030681	54.49
c030684	59.53
c030686	45.71
c001183	56.61
c001184	55.90
c040562	49.50
c018957	57.75
c018955	56.72
c011554	59.32
c018951	44.97
c011555	61.00
c031483	61.00
c036453	61.00
c036457	58.47
c035108	61.00
c002076	54.19
c002074	59.09
c002070	57.42
c002079	53.86
c001860m	52.72
c008062m	48.59
c005860	54.63
c008062p	53.61
c005867	51.28
c005869	58.71
c001860p	59.50
c001767	55.39
c043129	52.34
c001761	55.79
c001769	52.61
c001826	51.22
c021078	51.95
c004852p	60.45
c028103	61.00
c028101	61.00
c039484	48.16
c004648	56.31
c003039	56.58
c003036	53.51
c003030	54.96
c003033	52.68
c007729	58.15
c008919	55.78
c008917	53.23
c008915	59.21
c008913	57.28
c008911	61.00
c022471	56.86
c003534	60.28
c003536	55.16
c032561	54.67
c004644	59.46
c023612	45.46
c023614	52.44
c023618	58.22
c019143	54.68
c019141	61.00
c019147	52.27
c024978	55.62
c031608	42.76
c024974	57.42
c008124m	54.34
c026197	56.19
c026191	53.38
c008124p	54.34
c031839	43.86
c031835	53.18
c029447	61.00
c029441	53.14
c002846	52.04
c002840	58.41
c048316	54.24
c048310	50.94
c049449	55.27
c005479	51.80
c005475	49.11
c005473	49.32
c005471	53.52
c041117	44.90
c033690	61.00
c028924	49.06
c028926	53.04
c028922	53.44
c009932	49.14
c009930	56.07
c009936	45.88
c009934	53.35
c009938	52.41
c030871	43.37
c030877	61.00
c004870	53.45
c004872	59.82
c004874	53.92
c002526m	49.62
c002428m	56.27
c002428p	56.72
c008585	55.04
c024128	45.79
c024120	50.52
c024122	54.46
c024126	53.91
c008823	52.42
c029194	55.05
c000032p	56.15
c012616	54.63
c021954	59.72
c021952	46.71
c021950	58.10
c016460	61.00
c016462	42.89
c016469	44.27
c038091	61.00
c022208	54.84
c037307	51.61
c025250	56.53
c022201	53.58
c025255	54.36
c023556	54.61
c023550	51.03
c023552	46.98
