contig	species	dN	dS	dNdS
c000248	Adigitifer	0.0034	0.0288	0.1172
c000252	Adigitifer	0.0016	0.0251	0.0650
c000256p	Adigitifer	0.0072	0.0180	0.3992
c000268	Adigitifer	0.0014	0.0332	0.0420
c000279	Adigitifer	0.0064	0.0432	0.1475
c000289	Adigitifer	0.0095	0.0204	0.4669
c000290	Adigitifer	0.0020	0.0335	0.0590
c000297	Adigitifer	0.0033	0.0248	0.1324
c000302	Adigitifer	0.0054	0.0363	0.1484
c000304	Adigitifer	0.0021	0.0288	0.0728
c000308	Adigitifer	0.0065	0.0364	0.1789
c000310	Adigitifer	0.0023	0.0232	0.0984
c000313	Adigitifer	0.0040	0.0443	0.0895
c000322	Adigitifer	0.0029	0.0478	0.0616
c000326	Adigitifer	0.0007	0.0231	0.0282
c000327m	Adigitifer	0.0025	0.0172	0.1464
c000329	Adigitifer	0.0003	0.0328	0.0086
c000332	Adigitifer	0.0089	0.0423	0.2112
c000338	Adigitifer	0.0018	0.0354	0.0507
c000339m	Adigitifer	0.0084	0.0354	0.2380
c000344	Adigitifer	0.0169	0.0483	0.3500
c000345	Adigitifer	0.0011	0.0146	0.0736
c000348	Adigitifer	0.0121	0.0270	0.4466
c000349	Adigitifer	0.0055	0.0001	99.0000
c000350	Adigitifer	0.0040	0.0248	0.1616
c000356	Adigitifer	0.0033	0.0229	0.1454
c000357	Adigitifer	0.0041	0.0280	0.1480
c000361p	Adigitifer	0.0023	0.0203	0.1118
c000370	Adigitifer	0.0130	0.0318	0.4070
c000371	Adigitifer	0.0016	0.0229	0.0686
c000373	Adigitifer	0.0018	0.0368	0.0490
c000378	Adigitifer	0.0023	0.0298	0.0774
c000381p	Adigitifer	0.0000	0.0122	0.0010
c000385m	Adigitifer	0.0042	0.0335	0.1268
c000385p	Adigitifer	0.0000	0.0194	0.0010
c000389p	Adigitifer	0.0036	0.0315	0.1147
c000391	Adigitifer	0.0085	0.0319	0.2660
c000393m	Adigitifer	0.0651	0.0949	0.6863
c000396m	Adigitifer	0.0083	0.0313	0.2652
c000397	Adigitifer	0.0136	0.0448	0.3024
c000398	Adigitifer	0.0015	0.0246	0.0596
c000402	Adigitifer	0.0011	0.0156	0.0726
c000404p	Adigitifer	0.0120	0.0418	0.2871
c000410	Adigitifer	0.0032	0.0230	0.1372
c000413m	Adigitifer	0.0014	0.0449	0.0311
c000417	Adigitifer	0.0056	0.0630	0.0891
c000421	Adigitifer	0.0120	0.0446	0.2696
c000424	Adigitifer	0.0273	0.0315	0.8652
c000427	Adigitifer	0.0092	0.0110	0.8313
c000434	Adigitifer	0.0050	0.0455	0.1106
c000437m	Adigitifer	0.0000	0.0091	0.0010
c000443	Adigitifer	0.0208	0.0391	0.5321
c000449	Adigitifer	0.0386	0.0292	1.3222
c000453m	Adigitifer	0.0012	0.0246	0.0505
c000453p	Adigitifer	0.0000	0.0099	0.0010
c000461	Adigitifer	0.0134	0.0240	0.5585
c000466	Adigitifer	0.0044	0.0396	0.1099
c000470m	Adigitifer	0.0010	0.0216	0.0444
c000477	Adigitifer	0.0006	0.0298	0.0196
c000486	Adigitifer	0.0081	0.0285	0.2843
c000493m	Adigitifer	0.0022	0.0431	0.0510
c000496	Adigitifer	0.0006	0.0162	0.0352
c000497m	Adigitifer	0.0085	0.0147	0.5772
c000499m	Adigitifer	0.0004	0.0249	0.0152
c000502m	Adigitifer	0.0058	0.0256	0.2259
c000504	Adigitifer	0.0024	0.0353	0.0668
c000508	Adigitifer	0.0108	0.0282	0.3833
c000509m	Adigitifer	0.0107	0.0171	0.6269
c000509p	Adigitifer	0.0024	0.0378	0.0631
c000510	Adigitifer	0.0077	0.0172	0.4461
c000515	Adigitifer	0.0070	0.0393	0.1786
c000519	Adigitifer	0.0021	0.0245	0.0835
c000523	Adigitifer	0.0038	0.0245	0.1568
c000526	Adigitifer	0.0076	0.0277	0.2731
c000532	Adigitifer	0.0062	0.0156	0.3975
c000536m	Adigitifer	0.0015	0.0163	0.0926
c000537	Adigitifer	0.0109	0.0230	0.4751
c000541	Adigitifer	0.0065	0.0358	0.1827
c000543	Adigitifer	0.0096	0.0457	0.2104
c000544m	Adigitifer	0.0013	0.0164	0.0807
c000544p	Adigitifer	0.0239	0.0138	1.7274
c000547p	Adigitifer	0.0041	0.0164	0.2506
c000549	Adigitifer	0.0122	0.0274	0.4441
c000550m	Adigitifer	0.0136	0.0450	0.3032
c000557	Adigitifer	0.0064	0.0337	0.1894
c000558	Adigitifer	0.0025	0.0711	0.0358
c000562m	Adigitifer	0.0052	0.0215	0.2408
c000565m	Adigitifer	0.0277	0.0636	0.4356
c000568	Adigitifer	0.0118	0.0362	0.3255
c000578m	Adigitifer	0.0045	0.0422	0.1062
c000580p	Adigitifer	0.0096	0.0123	0.7864
c000583	Adigitifer	0.0072	0.0374	0.1934
c000585	Adigitifer	0.0003	0.0352	0.0090
c000590	Adigitifer	0.0069	0.0404	0.1699
c000596	Adigitifer	0.0049	0.0247	0.1968
c000597	Adigitifer	0.0021	0.0102	0.2024
c000598	Adigitifer	0.0044	0.0398	0.1115
c000602	Adigitifer	0.0030	0.0239	0.1261
c000607	Adigitifer	0.0013	0.0229	0.0581
c000608m	Adigitifer	0.0115	0.0441	0.2600
c000613m	Adigitifer	0.0021	0.0392	0.0543
c000614	Adigitifer	0.0061	0.0260	0.2330
c000615m	Adigitifer	0.0053	0.0126	0.4182
c000615p	Adigitifer	0.0024	0.0368	0.0642
c000618	Adigitifer	0.0000	0.0320	0.0010
c000619	Adigitifer	0.0069	0.0339	0.2040
c000626p	Adigitifer	0.0045	0.0072	0.6269
c000633	Adigitifer	0.0011	0.0312	0.0365
c000640	Adigitifer	0.0065	0.0162	0.3979
c000641	Adigitifer	0.0080	0.0337	0.2376
c000646	Adigitifer	0.0024	0.0243	0.0970
c000648	Adigitifer	0.0025	0.0284	0.0890
c000651	Adigitifer	0.0060	0.0358	0.1689
c000652m	Adigitifer	0.0052	0.0395	0.1329
c000653p	Adigitifer	0.0007	0.0707	0.0104
c000655	Adigitifer	0.0033	0.0283	0.1153
c000657m	Adigitifer	0.0014	0.0217	0.0660
c000658	Adigitifer	0.0033	0.0440	0.0746
c000659p	Adigitifer	0.0025	0.0397	0.0634
c000664	Adigitifer	0.0027	0.0280	0.0968
c000665p	Adigitifer	0.0165	0.0200	0.8265
c000666	Adigitifer	0.0043	0.0241	0.1765
c000674	Adigitifer	0.0103	0.0277	0.3719
c000675p	Adigitifer	0.0001	0.0526	0.0010
c000676	Adigitifer	0.0040	0.0335	0.1180
c000678	Adigitifer	0.0025	0.0260	0.0971
c000679m	Adigitifer	0.0064	0.0518	0.1227
c000679p	Adigitifer	0.0101	0.0333	0.3036
c000680p	Adigitifer	0.0011	0.0635	0.0179
c000684p	Adigitifer	0.0095	0.0277	0.3443
c000689p	Adigitifer	0.0084	0.0321	0.2609
c000690	Adigitifer	0.0000	0.0199	0.0010
c000693m	Adigitifer	0.0029	0.0399	0.0733
c000693p	Adigitifer	0.0052	0.0134	0.3898
c000695	Adigitifer	0.0148	0.0170	0.8735
c000698	Adigitifer	0.0003	0.0209	0.0159
c000704m	Adigitifer	0.0182	0.0247	0.7368
c000704p	Adigitifer	0.0027	0.0315	0.0867
c000706	Adigitifer	0.0157	0.0284	0.5523
c000708	Adigitifer	0.0036	0.0380	0.0952
c000709	Adigitifer	0.0006	0.0213	0.0299
c000710	Adigitifer	0.0019	0.0437	0.0435
c000713	Adigitifer	0.0007	0.0126	0.0540
c000716	Adigitifer	0.0095	0.0230	0.4130
c000718	Adigitifer	0.0050	0.0352	0.1422
c000722	Adigitifer	0.0041	0.0303	0.1348
c000732	Adigitifer	0.0023	0.0416	0.0541
c000734p	Adigitifer	0.0091	0.0651	0.1391
c000736	Adigitifer	0.0038	0.0310	0.1234
c000742	Adigitifer	0.0074	0.0726	0.1014
c000743	Adigitifer	0.0046	0.0188	0.2462
c000748	Adigitifer	0.0052	0.0224	0.2318
c000751m	Adigitifer	0.0058	0.0100	0.5735
c000753	Adigitifer	0.0057	0.0401	0.1420
c000754	Adigitifer	0.0034	0.0298	0.1154
c000757m	Adigitifer	0.0042	0.0202	0.2099
c000760p	Adigitifer	0.0018	0.0235	0.0784
c000761	Adigitifer	0.0041	0.0303	0.1353
c000763	Adigitifer	0.0078	0.0241	0.3242
c000764m	Adigitifer	0.0044	0.0261	0.1691
c000764p	Adigitifer	0.0013	0.0044	0.2904
c000767p	Adigitifer	0.0021	0.0137	0.1552
c000771	Adigitifer	0.0021	0.0156	0.1327
c000775	Adigitifer	0.0037	0.0342	0.1068
c000789p	Adigitifer	0.0062	0.0321	0.1924
c000790	Adigitifer	0.0039	0.0369	0.1064
c000796	Adigitifer	0.0038	0.0360	0.1044
c000803	Adigitifer	0.0015	0.0254	0.0596
c000806p	Adigitifer	0.0064	0.0326	0.1975
c000817	Adigitifer	0.0088	0.0415	0.2123
c000821	Adigitifer	0.0048	0.0245	0.1954
c000822p	Adigitifer	0.0109	0.0299	0.3656
c000823	Adigitifer	0.0040	0.0126	0.3186
c000824	Adigitifer	0.0046	0.0390	0.1172
c000825	Adigitifer	0.0022	0.0298	0.0751
c000827	Adigitifer	0.0000	0.0385	0.0010
c000829	Adigitifer	0.0241	0.0331	0.7269
c000831	Adigitifer	0.0039	0.0192	0.2040
c000835	Adigitifer	0.0016	0.0228	0.0722
c000836p	Adigitifer	0.0170	0.0312	0.5451
c000839m	Adigitifer	0.0053	0.0260	0.2045
c000842	Adigitifer	0.0047	0.0483	0.0972
c000847	Adigitifer	0.0010	0.0186	0.0542
c000850	Adigitifer	0.0039	0.0184	0.2112
c000851p	Adigitifer	0.0022	0.0337	0.0652
c000856m	Adigitifer	0.0019	0.0501	0.0384
c000857m	Adigitifer	0.0019	0.0110	0.1754
c000857p	Adigitifer	0.0017	0.0156	0.1089
c000861	Adigitifer	0.0010	0.0223	0.0459
c000862	Adigitifer	0.0018	0.0098	0.1869
c000863	Adigitifer	0.0065	0.0253	0.2567
c000865	Adigitifer	0.0036	0.0239	0.1486
c000868	Adigitifer	0.0000	0.0284	0.0010
c000869	Adigitifer	0.0067	0.0402	0.1666
c000870	Adigitifer	0.0143	0.0280	0.5106
c000871p	Adigitifer	0.0091	0.0117	0.7735
c000873	Adigitifer	0.0041	0.0360	0.1135
c000875	Adigitifer	0.0054	0.0350	0.1551
c000882	Adigitifer	0.0012	0.0179	0.0650
c000886	Adigitifer	0.0041	0.0374	0.1098
c000891p	Adigitifer	0.0033	0.0126	0.2625
c000894	Adigitifer	0.0017	0.0287	0.0577
c000896	Adigitifer	0.0123	0.0184	0.6676
c000897m	Adigitifer	0.0110	0.0295	0.3724
c000902	Adigitifer	0.0042	0.0214	0.1972
c000904	Adigitifer	0.0045	0.0293	0.1528
c000905	Adigitifer	0.0036	0.0261	0.1370
c000908m	Adigitifer	0.0000	0.0491	0.0010
c000912m	Adigitifer	0.0041	0.0308	0.1319
c000912p	Adigitifer	0.0089	0.0604	0.1475
c000914	Adigitifer	0.0053	0.0405	0.1319
c000915	Adigitifer	0.0032	0.0386	0.0840
c000917	Adigitifer	0.0020	0.0216	0.0917
c000918	Adigitifer	0.0040	0.0492	0.0815
c000920	Adigitifer	0.0152	0.0352	0.4327
c000925m	Adigitifer	0.0037	0.0274	0.1350
c000926	Adigitifer	0.0050	0.0282	0.1769
c000929m	Adigitifer	0.0188	0.0399	0.4715
c000929p	Adigitifer	0.0010	0.0249	0.0395
c000930p	Adigitifer	0.0000	0.0107	0.0010
c000931	Adigitifer	0.0025	0.0369	0.0679
c000932p	Adigitifer	0.0138	0.0155	0.8901
c000936m	Adigitifer	0.0000	0.0044	0.0010
c000939	Adigitifer	0.0059	0.0285	0.2074
c000940	Adigitifer	0.0043	0.0217	0.1976
c000943	Adigitifer	0.0027	0.0310	0.0878
c000949	Adigitifer	0.0189	0.0278	0.6775
c000951p	Adigitifer	0.0031	0.0253	0.1223
c000953	Adigitifer	0.0027	0.0291	0.0916
c000954	Adigitifer	0.0035	0.0134	0.2573
c000964	Adigitifer	0.0057	0.0395	0.1453
c000966	Adigitifer	0.0046	0.0258	0.1800
c000967m	Adigitifer	0.0004	0.0276	0.0159
c000968	Adigitifer	0.0064	0.0066	0.9708
c000972p	Adigitifer	0.0044	0.0359	0.1231
c000975m	Adigitifer	0.0058	0.0386	0.1516
c000975p	Adigitifer	0.0775	0.1445	0.5365
c000977	Adigitifer	0.0148	0.0181	0.8203
c000978	Adigitifer	0.0009	0.0249	0.0358
c000979	Adigitifer	0.0067	0.0548	0.1231
c000988	Adigitifer	0.0155	0.0199	0.7792
c000989	Adigitifer	0.0029	0.0156	0.1891
c000991	Adigitifer	0.0031	0.0412	0.0741
c000997	Adigitifer	0.0010	0.0207	0.0471
c000998	Adigitifer	0.0027	0.0626	0.0425
c001002	Adigitifer	0.0036	0.0206	0.1749
c001006	Adigitifer	0.0117	0.0271	0.4335
c001010	Adigitifer	0.0059	0.0366	0.1619
c001012m	Adigitifer	0.0050	0.0143	0.3470
c001014	Adigitifer	0.0028	0.0162	0.1729
c001016	Adigitifer	0.0076	0.0181	0.4211
c001020	Adigitifer	0.0007	0.0181	0.0410
c001021m	Adigitifer	0.0061	0.0166	0.3653
c001023	Adigitifer	0.0189	0.0300	0.6311
c001024	Adigitifer	0.0137	0.0426	0.3204
c001027m	Adigitifer	0.0077	0.0487	0.1576
c001028	Adigitifer	0.0072	0.0219	0.3290
c001030	Adigitifer	0.0027	0.0246	0.1115
c001035	Adigitifer	0.0012	0.0354	0.0335
c001041p	Adigitifer	0.0377	0.0801	0.4705
c001042	Adigitifer	0.0040	0.0346	0.1159
c001046	Adigitifer	0.0044	0.0147	0.3010
c001049p	Adigitifer	0.0071	0.0198	0.3584
c001051p	Adigitifer	0.0071	0.0465	0.1520
c001053	Adigitifer	0.0010	0.0328	0.0294
c001056m	Adigitifer	0.0063	0.0243	0.2593
c001058	Adigitifer	0.0078	0.0314	0.2486
c001061	Adigitifer	0.0016	0.0557	0.0292
c001062	Adigitifer	0.0019	0.0295	0.0647
c001063	Adigitifer	0.0139	0.0400	0.3474
c001064m	Adigitifer	0.0041	0.0117	0.3503
c001064p	Adigitifer	0.0101	0.0237	0.4275
c001065	Adigitifer	0.0041	0.0243	0.1675
c001066m	Adigitifer	0.0043	0.0161	0.2675
c001066p	Adigitifer	0.0030	0.0296	0.1010
c001072	Adigitifer	0.0090	0.0113	0.7947
c001073m	Adigitifer	0.0000	0.0113	0.0010
c001074	Adigitifer	0.0022	0.0253	0.0888
c001078	Adigitifer	0.0148	0.0778	0.1899
c001083	Adigitifer	0.0037	0.0086	0.4365
c001084	Adigitifer	0.0033	0.0269	0.1235
c001087p	Adigitifer	0.0058	0.0116	0.4950
c001088p	Adigitifer	0.0000	0.0218	0.0010
c001092	Adigitifer	0.0114	0.0203	0.5593
c001094m	Adigitifer	0.0018	0.0820	0.0214
c001094p	Adigitifer	0.0000	0.0395	0.0010
c001097	Adigitifer	0.0768	0.1610	0.4771
c001099	Adigitifer	0.0049	0.0065	0.7587
c001101p	Adigitifer	0.0057	0.0695	0.0819
c001102	Adigitifer	0.0014	0.0187	0.0734
c001109	Adigitifer	0.0098	0.0211	0.4639
c001110	Adigitifer	0.0035	0.0187	0.1853
c001112	Adigitifer	0.0052	0.0222	0.2347
c001113	Adigitifer	0.0065	0.0182	0.3560
c001117m	Adigitifer	0.0063	0.0407	0.1549
c001119	Adigitifer	0.0069	0.0472	0.1459
c001122m	Adigitifer	0.0050	0.0001	99.0000
c001122p	Adigitifer	0.0028	0.0060	0.4733
c001124	Adigitifer	0.0039	0.0267	0.1453
c001125p	Adigitifer	0.0047	0.0380	0.1245
c001127p	Adigitifer	0.0019	0.0153	0.1219
c001129	Adigitifer	0.0008	0.0467	0.0174
c001131	Adigitifer	0.0037	0.0061	0.5957
c001132m	Adigitifer	0.0104	0.0365	0.2836
c001132p	Adigitifer	0.0074	0.0260	0.2838
c001133	Adigitifer	0.0029	0.0128	0.2244
c001136	Adigitifer	0.0020	0.0200	0.1019
c001140	Adigitifer	0.0034	0.0266	0.1262
c001142m	Adigitifer	0.0042	0.0653	0.0644
c001142p	Adigitifer	0.0131	0.0483	0.2707
c001143p	Adigitifer	0.0041	0.0416	0.0989
c001146	Adigitifer	0.0048	0.0110	0.4366
c001148p	Adigitifer	0.0060	0.0072	0.8363
c001149	Adigitifer	0.0030	0.0385	0.0790
c001161m	Adigitifer	0.0053	0.0260	0.2043
c001162	Adigitifer	0.0027	0.0196	0.1375
c001163p	Adigitifer	0.0068	0.0296	0.2280
c001166	Adigitifer	0.0019	0.0519	0.0358
c001168	Adigitifer	0.0177	0.0182	0.9715
c001178m	Adigitifer	0.0063	0.0239	0.2640
c001180m	Adigitifer	0.0087	0.0218	0.3989
c001182	Adigitifer	0.0041	0.0140	0.2935
c001183	Adigitifer	0.0023	0.0312	0.0735
c001185m	Adigitifer	0.0042	0.0407	0.1032
c001185p	Adigitifer	0.0044	0.0223	0.1968
c001186	Adigitifer	0.0056	0.0532	0.1044
c001187m	Adigitifer	0.0202	0.0411	0.4923
c001187p	Adigitifer	0.0070	0.0333	0.2111
c001191	Adigitifer	0.0074	0.0071	1.0429
c001193	Adigitifer	0.0027	0.0452	0.0587
c001196	Adigitifer	0.0001	0.0512	0.0010
c001199	Adigitifer	0.0128	0.0301	0.4239
c001200p	Adigitifer	0.0058	0.0309	0.1861
c001202	Adigitifer	0.0012	0.0208	0.0581
c001203p	Adigitifer	0.0035	0.0174	0.1997
c001204p	Adigitifer	0.0091	0.0125	0.7316
c001205m	Adigitifer	0.0019	0.0306	0.0623
c001205p	Adigitifer	0.0001	0.0622	0.0010
c001208	Adigitifer	0.0076	0.0196	0.3888
c001211	Adigitifer	0.0056	0.0327	0.1717
c001214m	Adigitifer	0.0037	0.0372	0.0993
c001221	Adigitifer	0.0181	0.0559	0.3242
c001225	Adigitifer	0.0030	0.0282	0.1059
c001226p	Adigitifer	0.0083	0.0250	0.3319
c001232m	Adigitifer	0.0000	0.0474	0.0010
c001232p	Adigitifer	0.0190	0.0521	0.3644
c001235p	Adigitifer	0.0011	0.0063	0.1824
c001236m	Adigitifer	0.0000	0.0296	0.0010
c001236p	Adigitifer	0.0052	0.0473	0.1105
c001238p	Adigitifer	0.0113	0.0261	0.4324
c001239	Adigitifer	0.0034	0.0202	0.1687
c001240	Adigitifer	0.0036	0.0129	0.2790
c001243m	Adigitifer	0.0117	0.0097	1.2074
c001243p	Adigitifer	0.0020	0.0251	0.0782
c001245	Adigitifer	0.0088	0.0247	0.3563
c001249	Adigitifer	0.0096	0.0117	0.8209
c001250p	Adigitifer	0.0011	0.0158	0.0703
c001251	Adigitifer	0.0049	0.0047	1.0266
c001253	Adigitifer	0.0016	0.0266	0.0589
c001255	Adigitifer	0.0154	0.0331	0.4662
c001257	Adigitifer	0.0042	0.0375	0.1107
c001262	Adigitifer	0.0017	0.0414	0.0400
c001264	Adigitifer	0.0026	0.0282	0.0936
c001270	Adigitifer	0.0000	0.0000	0.0513
c001271	Adigitifer	0.0057	0.0202	0.2846
c001276	Adigitifer	0.0014	0.0682	0.0203
c001277	Adigitifer	0.0086	0.0153	0.5636
c001284	Adigitifer	0.0080	0.0199	0.4001
c001285	Adigitifer	0.0013	0.0374	0.0346
c001294	Adigitifer	0.0092	0.0172	0.5344
c001297	Adigitifer	0.0064	0.0507	0.1264
c001299	Adigitifer	0.0034	0.0463	0.0726
c001301	Adigitifer	0.0070	0.0307	0.2267
c001306m	Adigitifer	0.0091	0.0400	0.2262
c001307m	Adigitifer	0.0077	0.0450	0.1703
c001308	Adigitifer	0.0026	0.0278	0.0927
c001309m	Adigitifer	0.0014	0.0174	0.0810
c001313	Adigitifer	0.0066	0.0620	0.1062
c001316	Adigitifer	0.0056	0.0260	0.2168
c001318	Adigitifer	0.0061	0.0287	0.2132
c001320	Adigitifer	0.0019	0.0203	0.0921
c001322	Adigitifer	0.0026	0.0213	0.1210
c001323	Adigitifer	0.0010	0.0237	0.0422
c001324	Adigitifer	0.0230	0.0329	0.6988
c001325p	Adigitifer	0.0086	0.0320	0.2679
c001330m	Adigitifer	0.0053	0.0414	0.1281
c001335	Adigitifer	0.0027	0.0290	0.0938
c001336	Adigitifer	0.0089	0.0475	0.1864
c001337	Adigitifer	0.0012	0.0456	0.0262
c001340	Adigitifer	0.0105	0.0591	0.1773
c001341	Adigitifer	0.0024	0.0678	0.0360
c001343	Adigitifer	0.0091	0.0146	0.6236
c001344	Adigitifer	0.0082	0.0367	0.2234
c001347m	Adigitifer	0.0005	0.0316	0.0172
c001352	Adigitifer	0.0089	0.1063	0.0839
c001357m	Adigitifer	0.0205	0.0517	0.3958
c001357p	Adigitifer	0.0076	0.0473	0.1611
c001358m	Adigitifer	0.0114	0.0335	0.3408
c001358p	Adigitifer	0.0001	0.0663	0.0010
c001360	Adigitifer	0.0030	0.0307	0.0967
c001365	Adigitifer	0.0162	0.0289	0.5610
c001366p	Adigitifer	0.0000	0.0185	0.0010
c001379	Adigitifer	0.0013	0.0431	0.0310
c001381	Adigitifer	0.0020	0.0408	0.0492
c001382	Adigitifer	0.0062	0.0203	0.3057
c001384	Adigitifer	0.0000	0.0021	0.0010
c001389	Adigitifer	0.0092	0.0229	0.4009
c001390	Adigitifer	0.0069	0.0435	0.1583
c001392	Adigitifer	0.0039	0.0388	0.1016
c001393m	Adigitifer	0.0129	0.0314	0.4106
c001393p	Adigitifer	0.0043	0.0321	0.1350
c001395	Adigitifer	0.0000	0.0112	0.0010
c001396p	Adigitifer	0.0019	0.0066	0.2934
c001397	Adigitifer	0.0035	0.0406	0.0853
c001398	Adigitifer	0.0036	0.0300	0.1189
c001399	Adigitifer	0.0051	0.0215	0.2360
c001400	Adigitifer	0.0078	0.0181	0.4321
c001404	Adigitifer	0.0142	0.0173	0.8210
c001406	Adigitifer	0.0055	0.0282	0.1961
c001408	Adigitifer	0.0012	0.0130	0.0940
c001410	Adigitifer	0.0032	0.0242	0.1327
c001411	Adigitifer	0.0028	0.0281	0.1001
c001413	Adigitifer	0.0008	0.0218	0.0349
c001421m	Adigitifer	0.0065	0.0503	0.1284
c001421p	Adigitifer	0.0046	0.0289	0.1582
c001422p	Adigitifer	0.0055	0.0275	0.2014
c001424m	Adigitifer	0.0042	0.0032	1.3235
c001427	Adigitifer	0.0064	0.0271	0.2347
c001428	Adigitifer	0.0028	0.0225	0.1230
c001429	Adigitifer	0.0031	0.0358	0.0868
c001430	Adigitifer	0.0018	0.0247	0.0737
c001435	Adigitifer	0.0031	0.0282	0.1094
c001440	Adigitifer	0.0022	0.0506	0.0429
c001446p	Adigitifer	0.0032	0.0243	0.1297
c001449m	Adigitifer	0.0071	0.0501	0.1424
c001450	Adigitifer	0.0159	0.0215	0.7403
c001452	Adigitifer	0.0086	0.0427	0.2027
c001461	Adigitifer	0.0082	0.0443	0.1858
c001463	Adigitifer	0.0005	0.0152	0.0350
c001464p	Adigitifer	0.0000	0.0078	0.0010
c001465	Adigitifer	0.0043	0.0385	0.1105
c001467	Adigitifer	0.0036	0.0350	0.1043
c001483	Adigitifer	0.0034	0.0299	0.1134
c001486m	Adigitifer	0.0064	0.0284	0.2242
c001488	Adigitifer	0.0044	0.0342	0.1291
c001489	Adigitifer	0.0000	0.0291	0.0010
c001491	Adigitifer	0.0137	0.0229	0.5981
c001492	Adigitifer	0.0032	0.0414	0.0781
c001494	Adigitifer	0.0019	0.0169	0.1128
c001495	Adigitifer	0.0107	0.0268	0.3990
c001496	Adigitifer	0.0024	0.0211	0.1146
c001499	Adigitifer	0.0050	0.0217	0.2326
c001500	Adigitifer	0.0058	0.0163	0.3535
c001502	Adigitifer	0.0017	0.0329	0.0514
c001503	Adigitifer	0.0000	0.0439	0.0010
c001504p	Adigitifer	0.0046	0.0365	0.1254
c001506	Adigitifer	0.0041	0.0061	0.6744
c001508	Adigitifer	0.0049	0.0389	0.1256
c001512p	Adigitifer	0.0000	0.0123	0.0010
c001514p	Adigitifer	0.0000	0.0208	0.0010
c001515m	Adigitifer	0.0000	0.0000	0.4019
c001516	Adigitifer	0.0037	0.0226	0.1636
c001519	Adigitifer	0.0084	0.0255	0.3285
