contig	numParameters	likelihood
c001127p	14	-3348.088357
c001129	18	-16822.547559
c001131	16	-5952.470110
c001132m	12	-2527.897946
c001132p	16	-9299.842780
c001133	24	-6131.455561
c001134p	14	-7049.340292
c001136	16	-9097.808876
c001140	12	-9116.806434
c001142m	34	-3614.256662
c001142p	22	-5184.847449
c001143m	16	-11630.007437
c001143p	24	-5194.183141
c001144	16	-8016.380663
c001145	10	-7952.879173
c001146	10	-10326.384691
c001148m	16	-4624.765005
c001148p	26	-8021.087408
c001149	12	-12119.052865
c001153	10	-12226.677168
c001161m	14	-1840.198661
c001162	16	-9605.435564
c001163p	14	-5516.965075
c001166	12	-8445.855661
c001168	16	-4767.289811
c001178m	18	-5848.277801
c001179m	32	-987.198863
c001179p	10	-9905.399590
c001180m	14	-2589.039572
c001182	16	-8167.228748
c001183	10	-10817.483083
c001185m	12	-6227.005591
c001185p	14	-9126.323686
c001186	10	-9782.436029
c001187m	12	-3907.253781
c001187p	34	-2155.290518
c001190	24	-1628.139058
c001191	14	-1702.049083
c001193	18	-4989.031065
c001196	28	-4007.527263
c001199	10	-6258.814341
c001200p	20	-10766.903817
c001201	10	-5993.614635
c001202	18	-10410.641606
c001203m	10	-7017.304572
c001203p	22	-5468.888820
c001204p	12	-3472.279555
c001205m	14	-6778.711644
c001205p	16	-4356.419550
c001206m	20	-4502.265670
c001207p	18	-5263.259066
c001208	10	-6738.868752
c001209m	22	-1369.815410
c001211	14	-10701.073261
c001214m	26	-4176.433790
c001219m	10	-3572.037378
c001220p	16	-3853.733478
c001221	14	-3600.145867
c001222	10	-2931.777349
c001223m	18	-1787.761782
c001225	16	-13320.426712
c001226p	28	-10102.065562
c001230	14	-10301.231177
c001231m	10	-3678.929270
c001232m	18	-6937.151575
c001232p	24	-2722.662069
c001233	12	-14328.360898
c001235m	22	-5345.808268
c001235p	12	-4696.412495
c001236m	16	-4358.402117
c001236p	12	-6947.418285
c001238m	22	-2466.083560
c001239	12	-10204.506346
c001240	10	-5852.478185
c001243m	20	-4468.919127
c001243p	14	-6290.712721
c001245	12	-6510.164064
c001247	12	-6656.743845
c001249	12	-3666.605200
c001250p	14	-3632.408462
c001251	12	-2610.605814
c001253	26	-14127.997402
c001255	12	-20203.697188
c001257	16	-11533.663603
c001262	10	-13501.621838
c001264	16	-13642.984660
c001271	10	-10452.282484
c001274	12	-982.236072
c001275m	18	-3891.706450
c001276	14	-9895.873368
c001277	12	-6744.644193
c001278m	16	-4229.323030
c001279	12	-2216.742172
c001284	12	-8618.842208
c001285	10	-9698.856621
c001286	12	-7249.250060
c001289p	10	-4044.512310
c001292	10	-5175.128349
c001294	10	-7197.240018
c001297	18	-13145.019278
c001299	14	-9661.406927
c001301	10	-8527.603588
c001302m	26	-6446.211847
c001306m	14	-4268.605361
c001306p	10	-3581.159165
c001307m	20	-5447.749782
c001307p	22	-4746.473665
c001308	14	-19629.964550
c001309m	12	-9300.121076
c001309p	12	-3759.716529
c001311p	18	-4870.658536
c001313	12	-6342.713182
c001316	10	-7878.509987
c001318	12	-3113.741969
c001320	18	-8041.071441
c001322	12	-10498.634798
c001323	16	-12692.671442
c001324	16	-12647.561791
c001325p	28	-3948.755282
c001329p	16	-2914.644394
c001330m	12	-7078.605745
c001335	18	-12081.181545
c001336	14	-8240.855263
c001337	14	-13672.164229
c001340	18	-12343.986385
c001341	12	-6742.117905
c001343	10	-8953.276868
c001344	12	-5072.750487
c001347m	12	-6951.831939
c001350m	14	-1908.037637
c001352	32	-2149.119196
c001355p	18	-4402.099329
c001356	10	-12889.081770
c001357m	12	-4432.110885
c001357p	18	-6029.027993
c001358m	16	-5067.084620
c001358p	30	-1999.548570
c001359m	16	-2871.824019
c001360	16	-11131.899445
c001365	10	-7724.783884
c001366m	12	-4376.197263
c001366p	32	-1347.770820
c001373m	10	-5222.965301
c001379	12	-15251.205855
c001381	12	-9219.294948
c001382	10	-5358.499942
c001384	16	-6194.149653
c001390	18	-14242.482560
c001392	14	-11401.795011
c001393m	22	-3136.875669
c001393p	20	-6274.230262
c001394	12	-4447.482908
c001395	18	-3168.449315
c001396p	16	-3032.165073
c001397	12	-2533.225043
c001398	14	-11690.202887
c001399	10	-5766.173238
c001400	16	-4848.376787
c001404	10	-2350.656720
c001408	14	-8752.535973
c001409	10	-9423.582682
c001410	10	-11733.569986
c001411	16	-15793.248515
c001413	12	-6409.548958
c001421m	24	-6240.818333
c001421p	18	-4947.436555
c001422m	10	-4229.429946
c001422p	14	-1769.072058
c001423	12	-3906.355488
c001424m	24	-5948.379709
c001426	10	-8415.038224
c001427	16	-8633.454706
c001428	22	-7119.175104
c001429	10	-11602.105966
c001430	14	-11472.764358
c001435	10	-8318.911883
c001440	18	-7550.025204
c001441p	10	-9874.220616
c001446p	12	-2702.062729
c001448	10	-9932.972082
c001449m	22	-3376.234169
c001450	14	-3532.279295
c001452	12	-4169.798865
c001460	12	-15284.174387
c001461	12	-7627.662771
c001463	14	-9072.948029
c001464p	28	-3823.387895
c001465	12	-13458.541563
c001466	12	-12731.864780
c001467	12	-14548.977139
c001481m	12	-2272.580107
c001483	14	-12131.339765
c001484p	10	-6145.132380
c001486m	16	-8081.458656
c001488	12	-10307.791015
c001489	12	-5750.105379
c001490p	16	-3680.026150
c001491	10	-9587.170012
c001492	12	-7706.698104
c001494	12	-4476.633348
c001495	10	-7915.808705
c001496	10	-8324.730164
c001499	10	-3715.850469
c001500	14	-9225.061813
c001502	12	-6860.548803
c001503	10	-6251.299911
c001504m	16	-3732.068701
c001504p	16	-4581.837397
c001506	14	-7628.170793
c001507	24	-3672.315197
c001508	12	-12274.272372
c001512m	12	-6051.407556
c001512p	26	-3985.017869
c001514p	36	-3626.707772
c001515m	30	-380.710558
c001516	10	-4850.832732
c001519	10	-9402.640539
c001521	10	-4639.711974
c001523	10	-6216.835203
c001524p	18	-4829.581484
c001525p	16	-4111.138437
c001526	18	-13267.538905
c001527	12	-6640.329469
c001529	14	-10265.664909
c001535	10	-4908.683954
c001536	12	-8011.378987
c001537m	12	-3795.382907
c001538	24	-7022.583838
c001539	14	-13045.678772
c001543	14	-10977.791173
c001544p	20	-3575.411426
c001546	18	-7326.023017
c001547	12	-4342.471024
c001548p	24	-4833.169771
c001553	14	-13266.933168
c001554	16	-10364.923784
c001555p	20	-4505.005548
c001556m	16	-2576.981544
c001557	16	-7622.414886
c001558	10	-8114.928204
c001562	12	-12607.662949
c001563p	16	-2238.339832
c001565	24	-7933.165008
c001566	18	-12078.310337
c001567m	22	-1273.927324
c001569p	18	-3258.515993
c001571p	12	-2598.678303
c001572	14	-9527.349014
c001575	14	-11721.965041
c001580	10	-4101.852559
c001587	14	-7302.408662
c001589	14	-11358.714810
c001590	14	-14154.899166
c001595	12	-6680.303072
c001596	12	-10993.977827
c001597	10	-9287.531118
c001600	12	-9715.187479
c001602	10	-3155.055569
c001603p	14	-9314.460873
c001605	10	-10652.527648
c001607p	18	-4438.056275
c001611	14	-14564.442830
c001614	18	-7726.114608
c001620	10	-9544.508520
c001621	12	-1889.151516
c001622	12	-6876.297803
c001626p	14	-8914.984786
c001628	10	-12453.178492
c001629	16	-9548.001864
c001631	16	-15586.428705
c001632	12	-10935.763950
c001633m	20	-2982.531688
c001635	22	-4937.504271
c001639	10	-4566.647685
c001641	14	-6493.278887
c001643	10	-7255.397048
c001645	16	-7785.060779
c001648p	14	-4184.602106
c001649	12	-4816.663087
c001652p	22	-6368.080272
c001654	10	-2789.330472
c001655m	10	-3422.520224
c001661	12	-6239.635592
c001665	12	-13431.346266
c001668	16	-4830.899625
c001670	16	-10047.935308
c001673	14	-10855.357909
c001674	14	-13071.722876
c001677	10	-5307.225449
c001678m	18	-6028.539837
c001678p	16	-4082.235273
c001679	14	-11717.686056
c001680	16	-17056.136823
c001682	14	-11992.023728
c001686	12	-7578.521207
c001687p	12	-4104.942019
c001688m	16	-6363.177709
c001688p	14	-6759.991265
c001691p	26	-1152.692789
c001692m	18	-8373.631969
c001695	14	-13646.969885
c001697p	16	-6328.839746
c001698m	16	-3733.731711
c001698p	18	-6104.910322
c001699	14	-6872.980961
c001701	16	-3019.230980
c001702m	10	-3088.453757
c001702p	28	-6251.189002
c001704	14	-6655.256270
c001708	14	-9697.301905
c001709	12	-11505.859913
c001712m	14	-3426.869963
c001713	10	-11936.003609
c001714m	12	-8551.300157
c001714p	18	-5697.717883
c001716	10	-3404.466464
c001717	14	-3900.527593
c001718	10	-10964.907276
c001721	12	-11475.313705
c001723	14	-12670.829308
c001724	16	-9983.241698
c001726m	12	-5146.325979
c001726p	10	-3862.669474
c001727	12	-12449.254805
c001729p	14	-5284.310305
c001732	16	-13659.310940
c001733p	16	-4254.638952
c001736	10	-6709.051733
c001737m	18	-7919.850363
c001737p	18	-4854.633431
c001738	12	-10263.103893
c001740	10	-9252.150827
c001744m	20	-5861.213155
c001745	22	-4340.595731
c001747p	14	-3691.618950
c001749	18	-12503.483669
c001752	14	-10249.871728
c001755	14	-14443.016295
c001757	12	-6037.936687
c001759	14	-11782.924304
c001761	10	-11877.723177
c001762m	14	-5129.329338
c001762p	12	-4701.808849
c001763m	16	-6246.729221
c001763p	14	-2776.232762
c001764m	10	-3347.535341
c001764p	28	-3576.925279
c001767	12	-6282.733537
c001768	12	-9411.375904
c001772	18	-13329.337243
c001775	10	-3260.395468
c001776	18	-4130.400718
c001777	18	-7970.931491
c001778	18	-9581.852092
c001779	16	-6725.615410
c001780	18	-7831.063449
c001787	18	-10658.541215
c001788m	22	-6090.699937
c001788p	16	-2669.977300
c001795m	14	-7752.164621
c001796	20	-12979.207684
c001800p	10	-3731.268781
c001805m	14	-5785.915611
c001805p	18	-2618.823798
c001809	12	-13537.515354
c001813	14	-8619.374534
c001814	10	-6467.447849
c001815m	32	-8165.679759
c001817	12	-3951.834397
c001821	20	-16105.606040
c001822p	14	-6476.487445
c001824m	26	-2806.282284
c001826	18	-12291.822318
c001828	18	-9359.502848
c001830p	24	-8854.758709
c001831	12	-10528.714713
c001832	16	-8456.244180
c001836	22	-902.782016
c001840	18	-8471.783019
c001843	14	-3380.212763
c001845	12	-8874.768598
c001846	10	-5197.690086
c001848	12	-8959.859040
c001850	14	-8838.823254
c001851	14	-6128.840405
c001852m	28	-2732.834973
c001853	12	-5925.982263
c001855m	10	-3700.546591
c001855p	12	-8046.671680
c001856	10	-11964.777362
c001860p	30	-2819.050871
c001861p	16	-4611.303024
c001863m	12	-1362.580302
c001864m	22	-2631.817985
c001864p	12	-8123.496981
c001865	16	-10425.829555
c001867	12	-6474.336109
c001872	18	-6012.070853
c001873m	16	-4289.121149
c001873p	12	-1328.008034
c001876	10	-6572.909059
c001880m	14	-5830.985212
c001886	20	-11132.179482
c001887	14	-7996.079590
c001891	16	-7681.936324
c001892	12	-9160.401075
c001894m	10	-1796.606523
c001895	14	-7330.583714
c001896	10	-8410.259985
c001898	10	-9634.455865
c001905	12	-7005.235826
c001906	10	-8449.862688
c001907	18	-10699.105933
c001908m	22	-3082.245692
c001912	14	-4306.091091
c001919	10	-6389.195433
c001920m	12	-6711.771513
c001920p	20	-3491.391710
c001921p	14	-6737.896351
c001923p	18	-4719.161482
c001927m	12	-3449.820311
c001929	30	-9060.141342
c001931	14	-5079.988990
c001935	14	-5502.665111
c001938m	34	-2474.236554
c001938p	12	-1999.771443
c001941	12	-9575.981495
c001942	16	-14849.156955
c001943	14	-11347.065630
c001946m	18	-6668.600784
c001950	12	-12289.220159
c001951p	24	-5878.773378
c001952	12	-9044.074641
c001959	10	-8134.929339
c001963	18	-8442.460825
c001965	16	-10481.214305
c001967	20	-7260.810637
c001969	14	-5698.942331
c001971p	22	-2484.357584
c001973	12	-11234.514586
c001977	12	-3139.391667
c001991	20	-2954.234576
c001993	18	-14972.147431
c001996m	12	-6175.833774
c001999	12	-9673.198501
c002000	16	-8667.980430
c002002m	14	-3955.268876
c002002p	14	-6619.981099
c002006	14	-7277.625220
c002008m	26	-3908.103769
c002011	14	-12298.612593
c002014	32	-3131.639990
c002016	14	-10478.181639
c002018	22	-6966.398488
c002019p	16	-12740.155550
c002020m	16	-2802.157431
c002023	12	-6332.505964
c002024	18	-10829.363811
c002026	10	-4628.703190
c002035	20	-4100.322677
c002036	14	-7333.074629
c002037	10	-12154.330570
c002038p	16	-6210.309193
c002039	12	-10089.268006
c002045	10	-11166.625573
c002046	30	-3228.969140
c002047	14	-6501.434074
c002049	14	-5942.746843
c002052	12	-7347.409908
c002054	14	-12408.697130
c002058	14	-13781.172752
c002061p	14	-1186.043183
c002062	22	-8800.514501
c002063	14	-2230.769819
c002064	20	-10612.934610
c002065m	12	-3681.973756
c002065p	12	-10949.017772
c002066m	10	-3208.002981
c002066p	16	-6440.856588
c002067	16	-8737.440490
c002072p	14	-7845.485428
c002075	24	-13053.599914
c002076	14	-12626.655099
c002077	24	-8625.876234
c002083	10	-8769.044393
c002084p	14	-5590.750219
c002086	12	-7328.538643
c002090	28	-6939.153878
c002091	22	-7962.741160
c002092	16	-13625.901702
c002095	10	-4560.614474
c002096	10	-9973.693444
c002097m	12	-4368.483195
c002102	10	-3771.568390
c002103p	30	-4462.015612
c002106	12	-7983.481947
c002107m	26	-3203.045250
c002107p	12	-6228.615411
c002109p	22	-1973.311719
c002110	20	-7078.453998
c002112	14	-12786.154000
c002114	12	-13248.289479
c002118	14	-4218.698462
c002123m	16	-3268.169535
c002124p	20	-3866.873547
c002129	16	-9698.294465
c002130	12	-6810.686401
c002135	16	-8451.332376
c002136	18	-14659.299023
c002137	14	-13465.472880
c002140	16	-9628.248700
c002145	12	-8120.493820
c002146	12	-6843.943490
c002148	10	-4104.867609
c002149	16	-7619.172378
c002150	18	-10251.442023
c002155	12	-8304.460539
c002157	18	-10581.056556
c002158	18	-6828.877158
c002159	18	-8799.377725
c002161	16	-8001.434972
c002165	10	-16003.293388
c002168	16	-7371.731014
c002170m	14	-3953.618183
c002170p	20	-6815.918347
c002171m	12	-6884.609257
c002171p	26	-2382.199984
c002178	14	-7494.952219
c002181	14	-7381.056266
c002182	14	-5837.802123
c002183	14	-6102.941567
c002185p	22	-2584.086066
c002189	12	-7860.659873
c002190	12	-8595.331281
c002191	12	-9868.900034
c002193	10	-8669.542919
c002194	12	-3838.123699
c002195p	14	-3499.828490
c002198	20	-6654.655021
c002199	12	-9911.419928
c002200	18	-8360.850733
c002204	12	-10827.777603
c002205	10	-5097.229183
c002207m	12	-4131.606926
c002216	12	-7465.149746
c002218	14	-4991.591601
c002219m	28	-3042.026770
c002220	22	-8130.058334
c002223	16	-9079.178820
c002225m	20	-831.723244
c002225p	18	-8975.906645
c002226	14	-7673.302507
c002228m	10	-7831.434322
c002228p	26	-2990.368899
c002230	12	-9095.361674
c002231	18	-5218.776655
c002232	10	-4019.322670
c002235	14	-6469.422997
c002237	18	-15703.705864
c002239	12	-5732.210382
c002240	10	-9066.995478
c002242	16	-13499.468005
c002246	10	-6427.621108
c002249	10	-5253.662922
c002250	30	-4365.766299
c002251m	14	-3508.823594
c002251p	24	-4225.536581
c002252	12	-12548.984248
c002254m	14	-6575.715242
c002255	10	-7380.543066
c002258m	20	-7033.965500
c002258p	16	-6275.534941
c002260	22	-4196.670765
c002269	18	-13378.559552
c002270	10	-1962.932914
c002271	34	-3165.415417
c002272p	24	-4011.190683
c002274p	36	-4355.478735
c002283	12	-3924.881781
c002284	12	-6420.374560
c002288p	26	-3123.405969
c002290	14	-12456.524700
c002291	14	-14151.197960
c002293m	18	-3626.551821
c002300	12	-7774.565249
c002303m	10	-6256.466256
c002303p	18	-4694.424686
c002312	14	-8696.904795
c002315	10	-6367.490064
c002317	12	-5083.406345
c002318m	20	-4183.537496
c002319	12	-4941.841013
c002320m	10	-2826.992637
c002322	10	-8743.489719
c002324	16	-12773.786657
c002326	14	-9992.711543
