title                    	CAI	CBI	Fop	
c020376                  	0.773	0.181	0.532	
c020372                  	0.690	-0.063	0.426	
c030904                  	0.729	-0.026	0.415	
c009341                  	0.729	0.079	0.477	
c047973                  	0.720	0.006	0.447	
c002346p                 	0.774	0.129	0.505	
c008637                  	0.751	0.167	0.535	
c020998                  	0.781	0.174	0.552	
c020991                  	0.803	0.133	0.524	
c020995                  	0.767	0.271	0.599	
c020997                  	0.748	0.038	0.457	
c047975                  	0.793	0.035	0.469	
c024051                  	0.777	0.118	0.510	
c024053                  	0.816	0.322	0.636	
c024059                  	0.741	-0.022	0.420	
c003293p                 	0.793	0.263	0.608	
c002909p                 	0.752	0.105	0.500	
c025624                  	0.767	0.161	0.509	
c013243p                 	0.736	-0.143	0.354	
c013243m                 	0.736	-0.143	0.354	
c016519                  	0.762	0.007	0.454	
c016515                  	0.737	0.028	0.457	
c016517                  	0.784	0.086	0.489	
c016510                  	0.768	-0.018	0.432	
c016512                  	0.768	0.119	0.510	
c031074                  	0.777	0.069	0.459	
c010913                  	0.770	0.135	0.512	
c010917                  	0.764	0.122	0.506	
c022049                  	0.779	0.115	0.502	
c022047                  	0.798	0.248	0.582	
c022041                  	0.744	-0.001	0.454	
c022043                  	0.774	0.197	0.551	
c023714                  	0.744	0.010	0.450	
c023712                  	0.695	-0.058	0.386	
c002387p                 	0.872	0.333	0.615	
c019244                  	0.745	0.221	0.573	
c006334p                 	0.762	0.133	0.524	
c035402                  	0.764	0.156	0.536	
c011359                  	0.819	0.185	0.529	
c030434                  	0.724	-0.032	0.443	
c011350                  	0.765	0.131	0.527	
c011357                  	0.765	0.077	0.481	
c011355                  	0.724	0.052	0.458	
c010004                  	0.768	0.159	0.526	
c010006                  	0.770	0.075	0.488	
c010000                  	0.735	-0.014	0.434	
c010009                  	0.794	-0.027	0.429	
c045380                  	0.744	0.196	0.537	
c045384                  	0.720	0.020	0.455	
c015677                  	0.782	0.100	0.517	
c015671                  	0.714	-0.051	0.407	
c015673                  	0.781	0.143	0.524	
c000200m                 	0.795	0.130	0.517	
c000451m                 	0.729	-0.070	0.395	
c015989                  	0.783	0.157	0.531	
c044055                  	0.722	-0.077	0.380	
c015981                  	0.780	0.167	0.525	
c015985                  	0.732	0.025	0.442	
c027565                  	0.715	-0.068	0.400	
c027561                  	0.760	0.051	0.470	
c034159                  	0.724	0.069	0.470	
c036963                  	0.748	-0.135	0.357	
c036961                  	0.776	-0.077	0.414	
c036967                  	0.764	0.043	0.435	
c017475                  	0.729	-0.006	0.426	
c003726                  	0.757	0.073	0.475	
c042652                  	0.803	-0.137	0.379	
c042650                  	0.783	0.081	0.493	
c014581                  	0.743	0.064	0.457	
c039825                  	0.823	0.110	0.492	
c053661                  	0.739	0.077	0.478	
c053663                  	0.754	0.065	0.483	
c020178                  	0.807	0.242	0.584	
c020179                  	0.767	0.168	0.500	
c007652                  	0.731	-0.013	0.426	
c044955                  	0.723	0.044	0.467	
c020039                  	0.741	0.034	0.448	
c008604                  	0.787	0.252	0.588	
c020033                  	0.753	-0.029	0.427	
c045126                  	0.804	0.006	0.440	
c000756p                 	0.763	0.100	0.446	
c007322                  	0.738	0.014	0.445	
c007324                  	0.766	0.100	0.491	
c008514                  	0.754	0.124	0.501	
c007328                  	0.762	0.065	0.479	
c008518                  	0.763	0.122	0.506	
c001875                  	0.752	-0.010	0.441	
c001871                  	0.792	0.127	0.513	
c018725                  	0.788	0.137	0.518	
c018720                  	0.758	0.036	0.463	
c007098                  	0.777	0.234	0.544	
c007097                  	0.774	-0.025	0.440	
c007095                  	0.708	-0.008	0.431	
c007093                  	0.750	0.053	0.470	
c045606                  	0.816	0.588	0.758	
c045609                  	0.733	-0.210	0.294	
c048713                  	0.775	0.170	0.530	
c048717                  	0.788	0.309	0.610	
c003539                  	0.755	0.047	0.463	
c018493                  	0.737	0.010	0.454	
c018491                  	0.738	0.032	0.445	
c028413                  	0.732	0.031	0.435	
c018499                  	0.742	-0.021	0.426	
c033872                  	0.792	0.095	0.500	
c000693p                 	0.793	0.150	0.527	
c037595                  	0.792	0.281	0.617	
c004967                  	0.752	0.140	0.510	
c004964                  	0.788	0.173	0.537	
c004962                  	0.725	0.046	0.462	
c004960                  	0.763	0.138	0.513	
c004968                  	0.734	0.123	0.499	
c041639                  	0.746	0.245	0.556	
c041635                  	0.681	-0.058	0.407	
c041631                  	0.781	0.245	0.561	
c000044                  	0.754	0.083	0.474	
c015414                  	0.742	0.036	0.463	
c010547p                 	0.815	0.162	0.551	
c023108                  	0.801	0.138	0.510	
c023109                  	0.720	0.038	0.453	
c031699                  	0.787	0.146	0.536	
c051113                  	0.651	0.000	0.421	
c023105                  	0.781	0.171	0.531	
c054372                  	0.774	0.083	0.500	
c054370                  	0.743	-0.099	0.400	
c035999                  	0.752	0.193	0.554	
c013795m                 	0.814	0.301	0.605	
c035449                  	0.659	-0.245	0.304	
c035445                  	0.781	0.090	0.511	
c035443                  	0.809	0.280	0.602	
c015727                  	0.814	0.299	0.612	
c021598                  	0.744	0.078	0.458	
c034110                  	0.683	0.106	0.512	
c034118                  	0.609	-0.228	0.234	
c029659                  	0.801	0.248	0.551	
c015583                  	0.762	0.011	0.435	
c040333                  	0.757	0.113	0.500	
c015728                  	0.759	0.115	0.502	
c027388                  	0.772	0.193	0.546	
c038009                  	0.704	-0.070	0.388	
c038007                  	0.687	-0.186	0.345	
c025690                  	0.778	0.304	0.612	
c004797                  	0.747	0.069	0.477	
c015035                  	0.730	0.024	0.460	
c027380                  	0.774	0.094	0.494	
c026962                  	0.783	0.158	0.525	
c026960                  	0.811	0.457	0.677	
c026966                  	0.802	0.162	0.515	
c026964                  	0.772	0.212	0.547	
c033465                  	0.729	0.149	0.510	
c002424                  	0.733	0.082	0.452	
c002426                  	0.774	0.078	0.489	
c006558                  	0.759	0.084	0.480	
c006552                  	0.794	0.184	0.542	
c006555                  	0.778	0.188	0.547	
c006557                  	0.755	0.011	0.450	
c034802                  	0.761	0.233	0.567	
c036043                  	0.754	0.077	0.495	
c022609                  	0.756	0.070	0.484	
c022605                  	0.763	0.120	0.497	
c026388                  	0.756	0.186	0.521	
c026386                  	0.727	0.062	0.472	
c026382                  	0.749	0.118	0.507	
c026380                  	0.742	0.244	0.591	
c051293                  	0.723	-0.074	0.394	
c029853                  	0.791	0.204	0.558	
c038539                  	0.717	-0.373	0.207	
c032408                  	0.762	-0.016	0.415	
c003537                  	0.786	0.190	0.536	
c015173                  	0.740	0.137	0.509	
c037014                  	0.680	-0.199	0.297	
c049905                  	0.864	0.342	0.628	
c049903                  	0.760	0.126	0.519	
c049901                  	0.775	0.071	0.477	
c003943p                 	0.719	0.137	0.510	
c027765                  	0.774	0.187	0.525	
c031975                  	0.757	0.105	0.486	
c031977                  	0.788	0.194	0.543	
c021725                  	0.764	0.082	0.495	
c021727                  	0.776	0.043	0.461	
c021729                  	0.738	0.157	0.519	
c027897                  	0.782	-0.053	0.417	
c038281                  	0.785	0.228	0.582	
c009212                  	0.736	0.077	0.482	
c009217                  	0.794	0.176	0.540	
c009215                  	0.814	0.230	0.568	
c021493                  	0.824	0.315	0.621	
c021491                  	0.711	0.085	0.464	
c021499                  	0.717	0.066	0.490	
c014834                  	0.790	0.100	0.509	
c014836                  	0.774	-0.040	0.428	
c014830                  	0.770	0.094	0.484	
c014832                  	0.772	-0.038	0.423	
c025056                  	0.812	0.150	0.517	
c014839                  	0.763	0.182	0.518	
c005048                  	0.705	0.010	0.453	
c046622                  	0.822	0.007	0.425	
c048746                  	0.791	0.255	0.578	
c000034m                 	0.815	0.188	0.544	
c042718                  	0.745	0.002	0.441	
c046852                  	0.787	0.012	0.452	
c015231                  	0.746	0.019	0.442	
c041316                  	0.751	0.045	0.461	
c019374                  	0.763	-0.130	0.386	
c048103                  	0.762	0.147	0.529	
c019370                  	0.740	0.004	0.440	
c047578                  	0.820	0.188	0.533	
c047576                  	0.692	-0.058	0.396	
c043448                  	0.763	0.086	0.509	
c043444                  	0.703	0.128	0.517	
c001927m                 	0.750	0.098	0.493	
c001927p                 	0.813	0.137	0.524	
c018024                  	0.736	0.009	0.453	
c043195                  	0.772	0.075	0.474	
c041468                  	0.718	0.062	0.461	
c044087                  	0.741	-0.138	0.364	
c044081                  	0.775	0.161	0.565	
c046697                  	0.807	0.263	0.586	
c040843                  	0.783	0.244	0.548	
c001985p                 	0.775	0.271	0.577	
c011256                  	0.761	-0.102	0.389	
c002658m                 	0.760	0.074	0.490	
c017912                  	0.726	-0.034	0.406	
c011250                  	0.777	0.153	0.533	
c007992m                 	0.734	0.123	0.489	
c014012                  	0.778	0.244	0.564	
c014010                  	0.764	0.004	0.460	
c014017                  	0.758	0.104	0.489	
c010709                  	0.792	0.162	0.519	
c001370m                 	0.732	0.178	0.532	
c001370p                 	0.771	0.164	0.521	
c035208                  	0.731	0.130	0.522	
c051270                  	0.737	0.163	0.531	
c037914                  	0.752	0.002	0.436	
c037912                  	0.781	-0.044	0.430	
c045064                  	0.733	0.017	0.431	
c045066                  	0.748	0.168	0.550	
c045060                  	0.746	0.141	0.507	
c001221                  	0.733	-0.082	0.394	
c016350                  	0.729	0.114	0.467	
c042956                  	0.635	-0.100	0.354	
c003313                  	0.739	-0.057	0.429	
c042957                  	0.760	0.260	0.586	
c003318                  	0.760	0.084	0.482	
c005234p                 	0.770	0.041	0.452	
c054821                  	0.753	0.083	0.477	
c015824                  	0.809	0.212	0.557	
c015820                  	0.772	0.121	0.500	
c015822                  	0.794	0.159	0.519	
c037384                  	0.759	0.054	0.464	
c026939                  	0.794	0.160	0.545	
c012414                  	0.804	0.156	0.523	
c012416                  	0.742	0.189	0.520	
c012413                  	0.795	0.160	0.535	
c012418                  	0.810	0.156	0.500	
c037881                  	0.748	-0.085	0.385	
c006799                  	0.808	0.129	0.533	
c006793                  	0.773	0.106	0.502	
c006791                  	0.773	0.097	0.492	
c006797                  	0.788	0.133	0.517	
c006795                  	0.706	0.006	0.451	
c053361                  	0.671	-0.020	0.444	
c029263                  	0.748	0.032	0.443	
c029269                  	0.784	0.053	0.469	
c012225m                 	0.788	0.150	0.524	
c038360                  	0.686	-0.299	0.267	
c003560                  	0.771	0.112	0.496	
c005097                  	0.820	0.247	0.554	
c007113                  	0.797	0.093	0.486	
c007111                  	0.752	0.031	0.455	
c007117                  	0.776	0.053	0.472	
c007115                  	0.764	0.138	0.503	
c007119                  	0.725	0.034	0.469	
c046345                  	0.749	0.080	0.467	
c046341                  	0.764	0.301	0.613	
c046349                  	0.783	0.250	0.581	
c019644                  	0.752	-0.052	0.426	
c019641                  	0.754	0.163	0.530	
c019643                  	0.806	0.367	0.646	
c019649                  	0.756	0.198	0.546	
c013896                  	0.760	0.120	0.499	
c013892                  	0.783	0.141	0.523	
c013890                  	0.712	-0.042	0.409	
c013899                  	0.803	0.282	0.600	
c030980                  	0.761	0.137	0.517	
c019999                  	0.783	0.133	0.514	
c002892                  	0.711	-0.034	0.425	
c002896                  	0.772	0.101	0.491	
c002898                  	0.771	0.177	0.522	
c000889                  	0.719	-0.038	0.414	
c008329                  	0.752	-0.002	0.433	
c008327                  	0.802	0.206	0.553	
c008323                  	0.739	0.038	0.467	
c019992                  	0.673	-0.102	0.371	
c048697                  	0.711	-0.016	0.416	
c048699                  	0.732	0.013	0.457	
c010678p                 	0.815	0.163	0.523	
c018516                  	0.746	-0.068	0.400	
c018514                  	0.726	0.097	0.502	
c018512                  	0.714	0.054	0.457	
c018510                  	0.814	0.216	0.579	
c003646p                 	0.761	0.070	0.489	
c003646m                 	0.727	0.097	0.500	
c048568                  	0.724	0.029	0.438	
c040751                  	0.745	0.033	0.463	
c004550                  	0.777	0.152	0.522	
c004555                  	0.748	-0.006	0.441	
c028067                  	0.746	0.029	0.447	
c028060                  	0.743	0.097	0.503	
c000197                  	0.716	-0.085	0.392	
c031710                  	0.708	-0.053	0.417	
c028062                  	0.709	0.047	0.429	
c032975                  	0.701	0.024	0.448	
c022772                  	0.775	0.060	0.480	
c000459                  	0.743	0.096	0.483	
c032978                  	0.785	0.208	0.551	
c031715                  	0.749	-0.002	0.448	
c031716                  	0.727	0.130	0.528	
c036275                  	0.778	0.190	0.542	
c000760p                 	0.806	0.188	0.534	
c030531                  	0.789	0.123	0.513	
c030537                  	0.810	0.208	0.566	
c030538                  	0.788	0.145	0.523	
c000192                  	0.703	-0.049	0.402	
c005208                  	0.742	0.086	0.470	
c041001                  	0.748	-0.250	0.211	
c009982                  	0.719	-0.013	0.413	
c009980                  	0.810	0.119	0.511	
c009986                  	0.748	0.084	0.483	
c009984                  	0.752	-0.079	0.409	
c009988                  	0.701	0.125	0.475	
c029105                  	0.817	0.120	0.510	
c024486                  	0.675	0.072	0.451	
c024480                  	0.801	0.376	0.627	
c024488                  	0.742	0.111	0.493	
c006658                  	0.760	0.123	0.507	
c001049m                 	0.757	0.061	0.488	
c020789                  	0.816	0.275	0.591	
c025288                  	0.765	0.248	0.585	
c025283                  	0.790	0.187	0.540	
c025281                  	0.773	0.223	0.566	
c025285                  	0.799	0.070	0.494	
c034300                  	0.770	0.160	0.535	
c034305                  	0.748	0.169	0.537	
c034309                  	0.786	0.155	0.526	
c013316                  	0.796	0.188	0.534	
c026889                  	0.742	0.026	0.429	
c026887                  	0.757	0.016	0.452	
c026881                  	0.720	0.059	0.479	
c026883                  	0.731	0.227	0.568	
c024779                  	0.769	0.034	0.459	
c024772                  	0.786	0.072	0.488	
c025426                  	0.653	-0.210	0.308	
c025424                  	0.778	0.146	0.538	
c004563p                 	0.779	0.143	0.516	
c003747m                 	0.823	0.251	0.584	
c043901                  	0.726	0.010	0.435	
c026737                  	0.728	0.149	0.506	
c026735                  	0.780	0.048	0.480	
c006764p                 	0.782	0.144	0.521	
c001369p                 	0.788	-0.011	0.436	
c033169                  	0.776	0.065	0.472	
c033161                  	0.788	0.228	0.576	
c010254m                 	0.764	0.023	0.437	
c033165                  	0.683	0.003	0.404	
c033167                  	0.781	0.062	0.462	
c020278                  	0.733	-0.012	0.436	
c048970                  	0.750	0.057	0.478	
c048976                  	0.777	0.138	0.521	
c023343                  	0.756	-0.006	0.453	
c023345                  	0.784	-0.008	0.459	
c023347                  	0.794	0.191	0.570	
c010273                  	0.733	-0.036	0.434	
c051478                  	0.809	0.183	0.522	
c010275                  	0.797	0.175	0.539	
c051472                  	0.801	-0.054	0.410	
c051474                  	0.739	0.153	0.519	
c001309p                 	0.799	0.036	0.436	
c053831                  	0.809	-0.209	0.364	
c053833                  	0.693	0.087	0.460	
c032210                  	0.804	0.444	0.691	
c050624                  	0.687	0.003	0.429	
c032214                  	0.760	-0.040	0.435	
c004757                  	0.763	-0.000	0.445	
c009397                  	0.732	0.033	0.454	
c015003                  	0.767	0.166	0.537	
c009392                  	0.781	0.136	0.522	
c009390                  	0.784	0.119	0.493	
c020641                  	0.749	0.070	0.457	
c020643                  	0.796	0.205	0.558	
c003357p                 	0.757	0.108	0.492	
c004615                  	0.727	0.069	0.477	
c047628                  	0.736	0.122	0.486	
c003357m                 	0.709	0.032	0.460	
c004613                  	0.764	0.096	0.499	
c004618                  	0.744	0.045	0.472	
c053291                  	0.730	0.186	0.530	
c013816p                 	0.750	-0.075	0.400	
c027911                  	0.743	-0.017	0.440	
c027915                  	0.797	0.195	0.556	
c027917                  	0.718	-0.077	0.407	
c021517                  	0.707	-0.096	0.389	
c001564                  	0.777	0.172	0.536	
c021518                  	0.775	0.155	0.532	
c026500                  	0.739	0.061	0.483	
c026505                  	0.752	0.086	0.484	
c003219m                 	0.808	0.144	0.520	
c001566                  	0.778	0.141	0.507	
c051984                  	0.723	-0.041	0.404	
c051989                  	0.759	0.197	0.581	
c026404                  	0.776	0.229	0.561	
c026405                  	0.779	0.118	0.504	
c003219p                 	0.804	0.067	0.477	
c012920                  	0.727	-0.067	0.381	
c012922                  	0.742	0.096	0.486	
c012924                  	0.707	0.054	0.479	
c012928                  	0.724	0.032	0.458	
c042127                  	0.741	-0.030	0.433	
c005131m                 	0.773	0.116	0.485	
c024310                  	0.736	0.074	0.460	
c052982                  	0.724	-0.048	0.400	
c052980                  	0.735	-0.059	0.433	
c037309                  	0.745	0.105	0.500	
c024239                  	0.704	-0.038	0.380	
c019912                  	0.736	0.044	0.473	
c019914                  	0.731	0.079	0.441	
c031627                  	0.799	0.065	0.481	
c044452                  	0.705	-0.070	0.416	
c044454                  	0.715	0.023	0.440	
c015578                  	0.775	0.113	0.508	
c022378                  	0.834	0.074	0.481	
c015576                  	0.789	0.216	0.560	
c015575                  	0.758	0.062	0.494	
c011669                  	0.731	0.063	0.480	
c011662                  	0.785	0.180	0.557	
c011661                  	0.746	-0.063	0.412	
c011667                  	0.754	0.044	0.468	
c011665                  	0.802	0.193	0.548	
c023800                  	0.736	0.004	0.425	
c029840                  	0.724	-0.109	0.393	
c029842                  	0.732	-0.002	0.425	
c038545                  	0.772	0.243	0.571	
c038541                  	0.696	0.067	0.438	
c014196                  	0.728	0.042	0.469	
c014194                  	0.768	0.103	0.508	
c014192                  	0.706	0.022	0.435	
c014190                  	0.812	0.195	0.554	
c002236m                 	0.798	0.211	0.556	
c005114p                 	0.740	0.058	0.480	
c014627                  	0.812	0.136	0.518	
c009852m                 	0.783	0.069	0.511	
c014623                  	0.771	0.069	0.489	
c014884p                 	0.761	0.171	0.542	
c014884m                 	0.758	0.102	0.504	
c010536                  	0.762	0.078	0.490	
c010530                  	0.769	0.052	0.459	
c010532                  	0.728	0.048	0.476	
c009852p                 	0.696	-0.006	0.414	
c010538                  	0.812	0.256	0.581	
c002270                  	0.821	0.230	0.581	
c002277                  	0.791	0.184	0.521	
c042941                  	0.803	0.012	0.460	
c041366                  	0.612	-0.225	0.275	
c041364                  	0.740	-0.003	0.437	
c041362                  	0.756	-0.155	0.364	
c041360                  	0.759	-0.041	0.415	
c030049                  	0.729	-0.044	0.403	
c035032                  	0.768	0.074	0.490	
c045522                  	0.737	0.011	0.412	
c028078                  	0.782	0.134	0.508	
c001204m                 	0.784	0.207	0.560	
c018332                  	0.780	0.140	0.529	
c003104                  	0.791	0.149	0.527	
c003107                  	0.761	0.148	0.509	
c003109                  	0.765	-0.022	0.436	
c007830                  	0.705	-0.009	0.436	
c014358                  	0.822	0.138	0.513	
c007834                  	0.738	0.022	0.459	
c007837                  	0.737	0.017	0.448	
c007839                  	0.747	0.036	0.457	
c012594                  	0.694	-0.085	0.364	
c012596                  	0.783	0.183	0.531	
c005009                  	0.776	0.120	0.499	
c014351                  	0.751	0.017	0.459	
c022642                  	0.760	0.096	0.491	
c041102                  	0.781	0.088	0.491	
c036856                  	0.747	0.221	0.556	
c036852                  	0.717	0.052	0.461	
c041100                  	0.718	0.025	0.453	
c036859                  	0.833	0.301	0.603	
c022643                  	0.749	0.096	0.503	
c003710p                 	0.756	0.170	0.523	
c024808                  	0.722	-0.044	0.409	
c008287                  	0.743	0.040	0.469	
c008280                  	0.770	0.070	0.485	
c003710m                 	0.730	0.038	0.453	
c008289                  	0.746	0.103	0.489	
c033368                  	0.782	0.210	0.550	
c033362                  	0.764	0.048	0.478	
c033366                  	0.761	0.213	0.537	
c038367                  	0.837	0.389	0.667	
c008179                  	0.724	0.091	0.492	
c008174                  	0.717	-0.006	0.443	
