isogroup5195	Posttranslational modification, protein turnover, chaperones
isogroup16486.1	Posttranslational modification, protein turnover, chaperones
isogroup21248	Posttranslational modification, protein turnover, chaperones
isogroup31212	RNA processing and modification 
isogroup29882	Cell cycle control, cell division, chromosome partitioning
isogroup3186	Secondary metabolites biosynthesis, transport and catabolism
isogroup10631	Carbohydrate transport and metabolism
isogroup9753	Signal transduction mechanisms
isogroup17510	Lipid transport and metabolism
isogroup10666	Intracellular trafficking, secretion, and vesicular transport
isogroup1202	Transcription
isogroup2266	Coenzyme transport and metabolism
isogroup16717	Signal transduction mechanisms
isogroup16717	Cytoskeleton
isogroup17009	Transcription
isogroup17009	Signal transduction mechanisms
isogroup7506	Amino acid transport and metabolism
isogroup31256	Cell wall/membrane/envelope biogenesis
isogroup32702	Signal transduction mechanisms
isogroup38418	Posttranslational modification, protein turnover, chaperones
isogroup5625	Signal transduction mechanisms
isogroup15969	Carbohydrate transport and metabolism
isogroup3248	Signal transduction mechanisms
isogroup16904	Transcription
isogroup5978	Nuclear structure
isogroup5978	Intracellular trafficking, secretion, and vesicular transport
isogroup31316	Signal transduction mechanisms
isogroup8652	Cytoskeleton
isogroup12175	Extracellular structures
isogroup4253	Signal transduction mechanisms
isogroup4387	Signal transduction mechanisms
isogroup5441	Carbohydrate transport and metabolism
isogroup30569	Amino acid transport and metabolism
isogroup8198	Energy production and conversion
isogroup28792	Signal transduction mechanisms
isogroup17582	Translation, ribosomal structure and biogenesis
isogroup1136	Chromatin structure and dynamics
isogroup11443	Transcription
isogroup11443	Chromatin structure and dynamics
isogroup26488	Intracellular trafficking, secretion, and vesicular transport
isogroup29000	Chromatin structure and dynamics
isogroup7163	Amino acid transport and metabolism
isogroup307	Signal transduction mechanisms
isogroup44952	Replication, recombination and repair
isogroup14894	Cytoskeleton
isogroup5078	Translation, ribosomal structure and biogenesis
isogroup5078	RNA processing and modification 
isogroup15137	Replication, recombination and repair
isogroup4983	Cytoskeleton
isogroup4628	Energy production and conversion
isogroup14084	Translation, ribosomal structure and biogenesis
isogroup38152	Replication, recombination and repair
isogroup7672	Transcription
isogroup30311	Lipid transport and metabolism
isogroup10512	Posttranslational modification, protein turnover, chaperones
isogroup16285	Transcription
isogroup5094	Cell wall/membrane/envelope biogenesis
isogroup18213	Signal transduction mechanisms
isogroup34018	Transcription
isogroup5245	Secondary metabolites biosynthesis, transport and catabolism
isogroup19586	Amino acid transport and metabolism
isogroup1633	Transcription
isogroup424	Lipid transport and metabolism
isogroup16007	Transcription
isogroup5038	Signal transduction mechanisms
isogroup5038	Inorganic ion transport and metabolism
isogroup4300.1	Signal transduction mechanisms
isogroup18490	Transcription
isogroup17941	Posttranslational modification, protein turnover, chaperones
isogroup15376	Replication, recombination and repair
isogroup13868	Lipid transport and metabolism
isogroup23124	Intracellular trafficking, secretion, and vesicular transport
isogroup29793	Posttranslational modification, protein turnover, chaperones
isogroup17369	Posttranslational modification, protein turnover, chaperones
isogroup17369	Carbohydrate transport and metabolism
isogroup23696	Signal transduction mechanisms
isogroup23696	Extracellular structures
isogroup31436	Intracellular trafficking, secretion, and vesicular transport
isogroup7193	Chromatin structure and dynamics
isogroup2524	Transcription
isogroup5959	Transcription
isogroup5959	Cell cycle control, cell division, chromosome partitioning
isogroup26592	Secondary metabolites biosynthesis, transport and catabolism
isogroup16054	Inorganic ion transport and metabolism
isogroup16155	Lipid transport and metabolism
isogroup12027	Signal transduction mechanisms
isogroup29640	Signal transduction mechanisms
isogroup20220	Signal transduction mechanisms
isogroup20220	Posttranslational modification, protein turnover, chaperones
isogroup4427	Cell cycle control, cell division, chromosome partitioning
isogroup14126	Signal transduction mechanisms
isogroup14126	Cytoskeleton
isogroup2350	Transcription
isogroup31373	Signal transduction mechanisms
isogroup9273	Translation, ribosomal structure and biogenesis
isogroup9273	RNA processing and modification 
isogroup9656	Secondary metabolites biosynthesis, transport and catabolism
isogroup26070	Signal transduction mechanisms
isogroup26070	Inorganic ion transport and metabolism
isogroup1519.1	Transcription
isogroup2854	Posttranslational modification, protein turnover, chaperones
isogroup2236	Signal transduction mechanisms
isogroup45870	Cytoskeleton
isogroup9923	RNA processing and modification 
isogroup12466	Posttranslational modification, protein turnover, chaperones
isogroup677	Extracellular structures
isogroup2925	Chromatin structure and dynamics
isogroup5739	Transcription
isogroup7471	Posttranslational modification, protein turnover, chaperones
isogroup4125	Cell wall/membrane/envelope biogenesis
isogroup17488	Transcription
isogroup17488	Replication, recombination and repair
isogroup22960	Posttranslational modification, protein turnover, chaperones
isogroup5621	Posttranslational modification, protein turnover, chaperones
isogroup613	Carbohydrate transport and metabolism
isogroup17684	Signal transduction mechanisms
isogroup17684	Cytoskeleton
isogroup6476	Carbohydrate transport and metabolism
isogroup17280	Replication, recombination and repair
isogroup1996	Inorganic ion transport and metabolism
isogroup2598	Carbohydrate transport and metabolism
isogroup7490	Energy production and conversion
isogroup24029	Lipid transport and metabolism
isogroup6691	Translation, ribosomal structure and biogenesis
isogroup36931	Translation, ribosomal structure and biogenesis
isogroup7474	Transcription
isogroup28207	Posttranslational modification, protein turnover, chaperones
isogroup2138	Posttranslational modification, protein turnover, chaperones
isogroup19646	Nucleotide transport and metabolism
isogroup14000	Lipid transport and metabolism
isogroup10241	Lipid transport and metabolism
isogroup10241	Secondary metabolites biosynthesis, transport and catabolism
isogroup32141	Cell wall/membrane/envelope biogenesis
isogroup15393	Amino acid transport and metabolism
isogroup882	Cytoskeleton
isogroup2030	Replication, recombination and repair
isogroup14234	Amino acid transport and metabolism
isogroup14234	Nucleotide transport and metabolism
isogroup36335	Chromatin structure and dynamics
isogroup12716	Signal transduction mechanisms
isogroup28031	Transcription
isogroup8253	Signal transduction mechanisms
isogroup41293	Amino acid transport and metabolism
isogroup1467	Intracellular trafficking, secretion, and vesicular transport
isogroup2058	Defense mechanisms
isogroup2175	Posttranslational modification, protein turnover, chaperones
isogroup5547	Signal transduction mechanisms
isogroup13603	Defense mechanisms
isogroup40623	Cytoskeleton
isogroup2582	Translation, ribosomal structure and biogenesis
isogroup4516	Replication, recombination and repair
isogroup233	Cell cycle control, cell division, chromosome partitioning
isogroup6254	Carbohydrate transport and metabolism
isogroup10014	Intracellular trafficking, secretion, and vesicular transport
isogroup21907	Posttranslational modification, protein turnover, chaperones
isogroup38189	Cell cycle control, cell division, chromosome partitioning
isogroup298	Signal transduction mechanisms
isogroup11001	Transcription
isogroup14996	Defense mechanisms
isogroup4651	Inorganic ion transport and metabolism
isogroup4651	Secondary metabolites biosynthesis, transport and catabolism
isogroup15624	Transcription
isogroup1782	RNA processing and modification 
isogroup11345	Signal transduction mechanisms
isogroup9908	Carbohydrate transport and metabolism
isogroup25784	RNA processing and modification 
isogroup17799	Replication, recombination and repair
isogroup17799	Chromatin structure and dynamics
isogroup17799	Cell cycle control, cell division, chromosome partitioning
isogroup17799	Signal transduction mechanisms
isogroup10969	Signal transduction mechanisms
isogroup10568	Carbohydrate transport and metabolism
isogroup18097	Amino acid transport and metabolism
isogroup15170	Transcription
isogroup39347	Cytoskeleton
isogroup3894	Inorganic ion transport and metabolism
isogroup13622	Posttranslational modification, protein turnover, chaperones
isogroup40388	Posttranslational modification, protein turnover, chaperones
isogroup12428	Carbohydrate transport and metabolism
isogroup43809	Signal transduction mechanisms
isogroup43809	Extracellular structures
isogroup13714.1	Transcription
isogroup32483	Posttranslational modification, protein turnover, chaperones
isogroup25406	Extracellular structures
isogroup4481	Lipid transport and metabolism
isogroup18640	Posttranslational modification, protein turnover, chaperones
isogroup3263	Intracellular trafficking, secretion, and vesicular transport
isogroup24474	Signal transduction mechanisms
isogroup4645	Posttranslational modification, protein turnover, chaperones
isogroup14691	Lipid transport and metabolism
isogroup36577	Signal transduction mechanisms
isogroup36577	Inorganic ion transport and metabolism
isogroup5782	Cell wall/membrane/envelope biogenesis
isogroup5782	Extracellular structures
isogroup10313	Transcription
isogroup10313	Chromatin structure and dynamics
isogroup1466.1	Signal transduction mechanisms
isogroup1466.1	Intracellular trafficking, secretion, and vesicular transport
isogroup10314	Nucleotide transport and metabolism
isogroup10865	Signal transduction mechanisms
isogroup14914	Posttranslational modification, protein turnover, chaperones
isogroup8514	Signal transduction mechanisms
isogroup4820	Lipid transport and metabolism
isogroup27563	Signal transduction mechanisms
isogroup4522	Signal transduction mechanisms
isogroup285	Cell wall/membrane/envelope biogenesis
isogroup19107	Transcription
isogroup6099	Intracellular trafficking, secretion, and vesicular transport
isogroup7331	Signal transduction mechanisms
isogroup7331	Intracellular trafficking, secretion, and vesicular transport
isogroup7331	Posttranslational modification, protein turnover, chaperones
isogroup4988	Posttranslational modification, protein turnover, chaperones
isogroup23440	Posttranslational modification, protein turnover, chaperones
isogroup6884	Energy production and conversion
isogroup33118	Translation, ribosomal structure and biogenesis
isogroup2089	Intracellular trafficking, secretion, and vesicular transport
isogroup782	Replication, recombination and repair
isogroup3679.2	Translation, ribosomal structure and biogenesis
isogroup3017	Lipid transport and metabolism
isogroup10133	Cell cycle control, cell division, chromosome partitioning
isogroup4095	RNA processing and modification 
isogroup4356	Carbohydrate transport and metabolism
isogroup43603	Inorganic ion transport and metabolism
isogroup8364	Secondary metabolites biosynthesis, transport and catabolism
isogroup25826	Intracellular trafficking, secretion, and vesicular transport
isogroup3662	Posttranslational modification, protein turnover, chaperones
isogroup34803	Posttranslational modification, protein turnover, chaperones
isogroup19805	Replication, recombination and repair
isogroup14312	Signal transduction mechanisms
isogroup17217	Chromatin structure and dynamics
isogroup45892	Extracellular structures
isogroup1901.1	Nuclear structure
isogroup1901.1	Intracellular trafficking, secretion, and vesicular transport
isogroup37490	Cell cycle control, cell division, chromosome partitioning
isogroup37490	Cytoskeleton
isogroup37490	Intracellular trafficking, secretion, and vesicular transport
isogroup45921	Transcription
isogroup12910	Carbohydrate transport and metabolism
isogroup33812	Cytoskeleton
isogroup213	Signal transduction mechanisms
isogroup5789	Signal transduction mechanisms
isogroup46485	Signal transduction mechanisms
isogroup17181	Energy production and conversion
isogroup45705	Signal transduction mechanisms
isogroup45705	Inorganic ion transport and metabolism
isogroup6584	Signal transduction mechanisms
isogroup25338	RNA processing and modification 
isogroup3391	Transcription
isogroup5116	Extracellular structures
isogroup27358	Cell cycle control, cell division, chromosome partitioning
isogroup3484	Energy production and conversion
isogroup16272	Signal transduction mechanisms
isogroup26369	Lipid transport and metabolism
isogroup8772	Energy production and conversion
isogroup2249	Posttranslational modification, protein turnover, chaperones
isogroup13917	Signal transduction mechanisms
isogroup34616	Posttranslational modification, protein turnover, chaperones
isogroup23048	Signal transduction mechanisms
isogroup13471	Posttranslational modification, protein turnover, chaperones
isogroup10738	Transcription
isogroup11259	Inorganic ion transport and metabolism
isogroup533	Intracellular trafficking, secretion, and vesicular transport
isogroup533	Lipid transport and metabolism
isogroup9858	Energy production and conversion
isogroup10800	Energy production and conversion
isogroup21968	Posttranslational modification, protein turnover, chaperones
isogroup17919	Translation, ribosomal structure and biogenesis
isogroup17919	RNA processing and modification 
isogroup13478	Nucleotide transport and metabolism
isogroup6314	Signal transduction mechanisms
isogroup6314	Intracellular trafficking, secretion, and vesicular transport
isogroup27350	Amino acid transport and metabolism
isogroup1831	Extracellular structures
isogroup5049	Posttranslational modification, protein turnover, chaperones
isogroup14225	Carbohydrate transport and metabolism
isogroup14225	Amino acid transport and metabolism
isogroup10178	Signal transduction mechanisms
isogroup6199	Posttranslational modification, protein turnover, chaperones
isogroup185	Signal transduction mechanisms
isogroup13063	Carbohydrate transport and metabolism
isogroup30893	Cytoskeleton
isogroup21139	Transcription
isogroup3443	Signal transduction mechanisms
isogroup3443	Lipid transport and metabolism
isogroup2037	Signal transduction mechanisms
isogroup2037	Cytoskeleton
isogroup511.1	Signal transduction mechanisms
isogroup12471	Signal transduction mechanisms
isogroup6151	Amino acid transport and metabolism
isogroup16569	RNA processing and modification 
isogroup15697	RNA processing and modification 
isogroup15697	Cell cycle control, cell division, chromosome partitioning
isogroup18266	Signal transduction mechanisms
isogroup19279	Transcription
isogroup1828	Inorganic ion transport and metabolism
isogroup13481	Translation, ribosomal structure and biogenesis
isogroup10340.1	Replication, recombination and repair
isogroup44033	Cell cycle control, cell division, chromosome partitioning
isogroup19373	Amino acid transport and metabolism
isogroup39362	Cytoskeleton
isogroup19919	Cell wall/membrane/envelope biogenesis
isogroup19919	Extracellular structures
isogroup47	Transcription
isogroup47	Posttranslational modification, protein turnover, chaperones
isogroup20232.1	Extracellular structures
isogroup19151	Signal transduction mechanisms
isogroup355	Nuclear structure
isogroup355	Intracellular trafficking, secretion, and vesicular transport
isogroup1638	RNA processing and modification 
isogroup23757	Signal transduction mechanisms
isogroup28997	Posttranslational modification, protein turnover, chaperones
isogroup4486	Inorganic ion transport and metabolism
isogroup29906	Carbohydrate transport and metabolism
isogroup9048	Signal transduction mechanisms
isogroup15512	Transcription
isogroup15512	Chromatin structure and dynamics
isogroup799	Cytoskeleton
isogroup27470	Signal transduction mechanisms
isogroup6092	Posttranslational modification, protein turnover, chaperones
isogroup13133	Transcription
isogroup8287.1	Cell cycle control, cell division, chromosome partitioning
isogroup38453	Cell cycle control, cell division, chromosome partitioning
isogroup12329	Signal transduction mechanisms
isogroup12329	Inorganic ion transport and metabolism
isogroup17370	Extracellular structures
isogroup7134	Intracellular trafficking, secretion, and vesicular transport
isogroup43301	Energy production and conversion
isogroup1149	RNA processing and modification 
isogroup26629	Signal transduction mechanisms
isogroup26629	Inorganic ion transport and metabolism
isogroup1311	Lipid transport and metabolism
isogroup30960	Carbohydrate transport and metabolism
isogroup15223	Defense mechanisms
isogroup14090	Cytoskeleton
isogroup13496	Signal transduction mechanisms
isogroup12509	Replication, recombination and repair
isogroup10082	Transcription
isogroup10082	Chromatin structure and dynamics
isogroup2120	Signal transduction mechanisms
isogroup6562	Cytoskeleton
isogroup5124	Signal transduction mechanisms
isogroup4589	Cell cycle control, cell division, chromosome partitioning
isogroup155	Cytoskeleton
isogroup15657	Extracellular structures
isogroup15657	Posttranslational modification, protein turnover, chaperones
isogroup25434	Signal transduction mechanisms
isogroup643	Chromatin structure and dynamics
isogroup3934	Cytoskeleton
isogroup3934	Intracellular trafficking, secretion, and vesicular transport
isogroup38485	Signal transduction mechanisms
isogroup8911	Signal transduction mechanisms
isogroup17954	Signal transduction mechanisms
isogroup840	Cytoskeleton
isogroup7748	Cell cycle control, cell division, chromosome partitioning
isogroup7748	Signal transduction mechanisms
isogroup13690	Cytoskeleton
isogroup13656	Signal transduction mechanisms
isogroup14117	Energy production and conversion
isogroup7614	Translation, ribosomal structure and biogenesis
isogroup22180	Carbohydrate transport and metabolism
isogroup39163	Signal transduction mechanisms
isogroup12382	RNA processing and modification 
isogroup27214	Posttranslational modification, protein turnover, chaperones
isogroup436	RNA processing and modification 
isogroup1160	Signal transduction mechanisms
isogroup12816	Posttranslational modification, protein turnover, chaperones
isogroup11210	Carbohydrate transport and metabolism
isogroup10102	Intracellular trafficking, secretion, and vesicular transport
isogroup39013	Cytoskeleton
isogroup11858	Cell wall/membrane/envelope biogenesis
isogroup11858	Posttranslational modification, protein turnover, chaperones
isogroup11858	Lipid transport and metabolism
isogroup9517	Intracellular trafficking, secretion, and vesicular transport
isogroup13599	Extracellular structures
isogroup14014	Cell wall/membrane/envelope biogenesis
isogroup39904	Translation, ribosomal structure and biogenesis
isogroup35832	Signal transduction mechanisms
isogroup10610	RNA processing and modification 
isogroup14511	Energy production and conversion
isogroup23115	Signal transduction mechanisms
isogroup6607	Amino acid transport and metabolism
isogroup6607	Coenzyme transport and metabolism
isogroup2494	Inorganic ion transport and metabolism
isogroup27027	Signal transduction mechanisms
isogroup14461	Amino acid transport and metabolism
isogroup29790	Posttranslational modification, protein turnover, chaperones
isogroup40328	Extracellular structures
isogroup16468	RNA processing and modification 
isogroup25054	Translation, ribosomal structure and biogenesis
isogroup2573	Extracellular structures
isogroup4713	Posttranslational modification, protein turnover, chaperones
isogroup42093	Posttranslational modification, protein turnover, chaperones
isogroup7897	Cytoskeleton
isogroup32469	Cell cycle control, cell division, chromosome partitioning
isogroup12458	Cell wall/membrane/envelope biogenesis
isogroup8381	Carbohydrate transport and metabolism
isogroup17861	Cell cycle control, cell division, chromosome partitioning
isogroup19462	Signal transduction mechanisms
isogroup34514	Signal transduction mechanisms
isogroup1596	RNA processing and modification 
isogroup5571	Cytoskeleton
isogroup1595	Cytoskeleton
isogroup20942	Signal transduction mechanisms
isogroup2310	Signal transduction mechanisms
isogroup7407	Translation, ribosomal structure and biogenesis
isogroup7407	Signal transduction mechanisms
isogroup7407	Lipid transport and metabolism
isogroup7749	Energy production and conversion
isogroup17458	Signal transduction mechanisms
isogroup22521	Signal transduction mechanisms
isogroup3223	Signal transduction mechanisms
isogroup704	Transcription
isogroup704	Replication, recombination and repair
isogroup67	Cytoskeleton
isogroup10182	Posttranslational modification, protein turnover, chaperones
isogroup11820	Cytoskeleton
isogroup5330	RNA processing and modification 
isogroup27580	Signal transduction mechanisms
isogroup1256.1	Extracellular structures
isogroup1256.1	Posttranslational modification, protein turnover, chaperones
isogroup9745	Replication, recombination and repair
isogroup37267	Translation, ribosomal structure and biogenesis
isogroup23042	Posttranslational modification, protein turnover, chaperones
isogroup12014	Transcription
isogroup6279	Inorganic ion transport and metabolism
isogroup14545	Transcription
isogroup15765	Intracellular trafficking, secretion, and vesicular transport
isogroup15765	Posttranslational modification, protein turnover, chaperones
isogroup197	Signal transduction mechanisms
isogroup11873	Cytoskeleton
isogroup11234	Posttranslational modification, protein turnover, chaperones
isogroup23688	Signal transduction mechanisms
isogroup23688	Inorganic ion transport and metabolism
isogroup7624	Signal transduction mechanisms
isogroup21559	Cell wall/membrane/envelope biogenesis
isogroup21559	Posttranslational modification, protein turnover, chaperones
isogroup21559	Lipid transport and metabolism
isogroup22357	Amino acid transport and metabolism
isogroup4697	RNA processing and modification 
isogroup3853	Cytoskeleton
isogroup25723	Posttranslational modification, protein turnover, chaperones
isogroup11062	Intracellular trafficking, secretion, and vesicular transport
isogroup6004	Posttranslational modification, protein turnover, chaperones
isogroup45550	Translation, ribosomal structure and biogenesis
isogroup45550	RNA processing and modification 
isogroup24231	Signal transduction mechanisms
isogroup16858	Translation, ribosomal structure and biogenesis
isogroup3388	Signal transduction mechanisms
isogroup975	Signal transduction mechanisms
isogroup9901	Intracellular trafficking, secretion, and vesicular transport
isogroup32971	Cytoskeleton
isogroup21854	Lipid transport and metabolism
isogroup6863	Signal transduction mechanisms
isogroup20281	Translation, ribosomal structure and biogenesis
isogroup2110	Signal transduction mechanisms
isogroup2620.1	Transcription
isogroup20064	Signal transduction mechanisms
isogroup28962	Posttranslational modification, protein turnover, chaperones
isogroup24093	Translation, ribosomal structure and biogenesis
isogroup10340	Replication, recombination and repair
isogroup3520	Lipid transport and metabolism
isogroup23681	Signal transduction mechanisms
isogroup38501	Carbohydrate transport and metabolism
isogroup24112	Cytoskeleton
isogroup27204	Cytoskeleton
isogroup42293	Transcription
isogroup25702	RNA processing and modification 
isogroup8877	Cytoskeleton
isogroup26410	Translation, ribosomal structure and biogenesis
isogroup6661	Amino acid transport and metabolism
isogroup21173	Energy production and conversion
isogroup659	Signal transduction mechanisms
isogroup3325	Cell wall/membrane/envelope biogenesis
isogroup1818	Amino acid transport and metabolism
isogroup16934	Signal transduction mechanisms
isogroup16934	Intracellular trafficking, secretion, and vesicular transport
isogroup2007	Signal transduction mechanisms
isogroup9770	Signal transduction mechanisms
isogroup1841	Posttranslational modification, protein turnover, chaperones
isogroup16348	Signal transduction mechanisms
isogroup16348	Intracellular trafficking, secretion, and vesicular transport
isogroup2824	Transcription
isogroup23793	Energy production and conversion
