Amillepora_PRO.fas	Adigitifera_PRO.fas	Aelegantissima_PRO.fas	Ahyacinthus_PRO.fas	Apallida_PRO.fas	Apalmata_PRO.fas	Atenuis_PRO.fas	Fscutaria_PRO.fas	Mauretenra_PRO.fas	Mcavernosa_PRO.fas	Mfaveolata_PRO.fas	Nvectensis_PRO.fas	Pastreoides_PRO.fas	Pcarnosus_PRO.fas	Pdaedalea_PRO.fas	Pdamicornis_PRO.fas	Pstrigosa_PRO.fas	Shystrix_PRO.fas	Spistillata_PRO.fas	Ssiderea_PRO.fas
c024889	adi_EST_assem_1945	comp108578_c0_seq1	NA	Locus_65231_Transcript_1/1_Confidence_0.000_Length_4287	Contig_235	isotig10154	comp15844_c0_seq1	comp5984_c0_seq1	comp61629_c0_seq1	NA	jgi|Nemve1|175923|estExt_gwp.C_4980034	NA	Unigene67767_Mix_Normal_N	c12549_g1_i1	bu_91849.1_c19233	comp12211_c0_seq1	comp8973_c0_seq1	Spi_isotig08080	comp242799_c2_seq8
c024880	adi_EST_assem_20262	NA	NA	NA	NA	NA	comp61525_c0_seq1	comp15790_c0_seq1	comp119145_c0_seq1	NA	NA	NA	NA	c13815_g1_i1	NA	comp20229_c0_seq1	NA	Spi_isotig05770	NA
c024884	adi_EST_assem_18656	NA	NA	NA	Contig_27074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c014959	adi_EST_assem_1999	comp833_c21_seq65	NA	NA	Contig_17345	isotig10933	comp10749_c0_seq1	comp74172_c0_seq2	comp19248_c0_seq3	NA	jgi|Nemve1|141896|e_gw.616.1.1	isotig04537	Unigene81170_Mix_Normal_N	c39861_g1_i1	bu_91849.1_c18413	comp10776_c0_seq2	comp51065_c0_seq2	Spi_isotig06461	comp252149_c1_seq1
c000100p	adi_EST_assem_1449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp251773_c0_seq4
c006527	adi_EST_assem_3991	NA	NA	NA	Contig_1754	isotig09154	comp280_c19_seq1	comp45215_c0_seq1	comp8838_c0_seq1	NA	NA	isotig03201	Unigene47493_Mix_Normal_N	NA	NA	comp4459_c0_seq1	NA	Spi_isotig02393	comp228919_c0_seq1
c009002	adi_EST_assem_11665	NA	isotig00363	NA	Contig_38522	isotig20283	NA	comp65344_c0_seq2	comp21393_c0_seq4	NA	NA	NA	NA	NA	NA	NA	comp19658_c0_seq1	NA	comp238141_c0_seq2
c009006	NA	NA	NA	NA	Contig_19828	isotig00970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c000856m	adi_EST_assem_13869	NA	NA	NA	NA	NA	NA	comp85549_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c020376	adi_EST_assem_19743	NA	NA	NA	Contig_14914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c020998	NA	NA	NA	NA	Contig_16278	NA	NA	comp209488_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c003293p	adi_EST_assem_32642	NA	NA	NA	Contig_19784	isotig14333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c002909p	adi_EST_assem_9451	NA	NA	NA	Contig_19656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c013243m	NA	comp448_c0_seq4	NA	Locus_97974_Transcript_1/1_Confidence_0.000_Length_2216	Contig_14316	NA	NA	comp132_c1_seq1	NA	NA	jgi|Nemve1|244590|estExt_fgenesh1_pg.C_1270032	NA	Unigene47819_Mix_Normal_N	c14592_g1_i1	NA	comp382_c0_seq1	comp180_c0_seq2	Spi_isotig00497	NA
c010913	NA	NA	NA	NA	Contig_36666	NA	comp87487_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp208355_c0_seq1
c010917	NA	NA	NA	NA	NA	NA	NA	NA	comp11659_c0_seq1	NA	NA	NA	NA	c10737_g1_i2	NA	NA	NA	NA	comp255782_c0_seq1
c022049	adi_EST_assem_20460	NA	NA	NA	Contig_35870	NA	NA	NA	comp184846_c0_seq1	NA	NA	NA	Unigene104112_Mix_Normal_N	NA	NA	comp19266_c0_seq2	comp152279_c0_seq1	Spi_isotig02388	comp231667_c0_seq1
c022041	NA	NA	NA	NA	Contig_29631	NA	NA	NA	comp125936_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c010004	NA	NA	NA	NA	NA	NA	NA	comp41840_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp252792_c0_seq2
c010006	adi_EST_assem_18152	NA	NA	NA	Contig_38075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c010009	adi_EST_assem_2221	NA	isotig04321	NA	Contig_11612	isotig09407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c015677	NA	NA	NA	NA	Contig_40291	NA	NA	NA	NA	NA	jgi|Nemve1|88457|e_gw.18.96.1	NA	NA	c4226_g1_i1	NA	NA	NA	NA	comp225700_c0_seq6
c015673	adi_EST_assem_11179	comp47256_c0_seq1	NA	Locus_113371_Transcript_1/1_Confidence_0.000_Length_5078	Contig_4850	NA	comp7663_c0_seq1	NA	comp21112_c0_seq1	NA	jgi|Nemve1|190793|estExt_GenewiseH_1.C_1810106	isotig04115	NA	NA	NA	comp19787_c0_seq3	comp5206_c0_seq1	NA	comp241184_c0_seq2
c015989	adi_EST_assem_14440	NA	isotig11460	NA	Contig_13881	isotig10337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp239897_c0_seq1
c039825	NA	NA	isotig23319	NA	NA	G3MV2BB01BZ2UZ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c020039	adi_EST_assem_26726	NA	NA	NA	Contig_10661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c007322	adi_EST_assem_2085	NA	NA	NA	Contig_17402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c007324	adi_EST_assem_17286	NA	NA	NA	Contig_30007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c008514	adi_EST_assem_5253	NA	NA	NA	Contig_36397	NA	NA	comp47590_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp258254_c1_seq11
c007328	adi_EST_assem_2488	NA	NA	NA	Contig_18735	NA	comp9861_c1_seq1	comp33496_c0_seq1	comp16566_c0_seq6	NA	NA	NA	NA	NA	NA	NA	comp10167_c0_seq1	NA	comp256141_c0_seq1
c008518	adi_EST_assem_15225	NA	NA	NA	NA	NA	comp26924_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp263313_c0_seq1
c007093	adi_EST_assem_7358	NA	NA	NA	Contig_39818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c018491	NA	NA	NA	NA	NA	isotig03009	NA	comp36_c0_seq39	NA	NA	NA	NA	NA	NA	bu_91849.1_c28373	NA	NA	NA	comp165800_c0_seq1
c018499	adi_EST_assem_10957	NA	NA	NA	Contig_15692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c033872	NA	NA	isotig10647	NA	NA	isotig13795	NA	comp239296_c0_seq1	NA	NA	NA	NA	NA	c32230_g1_i1	NA	NA	NA	NA	comp257670_c0_seq2
c000693p	adi_EST_assem_1891	NA	NA	NA	Contig_29606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c004960	adi_EST_assem_2461	NA	NA	NA	Contig_2800	NA	comp10176_c0_seq8	comp121588_c0_seq1	comp27071_c0_seq1	NA	NA	NA	NA	c26320_g1_i1	NA	NA	NA	NA	comp201698_c0_seq1
c004968	adi_EST_assem_8627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp255243_c0_seq2
c015414	adi_EST_assem_5195	NA	NA	NA	Contig_35861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c035449	NA	NA	NA	Locus_102021_Transcript_1/1_Confidence_0.000_Length_692	NA	NA	NA	comp691368_c0_seq1	NA	NA	NA	NA	Unigene105306_Mix_Normal_N	c13827_g1_i1	NA	NA	NA	NA	NA
c015727	adi_EST_assem_3242	NA	NA	NA	Contig_9138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp246239_c0_seq8
c021598	adi_EST_assem_6764	NA	isotig06064	NA	Contig_4489	isotig11284	NA	NA	NA	NA	NA	isotig13342	Unigene17045_Mix_Normal_N	c10258_g1_i1	NA	NA	NA	NA	comp223722_c0_seq1
c029659	NA	NA	NA	NA	NA	NA	NA	comp20234_c0_seq8	comp1872_c0_seq11	NA	NA	NA	NA	NA	NA	comp75916_c0_seq1	NA	NA	NA
c040333	NA	NA	NA	NA	Contig_20054	NA	NA	NA	NA	CCHW12822.g1	NA	NA	NA	NA	NA	NA	NA	NA	NA
c004797	adi_EST_assem_3867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp260916_c1_seq9
c015035	adi_EST_assem_8553	NA	NA	NA	Contig_10110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c033465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene132561_Mix_Normal_N	NA	NA	NA	comp32085_c0_seq1	NA	NA
c006555	adi_EST_assem_3114	NA	NA	NA	Contig_41820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c026388	adi_EST_assem_11479	NA	NA	NA	NA	NA	NA	comp15253_c0_seq1	comp9048_c0_seq1	CCHW10215.g1	NA	isotig04513	NA	NA	bu_91849.1_lrc29134	comp185767_c0_seq1	comp9262_c0_seq1	Spi_isotig06696	comp242691_c0_seq1
c026380	adi_EST_assem_3501	NA	NA	NA	Contig_29705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c003537	adi_EST_assem_10578	NA	NA	NA	Contig_38141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp233820_c0_seq2
c015173	NA	NA	isotig00138	NA	Contig_19922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c037014	NA	NA	NA	Locus_45056_Transcript_1/1_Confidence_0.000_Length_879	NA	NA	NA	comp23549_c0_seq6	NA	CCHW13161.g1	NA	NA	NA	NA	NA	NA	comp354_c0_seq9	NA	NA
c003943p	adi_EST_assem_4728	NA	NA	NA	Contig_36742	isotig09546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp106216_c0_seq1
c031977	adi_EST_assem_21364	NA	NA	NA	NA	isotig13997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c009217	adi_EST_assem_20786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c17765_g1_i3	NA	NA	NA	NA	comp262504_c0_seq3
c021491	adi_EST_assem_11465	NA	NA	NA	Contig_37282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c014836	adi_EST_assem_8933	NA	NA	NA	Contig_2040	isotig10213	NA	comp11501_c0_seq1	NA	NA	NA	NA	Unigene125386_Mix_Normal_N	NA	bu_91849.1_c18581	comp5373_c0_seq1	comp5539_c1_seq1	Spi_isotig06254	comp239657_c0_seq1
c025056	adi_EST_assem_9406	NA	NA	NA	Contig_8893	NA	NA	NA	NA	NA	jgi|Nemve1|187067|estExt_GenewiseH_1.C_930162	NA	Unigene81753_Mix_Normal_N	NA	NA	comp1818_c0_seq1	comp28882_c0_seq1	Spi_isotig07808	NA
c005048	adi_EST_assem_8969	NA	NA	NA	Contig_15917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c001927m	adi_EST_assem_14969	NA	NA	NA	NA	NA	NA	NA	comp4172_c0_seq14	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp255916_c0_seq1
c041468	NA	NA	NA	NA	NA	NA	NA	comp692_c0_seq2	NA	NA	NA	NA	CL4624.Contig1_Mix_Normal_N	NA	NA	NA	NA	NA	comp247396_c0_seq12
c011256	adi_EST_assem_20313	NA	NA	NA	NA	NA	NA	NA	comp184494_c0_seq1	NA	NA	NA	NA	NA	NA	comp131870_c0_seq1	NA	NA	NA
c037914	adi_EST_assem_26169	NA	NA	NA	Contig_6556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c001221	adi_EST_assem_20	NA	NA	NA	Contig_11508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c015822	adi_EST_assem_10827	NA	NA	NA	Contig_35146	isotig17462	comp5632_c1_seq1	comp6228_c0_seq1	comp17621_c0_seq1	CCHW3089.b1	NA	NA	Unigene153818_Mix_Normal_N	c11868_g1_i2	NA	comp6490_c0_seq1	NA	Spi_isotig14465	comp252962_c0_seq2
c012418	adi_EST_assem_21102	NA	NA	NA	Contig_41989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c006799	adi_EST_assem_23445	NA	isotig10016	NA	NA	isotig00153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c006793	adi_EST_assem_2158	NA	isotig04329	NA	NA	NA	comp3660_c0_seq5	comp3267_c0_seq1	comp1078_c4_seq67	NA	NA	NA	NA	NA	bu_91849.1_c4751	comp4166_c0_seq2	NA	Spi_isotig05301	comp260710_c0_seq12
c006797	adi_EST_assem_17995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bu_91849.1_c20486	NA	NA	NA	comp251042_c0_seq1
c029263	NA	NA	NA	NA	Contig_20255	isotig18877	comp112678_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	comp90062_c0_seq1	NA	NA	NA
c012225m	adi_EST_assem_5930	NA	isotig04793	Locus_127360_Transcript_2/6_Confidence_1.000_Length_1111	Contig_18266	isotig13657	NA	comp2736_c0_seq1	comp2578_c0_seq1	CCHW14660.b1	NA	isotig06909	Unigene68426_Mix_Normal_N	c11130_g1_i1	NA	comp2832_c0_seq2	comp4025_c0_seq2	NA	comp236669_c0_seq1
c007115	adi_EST_assem_13366	NA	NA	NA	Contig_41504	NA	comp15405_c0_seq1	NA	comp44688_c0_seq5	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp261818_c0_seq2
c013890	NA	NA	NA	NA	Contig_25012	isotig29078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c019999	adi_EST_assem_13936	NA	NA	NA	Contig_19319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp260301_c0_seq8
c002892	NA	NA	NA	NA	NA	NA	NA	NA	comp75297_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp245748_c0_seq1
c002898	adi_EST_assem_9817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp259621_c0_seq2
c008329	adi_EST_assem_15981	NA	NA	NA	F66KHFO01AEMUI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c008327	adi_EST_assem_16550	NA	NA	NA	Contig_349	isotig04162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp256906_c0_seq2
c008323	NA	NA	NA	NA	NA	NA	comp20495_c0_seq7	NA	comp5454_c1_seq3	CCHW9173.g1	NA	NA	Unigene125333_Mix_Normal_N	NA	bu_91849.1_c4503	NA	comp5832_c0_seq7	NA	NA
c048697	NA	NA	NA	NA	NA	NA	NA	NA	comp63497_c0_seq3	NA	NA	NA	Unigene107141_Mix_Normal_N	NA	NA	NA	NA	NA	NA
c010678p	NA	NA	isotig08637	NA	F66KHFO01ETIG2	isotig15328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c018512	adi_EST_assem_12316	NA	NA	NA	Contig_11464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c018510	adi_EST_assem_15305	NA	NA	NA	Contig_17447	isotig12252	comp18402_c0_seq2	NA	comp22556_c0_seq1	NA	NA	NA	NA	NA	bu_91849.1_c1198	NA	comp4298_c1_seq2	Spi_isotig08721	comp263586_c0_seq4
c003646p	NA	NA	NA	NA	Contig_10783	NA	comp20861_c0_seq1	comp18798_c0_seq1	comp39556_c0_seq3	NA	NA	NA	Unigene110484_Mix_Normal_N	NA	NA	comp25490_c0_seq5	comp4602_c0_seq1	NA	comp240790_c0_seq1
c032975	NA	NA	NA	NA	NA	NA	NA	NA	comp105301_c0_seq1	NA	NA	NA	Unigene119705_Mix_Normal_N	c13231_g1_i1	NA	comp91965_c0_seq1	NA	NA	NA
c032978	adi_EST_assem_23380	NA	NA	NA	Contig_13456	NA	NA	NA	NA	NA	NA	isotig03747	NA	NA	NA	NA	NA	NA	comp239052_c2_seq6
c000760p	adi_EST_assem_9985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene46749_Mix_Normal_N	NA	NA	NA	NA	NA	NA
c030538	adi_EST_assem_20601	NA	NA	NA	Contig_30923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c000192	adi_EST_assem_3602	NA	NA	NA	NA	NA	NA	NA	comp42113_c0_seq9	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp251608_c0_seq2
c029105	NA	NA	NA	NA	Contig_11849	isotig16635	NA	comp75333_c0_seq1	NA	CCHW10269.b1	NA	NA	NA	c11885_g1_i2	NA	comp115135_c0_seq2	NA	NA	NA
c020789	adi_EST_assem_6599	NA	NA	NA	NA	NA	comp15738_c0_seq1	NA	NA	CCHW16583.b1	NA	NA	Unigene19223_Mix_Normal_N	c11743_g1_i1	NA	comp24023_c0_seq2	NA	NA	comp240831_c0_seq1
c025283	NA	NA	NA	NA	Contig_3404	NA	comp123484_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	comp116394_c0_seq1	NA	NA	comp256908_c0_seq3
c025281	NA	NA	NA	NA	NA	NA	comp115655_c0_seq1	comp236735_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp249168_c0_seq1
c025285	adi_EST_assem_16190	NA	NA	NA	Contig_28674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
