Amillepora_PRO.fas	Adigitifera_PRO.fas	Aelegantissima_PRO.fas	Ahyacinthus_PRO.fas	Apallida_PRO.fas	Apalmata_PRO.fas	Atenuis_PRO.fas	Fscutaria_PRO.fas	Mauretenra_PRO.fas	Mcavernosa_PRO.fas	Mfaveolata_PRO.fas	Nvectensis_PRO.fas	Pastreoides_PRO.fas	Pcarnosus_PRO.fas	Pdaedalea_PRO.fas	Pdamicornis_PRO.fas	Pstrigosa_PRO.fas	Shystrix_PRO.fas	Spistillata_PRO.fas	Ssiderea_PRO.fas
c009342	adi_EST_assem_2908	comp1663_c0_seq2	NA	Locus_104234_Transcript_1/1_Confidence_0.000_Length_4360	Contig_8861	isotig12321	NA	comp1552_c0_seq1	comp198_c1_seq1	NA	NA	isotig00821	Unigene18318_Mix_Normal_N	c14800_g1_i1	bu_91849.1_lrc17326	comp1495_c0_seq1	comp592_c0_seq1	Spi_isotig05006	comp255524_c1_seq1
c014145	NA	comp35655_c0_seq1	isotig04478	Locus_32905_Transcript_1/1_Confidence_0.000_Length_1873	Contig_24079	isotig10161	comp4024_c0_seq1	comp248_c91_seq207	comp1585_c0_seq1	NA	jgi|Nemve1|132321|e_gw.308.49.1	isotig03838	Unigene19796_Mix_Normal_N	NA	bu_91849.1_c1271	comp10900_c0_seq1	NA	Spi_isotig05824	comp258434_c1_seq1
c001056m	adi_EST_assem_25	NA	isotig04924	Locus_77014_Transcript_1/1_Confidence_0.000_Length_6508	Contig_4388	isotig05591	NA	comp1264_c0_seq1	NA	NA	jgi|Nemve1|186036|estExt_GenewiseH_1.C_790013	isotig04655	Unigene45463_Mix_Normal_N	c12115_g1_i1	bu_91849.1_lrc18121	comp1506_c0_seq1	comp1112_c0_seq1	Spi_isotig06602	comp241485_c0_seq1
c017157	adi_EST_assem_12311	comp27574_c0_seq1	NA	Locus_32164_Transcript_2/2_Confidence_1.000_Length_1450	Contig_21193	NA	comp3207_c0_seq1	comp3210_c0_seq1	comp116692_c0_seq1	NA	jgi|Nemve1|235129|estExt_fgenesh1_pm.C_960004	isotig08803	Unigene126598_Mix_Normal_N	c14627_g1_i1	bu_91849.1_c18538	comp38054_c0_seq1	NA	Spi_isotig08635	comp261149_c1_seq3
c036900	adi_EST_assem_2055	comp84075_c0_seq1	isotig09040	NA	Contig_13357	isotig19219	comp434_c0_seq1	comp466_c0_seq1	comp169320_c0_seq1	CCHW8005.b1	jgi|Nemve1|193684|estExt_GenewiseH_1.C_3080005	isotig12044	Unigene45789_Mix_Normal_N	c9679_g1_i1	bu_91849.1_c10055	comp1175_c0_seq1	comp470_c1_seq1	Spi_isotig12098	comp243987_c0_seq20
c036574	adi_EST_assem_6176	NA	isotig05559	NA	Contig_1616	isotig13073	comp1828_c1_seq1	comp1363_c0_seq1	comp8553_c0_seq1	CCHW7051.b1	NA	isotig08923	Unigene135843_Mix_Normal_N	c14709_g1_i1	bu_91849.1_c4308	comp4332_c0_seq1	NA	Spi_isotig07909	comp226575_c0_seq1
c030963	adi_EST_assem_7793	NA	NA	NA	Contig_5157	isotig15262	comp455_c0_seq1	comp3017_c0_seq1	comp1572_c1_seq1	CCHW7071.b1	jgi|Nemve1|211830|fgenesh1_pg.scaffold_144000047	isotig06941	Unigene137172_Mix_Normal_N	c15843_g1_i1	bu_91849.1_c7438	comp1168_c0_seq1	comp1775_c0_seq2	Spi_isotig10238	comp223892_c0_seq1
c014643	adi_EST_assem_3405	comp27039_c0_seq1	isotig05190	Locus_85342_Transcript_1/1_Confidence_0.000_Length_979	Contig_7500	isotig11918	comp6378_c1_seq3	comp2752_c0_seq1	comp15114_c0_seq5	CCHW1820.b1	jgi|Nemve1|245247|estExt_fgenesh1_pg.C_1510040	isotig08956	NA	c17454_g1_i1	NA	comp13611_c0_seq1	comp5162_c0_seq1	Spi_isotig06807	comp243622_c0_seq4
c014521	adi_EST_assem_4828	comp5529_c0_seq1	isotig05963	Locus_72547_Transcript_1/1_Confidence_0.000_Length_828	Contig_5788	isotig12122	comp1155_c0_seq1	comp4039_c0_seq1	comp5717_c1_seq1	CCHW16055.b1	jgi|Nemve1|164893|estExt_gwp.C_540142	isotig06534	Unigene16242_Mix_Normal_N	c14669_g1_i1	NA	comp2087_c0_seq1	comp3183_c1_seq3	Spi_isotig03382	NA
c023475	adi_EST_assem_3099	NA	NA	NA	Contig_6734	isotig23294	comp6046_c0_seq1	comp1415_c0_seq1	comp3664_c0_seq1	CCHW4107.b1	NA	isotig02994	Unigene35140_Mix_Normal_N	c17323_g1_i2	bu_91849.1_lrc22268	comp1825_c0_seq1	comp2433_c0_seq1	Spi_isotig08696	comp242636_c1_seq5
c031257	adi_EST_assem_6353	comp63405_c0_seq1	NA	NA	Contig_3999	isotig15848	comp17038_c0_seq1	comp8964_c1_seq1	comp24720_c0_seq1	NA	jgi|Nemve1|236523|estExt_fgenesh1_kg.C_200007	NA	Unigene78702_Mix_Normal_N	c16510_g1_i1	bu_91849.1_c30734	comp5401_c0_seq1	comp18412_c0_seq1	Spi_isotig09343	comp238650_c0_seq2
c038478	adi_EST_assem_740	comp176_c0_seq2	NA	NA	Contig_911	isotig18926	comp43_c0_seq1	comp366_c0_seq1	NA	CCHW1739.g1	jgi|Nemve1|188032|estExt_GenewiseH_1.C_1140011	isotig10436	Unigene46070_Mix_Normal_N	c10064_g1_i1	bu_91849.1_c2352	comp755_c0_seq1	comp230_c0_seq1	Spi_isotig11773	comp205877_c0_seq1
c017857	adi_EST_assem_7230	comp8641_c0_seq1	isotig04978	NA	F66KHFO02IZ2MP	NA	comp3864_c0_seq2	comp10422_c0_seq1	comp11341_c1_seq1	NA	jgi|Nemve1|179997|estExt_GenewiseH_1.C_150245	isotig10537	Unigene24642_Mix_Normal_N	c3776_g1_i1	bu_91849.1_c20226	comp6527_c0_seq1	comp8245_c0_seq3	Spi_isotig10341	comp214289_c0_seq1
c013523	adi_EST_assem_921	comp3725_c0_seq1	NA	Locus_102377_Transcript_1/1_Confidence_0.000_Length_561	NA	isotig12698	comp1264_c0_seq3	comp302_c0_seq2	comp1396_c1_seq2	CCHW4250.b1	jgi|Nemve1|236679|estExt_fgenesh1_kg.C_370011	isotig09382	Unigene46803_Mix_Normal_N	c10335_g1_i2	NA	comp1243_c0_seq4	comp636_c0_seq1	Spi_isotig11092	comp264809_c0_seq1
c032987	NA	NA	isotig07824	Locus_12680_Transcript_1/1_Confidence_0.000_Length_755	Contig_10034	isotig12904	comp2006_c0_seq1	comp2895_c0_seq1	comp5830_c0_seq2	CCHW4325.b1	jgi|Nemve1|208897|fgenesh1_pg.scaffold_98000061	isotig12605	Unigene67307_Mix_Normal_N	c11562_g1_i1	bu_91849.1_c63838	comp1619_c0_seq1	NA	Spi_isotig08762	comp243491_c0_seq1
c017451	adi_EST_assem_2705	comp7078_c0_seq2	isotig04941	Locus_23255_Transcript_1/1_Confidence_0.000_Length_960	Contig_16910	isotig04680	comp1030_c0_seq1	comp2929_c0_seq1	comp3486_c0_seq1	NA	jgi|Nemve1|242223|estExt_fgenesh1_pg.C_590028	isotig04707	Unigene115544_Mix_Normal_N	c3056_g1_i1	bu_91849.1_c6874	comp3916_c0_seq1	comp1772_c0_seq1	Spi_isotig07199	comp236132_c1_seq1
c005507m	adi_EST_assem_10163	NA	isotig06686	NA	Contig_35650	isotig27219	comp9765_c0_seq1	comp19147_c0_seq1	comp308021_c0_seq1	CCHW3579.b1	NA	isotig15150	Unigene101866_Mix_Normal_N	c33482_g1_i1	bu_91849.1_c36594	comp9680_c0_seq1	comp27340_c0_seq1	Spi_isotig09872	NA
c011372	adi_EST_assem_7318	comp52268_c0_seq1	isotig06051	Locus_26178_Transcript_3/4_Confidence_1.000_Length_2683	Contig_42101	isotig12889	comp121803_c0_seq2	comp8554_c0_seq1	NA	NA	jgi|Nemve1|117995|e_gw.150.6.1	isotig05619	Unigene79286_Mix_Normal_N	c16534_g1_i1	NA	comp51328_c0_seq1	comp21371_c0_seq1	Spi_isotig03021	comp250451_c0_seq7
c032859	adi_EST_assem_9994	comp5596_c0_seq1	isotig07310	Locus_16515_Transcript_1/1_Confidence_0.000_Length_2354	Contig_7443	isotig16136	NA	comp983_c0_seq1	comp2326_c0_seq1	CCHW6766.g1	jgi|Nemve1|236559|estExt_fgenesh1_kg.C_250007	isotig09106	Unigene17367_Mix_Normal_N	c14191_g1_i1	bu_91849.1_c258	comp2534_c0_seq1	comp2879_c0_seq1	Spi_isotig09148	comp241531_c0_seq1
c020293	adi_EST_assem_4255	comp1929_c0_seq1	isotig04776	Locus_98191_Transcript_1/1_Confidence_0.000_Length_2671	Contig_19150	isotig11522	comp1069_c0_seq1	comp2869_c0_seq1	NA	NA	jgi|Nemve1|248519|estExt_fgenesh1_pg.C_6090008	isotig04613	Unigene45934_Mix_Normal_N	c15568_g1_i1	bu_91849.1_c1897	comp1622_c0_seq1	comp1392_c0_seq1	Spi_isotig07316	comp243743_c0_seq1
c005799	adi_EST_assem_13726	NA	isotig04939	Locus_124344_Transcript_1/1_Confidence_0.000_Length_2694	Contig_17898	isotig11594	comp16310_c0_seq2	comp26008_c0_seq2	comp9781_c0_seq2	NA	jgi|Nemve1|106794|e_gw.83.66.1	isotig00393	Unigene33493_Mix_Normal_N	NA	bu_91849.1_c8	comp21798_c0_seq1	NA	Spi_isotig05101	comp257528_c0_seq4
c015558	adi_EST_assem_8798	NA	isotig05742	Locus_55256_Transcript_1/1_Confidence_0.000_Length_2674	Contig_38379	isotig13414	comp667_c0_seq2	comp3010_c0_seq1	comp9090_c0_seq2	CCHW11994.b1	NA	NA	Unigene16913_Mix_Normal_N	c14635_g1_i1	bu_91849.1_lrc57125	comp1305_c0_seq4	comp3236_c0_seq1	Spi_isotig05039	comp241178_c0_seq1
c026087	adi_EST_assem_3095	comp24952_c0_seq1	NA	NA	Contig_1424	NA	comp6247_c0_seq2	comp2143_c0_seq1	comp13036_c0_seq1	CCHW1617.b1	jgi|Nemve1|191780|estExt_GenewiseH_1.C_2170106	NA	Unigene135412_Mix_Normal_N	c13632_g1_i1	bu_91849.1_c23464	comp3569_c0_seq1	comp18221_c0_seq2	Spi_isotig09947	comp240921_c1_seq3
c028195	adi_EST_assem_6081	comp833_c26_seq1	isotig05982	Locus_3436_Transcript_1/4_Confidence_1.000_Length_942	Contig_38087	isotig13591	comp2708_c0_seq2	comp2604_c0_seq1	comp3647_c0_seq1	CCHW6936.b1	jgi|Nemve1|243113|estExt_fgenesh1_pg.C_790079	NA	Unigene124909_Mix_Normal_N	c15516_g1_i1	bu_91849.1_c1978	comp4508_c0_seq1	comp2061_c0_seq1	Spi_isotig06395	comp240861_c0_seq1
c013532	adi_EST_assem_3566	NA	isotig07184	NA	Contig_12635	isotig10165	comp5978_c1_seq1	comp2770_c0_seq1	comp3520_c0_seq1	CCHW13565.b1	NA	NA	Unigene148893_Mix_Normal_N	c7902_g1_i2	bu_91849.1_c4849	comp869_c9_seq42	comp5474_c1_seq1	Spi_isotig05990	comp240299_c0_seq1
c013795p	adi_EST_assem_9482	comp6155_c1_seq1	isotig02053	Locus_16948_Transcript_1/1_Confidence_0.000_Length_772	Contig_590	isotig14816	comp2465_c0_seq1	comp911_c0_seq1	comp6473_c0_seq1	NA	jgi|Nemve1|238540|estExt_fgenesh1_pg.C_60132	NA	Unigene69361_Mix_Normal_N	c6269_g1_i1	NA	comp2207_c0_seq1	comp10576_c0_seq1	Spi_isotig10070	NA
c021495	adi_EST_assem_13481	comp20135_c0_seq1	isotig04914	Locus_35030_Transcript_3/3_Confidence_1.000_Length_1597	Contig_1014	isotig11403	NA	comp9455_c0_seq1	comp5811_c0_seq93	CCHW1556.b1	jgi|Nemve1|182353|estExt_GenewiseH_1.C_370050	isotig12627	Unigene19036_Mix_Normal_N	c14556_g1_i3	NA	comp9953_c0_seq1	comp10534_c0_seq1	Spi_isotig05641	comp262698_c1_seq1
c013816m	NA	comp33715_c0_seq1	isotig04889	Locus_38801_Transcript_1/1_Confidence_0.000_Length_1636	Contig_35011	isotig11239	comp3975_c0_seq2	comp8727_c0_seq3	comp13082_c0_seq1	CCHW7648.b1	jgi|Nemve1|236562|estExt_fgenesh1_kg.C_250010	NA	NA	c8973_g1_i1	NA	comp6122_c0_seq1	comp4107_c4_seq8	Spi_isotig06886	comp241167_c0_seq1
c011196	adi_EST_assem_6064	NA	isotig10463	Locus_47305_Transcript_1/1_Confidence_0.000_Length_1107	Contig_4868	isotig26171	comp18326_c0_seq2	comp3351_c0_seq1	comp28024_c0_seq2	NA	jgi|Nemve1|163210|estExt_gwp.C_380071	isotig05113	CL320.Contig1_Mix_Normal_N	c16320_g1_i2	bu_91849.1_c6059	comp18079_c0_seq1	comp20095_c0_seq1	Spi_isotig02091	comp239214_c0_seq1
c007832m	adi_EST_assem_14741	NA	isotig01895	Locus_34910_Transcript_4/4_Confidence_1.000_Length_1028	Contig_1806	NA	comp5527_c0_seq1	comp3693_c0_seq1	comp10219_c0_seq1	CCHW7729.b1	NA	NA	Unigene152837_Mix_Normal_N	c13915_g1_i1	bu_91849.1_c569	comp51427_c0_seq4	comp2351_c0_seq1	Spi_isotig06923	comp256312_c0_seq1
c016943	adi_EST_assem_11650	comp6262_c0_seq1	isotig05700	NA	Contig_15814	isotig12643	comp3146_c0_seq2	comp794_c0_seq1	comp3269_c0_seq1	CCHW15011.b1	jgi|Nemve1|237113|estExt_fgenesh1_kg.C_1180004	NA	Unigene16707_Mix_Normal_N	c14445_g1_i1	NA	comp1917_c0_seq1	comp1295_c0_seq1	Spi_isotig01183	NA
c032174	adi_EST_assem_1947	NA	isotig07117	NA	Contig_2914	isotig18222	comp2700_c0_seq1	comp2656_c3_seq2	NA	CCHW8323.b1	NA	isotig06402	Unigene135647_Mix_Normal_N	c10278_g1_i1	bu_91849.1_c19098	comp818_c0_seq2	comp3711_c0_seq1	Spi_isotig08481	comp222587_c0_seq2
c024323	adi_EST_assem_8017	comp96_c0_seq1	isotig17817	NA	Contig_14588	isotig02647	comp41_c1_seq1	comp9419_c0_seq1	comp64_c0_seq1	JGI_AOSC937.rev	jgi|Nemve1|171532|estExt_gwp.C_1790038	isotig13210	Unigene46241_Mix_Normal_N	c7649_g1_i2	bu_91849.1_c23079	comp587_c0_seq1	comp32_c1_seq1	Spi_isotig13393	comp263836_c0_seq1
c035066	adi_EST_assem_9990	comp8218_c0_seq1	isotig08957	Locus_33715_Transcript_1/1_Confidence_0.000_Length_1404	Contig_6594	isotig19666	comp1751_c0_seq2	comp2057_c0_seq1	comp7590_c0_seq2	CCHW4272.b1	jgi|Nemve1|178050|estExt_GenewiseH_1.C_50291	isotig09700	Unigene34513_Mix_Normal_N	c16930_g1_i2	NA	comp1996_c0_seq1	NA	Spi_isotig10705	comp232738_c0_seq1
c019264	adi_EST_assem_8280	comp151641_c0_seq1	NA	NA	Contig_3784	isotig17510	comp12346_c1_seq4	comp9242_c0_seq1	comp13732_c0_seq4	NA	jgi|Nemve1|113459|e_gw.118.137.1	isotig21197	Unigene117559_Mix_Normal_N	c14380_g1_i3	NA	comp1944_c0_seq1	comp47048_c0_seq1	Spi_isotig11126	comp242389_c0_seq1
c019966	NA	comp1416_c0_seq1	isotig05182	Locus_63933_Transcript_1/1_Confidence_0.000_Length_3141	Contig_18870	isotig15260	NA	comp2298_c0_seq1	comp3896_c0_seq1	CCHW8785.b1	jgi|Nemve1|181063|estExt_GenewiseH_1.C_250015	isotig00337	Unigene45077_Mix_Normal_N	c6473_g1_i1	NA	comp1645_c0_seq1	comp1406_c0_seq3	Spi_isotig07295	comp246608_c0_seq1
c025073	adi_EST_assem_7773	comp3153_c1_seq9	isotig05258	Locus_122611_Transcript_1/1_Confidence_0.000_Length_4434	Contig_37103	isotig12452	comp4057_c0_seq1	comp6069_c0_seq1	NA	CCHW11093.g1	jgi|Nemve1|236749|estExt_fgenesh1_kg.C_470008	NA	Unigene24951_Mix_Normal_N	c9453_g1_i1	NA	NA	comp22632_c0_seq1	Spi_isotig08357	comp256979_c0_seq24
c011283	adi_EST_assem_250	comp7335_c0_seq1	isotig04491	Locus_38571_Transcript_1/1_Confidence_0.000_Length_2588	Contig_37032	isotig09998	comp5707_c0_seq1	NA	comp7257_c0_seq1	NA	jgi|Nemve1|161158|estExt_gwp.C_180384	NA	Unigene136096_Mix_Normal_N	c16644_g1_i1	bu_91849.1_c7663	comp9341_c0_seq2	comp5113_c0_seq1	Spi_isotig06658	comp248611_c2_seq1
c013388	NA	comp10709_c0_seq2	NA	Locus_121911_Transcript_2/4_Confidence_2.000_Length_2226	Contig_12400	isotig05497	comp15074_c0_seq1	comp29681_c0_seq1	NA	CCHW11497.b1	jgi|Nemve1|177813|estExt_GenewiseH_1.C_40252	NA	Unigene67797_Mix_Normal_N	c15900_g1_i1	bu_91849.1_lrc27054	comp10935_c0_seq1	comp1454_c1_seq6	Spi_isotig05447	comp241853_c0_seq3
c003966m	adi_EST_assem_35155	comp87495_c0_seq1	isotig06836	Locus_24559_Transcript_1/1_Confidence_2.000_Length_453	Contig_14679	isotig10565	comp5808_c0_seq2	comp1704_c0_seq1	NA	CCHW1518.b1	jgi|Nemve1|163667|estExt_gwp.C_430013	isotig14311	Unigene82732_Mix_Normal_N	c16913_g2_i1	NA	comp2691_c0_seq3	comp1666_c0_seq2	Spi_isotig09894	NA
c042774	adi_EST_assem_8522	NA	isotig06950	NA	Contig_7161	NA	comp496_c0_seq1	comp150653_c0_seq1	comp1430_c0_seq1	CCHW4428.b1	jgi|Nemve1|169659|estExt_gwp.C_1300135	isotig09985	Unigene18479_Mix_Normal_N	c9310_g1_i1	NA	comp2148_c0_seq1	comp792_c0_seq1	Spi_isotig11577	comp206864_c0_seq2
c003022m	NA	NA	isotig10911	Locus_11269_Transcript_2/2_Confidence_2.000_Length_2009	F66KHFO02FIC5Q	isotig14278	comp16718_c0_seq4	comp13408_c0_seq2	comp24647_c0_seq7	CCHW4847.b1	jgi|Nemve1|232984|fgsh_est.C_scaffold_111000005	isotig19944	Unigene134308_Mix_Normal_N	c17808_g1_i2	bu_91849.1_c47238	comp19621_c0_seq2	comp15111_c0_seq5	Spi_isotig09402	comp255901_c0_seq7
c032790	adi_EST_assem_13407	comp4542_c0_seq1	isotig05716	NA	Contig_993	isotig27120	comp1488_c0_seq1	comp1906_c0_seq3	comp4015_c0_seq1	CCHW9903.b1	jgi|Nemve1|242360|estExt_fgenesh1_pg.C_620021	NA	Unigene125756_Mix_Normal_N	c16087_g1_i2	NA	comp4957_c0_seq3	comp2637_c0_seq1	Spi_isotig12075	NA
c029095	adi_EST_assem_1871	comp7332_c0_seq2	NA	Locus_36958_Transcript_1/1_Confidence_1.000_Length_1062	Contig_17846	NA	comp2205_c0_seq2	comp5157_c0_seq1	comp17286_c0_seq3	CCHW17419.b1	jgi|Nemve1|179894|estExt_GenewiseH_1.C_140343	isotig07322	Unigene126930_Mix_Normal_N	c16333_g1_i1	bu_91849.1_c61440	comp3870_c0_seq1	comp8153_c0_seq1	Spi_isotig05773	comp258768_c0_seq11
c013279	adi_EST_assem_5730	comp6866_c0_seq1	isotig04710	Locus_76416_Transcript_1/1_Confidence_0.000_Length_2053	NA	isotig09738	NA	comp8319_c0_seq1	comp15729_c1_seq1	CCHW12082.b1	jgi|Nemve1|182326|estExt_GenewiseH_1.C_370023	NA	Unigene7063_Mix_Normal_N	c14967_g1_i1	bu_91849.1_c67	comp5035_c0_seq1	comp1194_c0_seq3	Spi_isotig08603	comp249807_c0_seq1
c027192	adi_EST_assem_8297	comp59275_c0_seq1	isotig05673	Locus_101231_Transcript_1/1_Confidence_0.000_Length_1638	Contig_2942	isotig32146	comp17914_c0_seq1	comp5771_c0_seq1	comp61036_c0_seq1	NA	jgi|Nemve1|239298|estExt_fgenesh1_pg.C_130152	GCKDGN102DLWUL	Unigene81846_Mix_Normal_N	c6778_g1_i1	NA	comp16051_c0_seq1	comp49666_c0_seq2	Spi_isotig13303	comp244492_c0_seq1
